mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	0	9.0	0	1/4	2/4	2	1		a.i{	a	i		i		i						{	m	1	1	0, -3, 1		0	0
6	5	9	9	5.0	0	0	2/4	2	1		v.i	a	v		i		i							m	1	1	0, -3, 1		0	0
8	7	14	14	0.5	1/4	1/4	2/4	2	1		V(64)	a	v		V(64)		V			64				M	1	1	1, 0, -3		1	1
8	7	29/2	29/2	0.5	3/8	3/8	2/4	2	1		V	a	v		V		V							M	1	1	1, 5, 2		1	1
9	8	15	15	1.0	0	0	2/4	2	1		i|PAC}	a	v		i		i					PAC	}	m	1	1	0, -3, 1		0	0
10	8	16	16	2.0	0	1/4	2/4	2	1		i.III{	a	i		III		III						{	M	1	1	-3, 1, -2		-3	-3
11	9	18	18	1.0	1/4	1/4	2/4	2	1		III6	a	i		III6		III		6					M	1	1	1, -2, -3		-3	1
12	10	19	19	1.0	0	0	2/4	2	1		V/III|HC	a	i		V/III		V				III	HC		M	1	1	-2, 2, -1		-2	-2
12	10	20	20	2.0	1/4	1/4	2/4	2	1		III	a	i		III		III							M	1	1	-3, 1, -2		-3	-3
13	11	22	22	1.0	1/4	1/4	2/4	2	1		III6	a	i		III6		III		6					M	1	1	1, -2, -3		-3	1
14	12	23	23	1.0	0	0	2/4	2	1		V/III|HC	a	i		V/III		V				III	HC		M	1	1	-2, 2, -1		-2	-2
14	12	24	24	2.0	1/4	1/4	2/4	2	1		i	a	i		i		i							m	1	1	0, -3, 1		0	0
15	13	26	26	1.0	1/4	1/4	2/4	2	1		i6	a	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
16	14	27	27	1.0	0	0	2/4	2	1		V|HC	a	i		V		V					HC		M	1	1	1, 5, 2		1	1
16	14	28	28	2.0	1/4	1/4	2/4	2	1		i	a	i		i		i							m	1	1	0, -3, 1		0	0
17	15	30	30	1.0	1/4	1/4	2/4	2	1		i6	a	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
18	16	31	31	1.0	0	0	2/4	2	1		V|HC}	a	i		V		V					HC	}	M	1	1	1, 5, 2		1	1
18	16	32	32	7.0	1/4	1/4	2/4	2	1		i{	a	i		i		i						{	m	1	1	0, -3, 1		0	0
22	20	39	39	2.0	0	0	2/4	2	1		Ger6	a	i		Ger6	Ger	vii	o	65	b3	V			Ger	1	1	-4, 0, -3, 6		6	-4
23	21	41	41	1.0	0	0	2/4	2	1		V(64)	a	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
23	21	42	42	1.0	1/4	1/4	2/4	2	1		#viio43	a	i		#viio43		#vii	o	43					o7	1	1	-1, -4, 5, 2		5	-1
24	22	43	43	1.0	0	0	2/4	2	1		i6	a	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
24	22	44	44	1.0	1/4	1/4	2/4	2	1		iio6	a	i		iio6		ii	o	6					o	1	1	-1, -4, 2		2	-1
25	23	45	45	1.0	0	0	2/4	2	1		V(64)	a	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
25	23	46	46	1.0	1/4	1/4	2/4	2	1		V	a	i		V		V							M	1	1	1, 5, 2		1	1
26	24	47	47	1.0	0	0	2/4	2	1		i|PAC}	a	i		i		i					PAC	}	m	1	1	0, -3, 1		0	0
27	24	48	48	5.0	0	1/4	2/4	2	1		I.I{	a	I		I		I						{	M	1	0	0, 4, 1		0	0
30	27	53	53	1.0	0	0	2/4	2	1		IV	a	I		IV		IV							M	1	0	-1, 3, 0		-1	-1
30	27	54	54	1.0	1/4	1/4	2/4	2	1		V65/V	a	I		V65/V		V		65		V			Mm7	1	0	6, 3, 0, 2		2	6
31	28	55	55	2.0	0	0	2/4	2	1		V|HC	a	I		V		V					HC		M	1	0	1, 5, 2		1	1
32	29	57	57	4.0	0	0	2/4	2	1		I	a	I		I		I							M	1	0	0, 4, 1		0	0
34	31	61	61	1.0	0	0	2/4	2	1		ii65	a	I		ii65		ii		65					mm7	1	0	-1, 3, 0, 2		2	-1
34	31	62	62	1.0	1/4	1/4	2/4	2	1		V	a	I		V		V							M	1	0	1, 5, 2		1	1
35	32	63	63	1.0	0	0	2/4	2	1		I|PAC}	a	I		I		I					PAC	}	M	1	0	0, 4, 1		0	0
36	32	64	64	1.0	0	1/4	2/4	2	1		#vi.V{	a	#vi		V		V						{	M	1	1	1, 5, 2		1	1
37	33	65	65	2.0	0	0	2/4	2	1		i	a	#vi		i		i							m	1	1	0, -3, 1		0	0
38	34	67	67	2.0	0	0	2/4	2	1		V43	a	#vi		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
39	35	69	69	2.0	0	0	2/4	2	1		i	a	#vi		i		i							m	1	1	0, -3, 1		0	0
40	36	71	71	2.0	0	0	2/4	2	1		V65	a	#vi		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
41	37	73	73	2.0	0	0	2/4	2	1		i	a	#vi		i		i							m	1	1	0, -3, 1		0	0
42	38	75	75	2.0	0	0	2/4	2	1		#iii.V(64)	a	#iii		V(64)		V			64				M	1	1	1, 0, -3		1	1
43	39	77	77	2.0	0	0	2/4	2	1		V7	a	#iii		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
44	40	79	79	1.0	0	0	2/4	2	1		i|PAC}	a	#iii		i		i					PAC	}	m	1	1	0, -3, 1		0	0
45	40	80	80	1.0	0	1/4	2/4	2	1		I.V{	a	I		V		V						{	M	1	0	1, 5, 2		1	1
46	41	81	81	2.0	0	0	2/4	2	1		I	a	I		I		I							M	1	0	0, 4, 1		0	0
47	42	83	83	1.0	0	0	2/4	2	1		V43	a	I		V43		V		43					Mm7	1	0	2, -1, 1, 5		1	2
47	42	84	84	1.0	1/4	1/4	2/4	2	1		V65	a	I		V65		V		65					Mm7	1	0	5, 2, -1, 1		1	5
48	43	85	85	2.0	0	0	2/4	2	1		I	a	I		I		I							M	1	0	0, 4, 1		0	0
49	44	87	87	2.0	0	0	2/4	2	1		V7|HC	a	I		V7		V		7			HC		Mm7	1	0	1, 5, 2, -1		1	1
50	45	89	89	2.0	0	0	2/4	2	1		I	a	I		I		I							M	1	0	0, 4, 1		0	0
