mc	mn	onset	label
1	0	3/8	.D.I
2	1	3/8	viio6/V
3	2	0	V(64)
3	2	1/4	V7
4	3	0	V
4	3	3/8	V6
5	4	0	I(94)
5	4	1/4	I
5	4	3/8	I
6	5	0	I6
6	5	3/8	I
7	6	0	I6
7	6	3/8	IV
7	6	5/8	viio6
8	7	0	I6
8	7	3/8	ii6
9	8	0	V\\
9	8	3/8	I
10	9	0	I
10	9	3/8	viio6/V
11	10	0	V(64)
11	10	1/4	V7
12	11	0	V
12	11	3/8	V6
13	12	0	I(42)
13	12	1/4	I
14	13	0	I6
14	13	3/8	IV
15	14	0	ii64
15	14	3/8	ii6
16	15	0	V(64)
16	15	3/8	V7
17	16	0	I\\
20	19	0	V(64)
20	19	3/8	V7(4)
20	19	5/8	V7
21	20	0	V(64)
22	21	0	V(64)
22	21	3/8	V7(4)
22	21	5/8	V7
23	22	0	V(64)
24	23	3/8	V7(4)
24	23	5/8	V7
25	24	0	I\\
25	24	3/8	vi7
26	25	0	ii65
26	25	3/8	V
27	26	0	I\\
29	28	0	V6
30	29	0	V.I6
31	30	0	ii7(4)
31	30	3/8	ii7
31	30	1/2	ii
33	32	0	V65
35	34	0	I
36	35	0	V65
37	36	0	I
38	37	0	V65
39	38	0	I
39	38	3/8	I6
40	39	0	IV
41	40	0	V\\
42	41	0	I64
42	41	3/8	V2
43	42	0	I
44	43	0	vi
44	43	3/8	IV6
44	43	5/8	IV
45	44	0	V7
45	44	3/8	I
46	45	0	ii65
46	45	3/8	V65/V
47	46	0	V
47	46	3/8	V2
48	47	0	I6
48	47	3/8	IV
48	47	5/8	IV6
49	48	0	V(64)
49	48	3/8	V\\
50	49	0	I64
50	49	3/8	V2
51	50	0	vi
51	50	3/8	V43/IV
52	51	0	IV
52	51	1/4	#viio6/ii
52	51	3/8	ii
52	51	5/8	vi6
53	52	0	V6
53	52	1/4	V7
53	52	3/8	I
54	53	0	ii65
54	53	3/8	V65/V
55	54	0	V2
55	54	3/8	V65/IV
56	55	0	IV
56	55	3/8	V7
57	56	0	I\\
58	57	0	V43
58	57	3/8	V65
59	58	0	I
60	59	0	V43
60	59	3/8	V65
61	60	0	I
62	61	0	IV
63	62	0	I6
63	62	3/8	IV
64	63	0	V(64)
64	63	3/8	V7
65	64	0	I\\
66	65	0	V43
66	65	3/8	V65
67	66	0	I
68	67	0	V43
68	67	3/8	V65
69	68	0	I
70	69	0	IV
71	70	0	I6
71	70	3/8	IV
72	71	0	V(64)
72	71	3/8	V7
73	72	0	IV
74	73	0	I6
74	73	3/8	IV
75	74	0	V(64)
75	74	3/8	V7
76	75	0	I\\
76	75	3/8	vi
77	76	0	ii6
77	76	3/8	V(64)
77	76	5/8	V
78	77	0	I
78	77	3/8	vi
79	78	0	ii6
79	78	3/8	V(64)
79	78	5/8	V
80	79	0	I\\
80	79	5/8	V7
81	80	0	I
81	80	5/8	V7
82	81	0	I
82	81	5/8	V65
83	82	0	I
83	82	5/8	V65
84	83	0	I\\
84	83	3/8	I(42)
85	84	0	I
85	84	3/8	I(64)
86	85	0	I.V7
87	86	3/8	I
88	87	3/8	viio6/V
89	88	0	V(64)
89	88	1/4	V7
90	89	0	V
90	89	3/8	V6
91	90	0	I(94)
91	90	1/4	I
92	91	0	I6
92	91	3/8	I
93	92	0	I6
93	92	3/8	IV
93	92	5/8	viio6
94	93	0	I6
94	93	3/8	IV
95	94	0	V\\
95	94	3/8	I
96	95	3/8	viio6/V
97	96	0	V(#4)
97	96	3/8	V7
98	97	0	V
98	97	3/8	V6
99	98	0	I(94)
99	98	1/4	I
100	99	0	I6
100	99	3/8	IV
101	100	0	ii64
101	100	3/8	ii6
102	101	0	V(64)
102	101	3/8	V7
103	102	0	I\\
103	102	1/4	I
105	104	0	IV.V7
106	105	0	V(64)
106	105	3/8	V7(4)
106	105	5/8	V7
107	106	0	V(64)
108	107	0	V(64)
108	107	3/8	V7(4)
108	107	5/8	V7
109	108	0	V(64)
110	109	3/8	V7(4)
110	109	5/8	V7
111	110	0	I
111	110	3/8	vi
112	111	0	ii65
112	111	3/8	V
113	112	0	I\\
113	112	3/8	ii.VI
114	113	0	ii%65
114	113	3/8	V
115	114	0	i\\
115	114	3/8	I.vi
116	115	0	ii65
116	115	3/8	V
117	116	0	I\\
117	116	3/8	vi.#viio7
118	117	0	i
118	117	3/8	.It6
119	118	0	V\\
120	119	0	i
121	120	0	V6
121	120	3/8	vo6
122	121	0	IV6
122	121	3/8	iv6
123	122	0	i64
123	122	3/8	III6
124	123	0	.bII6
125	124	0	i6
126	125	0	V6
126	125	3/8	i
127	126	0	V\\
128	127	0	i
129	128	0	V(4)
129	128	3/8	v
130	129	0	V7/iv
130	129	1/8	iv
130	129	5/8	viio6/III
131	130	0	III(4)
131	130	3/8	III
132	131	0	iv6(2)
132	131	1/8	iv6
133	132	0	VII6
133	132	1/8	III6
133	132	3/8	V7
133	132	1/2	V(64)
133	132	5/8	V7
134	133	0	i(9)
134	133	1/4	VI
134	133	3/8	ii%7
134	133	5/8	v
135	134	0	V65/iv
135	134	1/4	iv
135	134	3/8	V65/III
135	134	5/8	III
136	135	0	iv64(2)
136	135	1/4	iio
136	135	3/8	V65
136	135	5/8	i
137	136	0	IV.V65/ii
137	136	1/4	ii
137	136	3/8	V65
137	136	5/8	I
138	137	0	ii6
139	138	0	V(64)
139	138	3/8	V\\
140	139	0	I
141	140	0	V43
142	141	0	I6
143	142	0	V65
144	143	0	I
144	143	3/8	I6
145	144	0	IV
145	144	3/8	viio6/V
146	145	0	V
146	145	1/8	V6/V
146	145	1/4	V2
146	145	3/8	I
146	145	1/2	IV
147	146	0	V(64)
147	146	3/8	V\\
148	147	0	I
149	148	0	V43
150	149	0	I6
151	150	0	V65
152	151	0	I
152	151	3/8	I6
153	152	0	IV
153	152	3/8	viio6/V
154	153	0	V-V(64)
154	153	3/8	V(64)
154	153	5/8	V
155	154	0	I\\
155	154	1/4	I
158	157	3/8	V7(4)/vi
158	157	5/8	V7/vi
159	158	0	vi
160	159	3/8	V7(4)/vi
160	159	5/8	V7/vi
161	160	0	vi
162	161	0	I.I
162	161	3/8	V7(4)
162	161	5/8	V7
163	162	0	I
164	163	3/8	V7(4)
164	163	5/8	V7
165	164	0	I
166	165	0	V
166	165	3/8	V7(4)/V
166	165	5/8	V7
167	166	0	V
168	167	3/8	V7(4)/V
168	167	5/8	V7/V
169	168	0	V[V
170	169	0	V65/V
171	170	0	viio64
171	170	3/8	I6
172	171	0	V64
172	171	3/8	I
173	172	0	V65]
174	173	0	V7
176	173	0	V
176	173	1/4	I
177	174	3/8	viio6/V
178	175	0	V(64)
178	175	1/4	V7
179	176	0	V
179	176	3/8	V6
180	177	0	I(94)
180	177	1/4	I
181	178	0	I6
181	178	3/8	I
182	179	0	I6
182	179	3/8	IV
182	179	5/8	viio6
183	180	0	I6
183	180	3/8	IV
184	181	0	V\\
184	181	3/8	I
185	182	3/8	viio6/V
186	183	0	V(64)
186	183	1/4	V7
187	184	0	V
187	184	3/8	V6
188	185	0	I(94)
188	185	1/4	I
189	186	0	I6
189	186	3/8	IV
189	186	5/8	V
190	187	0	vi
190	187	3/8	ii6
191	188	0	V(64)
191	188	3/8	V7
192	189	0	I\\
194	191	0	V2/IV
195	192	0	V2/IV
196	193	0	IV6(9)
196	193	3/8	IV6
197	194	0	V
197	194	3/8	V2
198	195	0	I6
198	195	3/8	V65/IV
200	197	0	IV
201	198	0	V65/IV
202	199	0	IV
203	200	0	V65/ii
204	201	0	ii
205	202	0	V65
206	203	0	I
207	204	0	IV
208	205	0	V\\
209	206	0	I64
209	206	3/8	V2
210	207	0	I
211	208	0	vi
211	208	3/8	vi(6)
211	208	5/8	IV
212	209	0	V7
212	209	3/8	I
213	210	0	ii65
213	210	3/8	V65/V
214	211	0	V
214	211	3/8	V2
215	212	0	I6
215	212	3/8	IV
215	212	5/8	IV6
216	213	0	V(64)
216	213	3/8	V\\
217	214	0	I64
217	214	3/8	V2
218	215	0	vi
218	215	3/8	V43/IV
219	216	0	IV
219	216	1/4	V43/ii
219	216	5/8	vi6
220	217	0	V6
220	217	1/4	V7
220	217	3/8	I
221	218	0	ii65
221	218	3/8	V65/V
222	219	0	V2
222	219	3/8	V65/IV
223	220	0	IV
223	220	3/8	V7
224	221	0	I\\
224	221	3/8	I
225	222	0	V43
225	222	3/8	V65
226	223	0	I
227	224	0	V43
227	224	3/8	V65
228	225	0	I
229	226	0	IV
230	227	0	I6
230	227	3/8	IV
231	228	0	V(64)
231	228	3/8	V7
232	229	0	I\\
232	229	3/8	I
233	230	0	V43
233	230	3/8	V65
234	231	0	I
235	232	0	V43
235	232	3/8	V65
236	233	0	I
237	234	0	IV
238	235	0	I6
238	235	3/8	IV
239	236	0	V(64)
239	236	3/8	V7
240	237	0	IV
241	238	0	I6
242	239	0	V(64)
242	239	3/8	V7
243	240	0	I\\
243	240	3/8	vi
244	241	0	ii6
244	241	3/8	V(64)
244	241	5/8	V
245	242	0	I
245	242	3/8	vi
246	243	0	ii6
246	243	3/8	V(64)
246	243	5/8	V
247	244	0	I\\
248	245	0	V
249	246	0	I
250	247	0	V7
251	248	0	I
252	249	3/8	viio6/V
253	250	0	V(64)
253	250	1/4	V7
254	251	0	V
254	251	3/8	V6
255	252	0	I(94)
255	252	1/4	I
256	253	0	I6
256	253	3/8	IV
256	253	5/8	V
257	254	0	vi
257	254	3/8	ii6
258	255	0	V(64)
258	255	3/8	V7
259	256	0	I\\
259	256	1/4	I
262	259	0	V(64)
262	259	3/8	V7(4)
262	259	5/8	V7
263	260	0	V(64)
264	261	0	V(64)
264	261	3/8	V7(4)
264	261	5/8	V7
265	262	0	V(64)
266	263	3/8	V7(4)
266	263	5/8	V7
267	264	0	I\\
267	264	3/8	vi
268	265	0	ii65
268	265	3/8	V
269	266	0	I
269	266	3/8	vi
270	267	0	ii65
270	267	3/8	V7
271	268	0	I\\
