mc	mn	onset	chords
1	1	0	.G.I
1	1	1/4	V6
1	1	3/8	I
2	2	0	V43
2	2	1/8	V6
2	2	1/4	I
3	3	0	IV6
3	3	1/8	I64
3	3	1/4	IV
3	3	7/16	I6
4	4	0	viio
4	4	1/8	I
4	4	1/4	V(64)
4	4	3/8	V\\
5	5	0	I
5	5	1/4	V6
5	5	3/8	I
6	6	0	V43
6	6	1/8	V6
6	6	1/4	I
7	7	0	IV6
7	7	1/8	I64
7	7	1/4	IV
7	7	7/16	IV6
8	8	0	V(64)
8	8	1/8	V
8	8	1/4	I\\
9	9	0	ii6
9	9	1/4	V7
10	10	0	I
10	10	1/4	vi
11	11	0	ii6
11	11	1/4	V7
12	12	0	I\\
12	12	1/4	V7/vi
13	13	0	vi
13	13	1/4	V.V7
14	14	0	I
14	14	1/4	viio6/V
15	15	1/4	V\\
17	17	0	I
18	18	0	ii2
19	19	0	V6
19	19	1/4	IV6
20	20	0	V65/vi
20	20	1/4	vi
21	21	0	V65/V
22	22	0	V2
22	22	1/4	I6
23	23	0	ii6
23	23	3/8	V6/V
24	24	0	V[V\\
25	25	0	I
25	25	1/4	V6
25	25	3/8	I
26	26	0	ii
26	26	1/8	V6
26	26	1/4	I(4)
26	26	3/8	I]
27	27	0	I
27	27	1/4	V6
27	27	3/8	I
28	28	0	V43
28	28	3/8	I
29	29	0	I6
29	29	1/8	#viio43/vi
29	29	1/4	vi
30	30	0	vi6
30	30	1/8	V2/IV
30	30	1/4	IV6
31	31	1/8	#viio43/ii
31	31	1/4	ii6
32	32	0	V(64)
32	32	1/8	V
32	32	1/4	I(7#2)
32	32	3/8	I\\
33	33	0	I6
33	33	1/8	#viio43/vi
33	33	1/4	vi6
34	34	1/8	V2/IV
34	34	1/4	IV6
35	35	1/8	#viio43/ii
35	35	1/4	ii6
36	36	0	V(64)
37	37	0	V(4)
37	37	1/4	V7
38	38	0	I\\
38	38	1/4	I.V7
39	39	0	I
39	39	1/4	V6
39	39	3/8	I
40	40	0	V43
40	40	3/8	I
41	41	0	IV6
41	41	1/8	I64
41	41	1/4	IV
41	41	7/16	I6
42	42	0	viio
42	42	1/8	I
42	42	1/4	V(64)
42	42	3/8	V\\
43	43	0	I
43	43	1/4	V6
43	43	3/8	V6/ii
44	44	0	V43
44	44	1/8	V6
44	44	1/4	I(4)
44	44	3/8	I
45	45	0	IV6
45	45	1/8	I64
45	45	1/4	IV
45	45	7/16	IV6
46	46	0	V(64)
46	46	1/8	V
46	46	1/4	I\\
47	47	0	ii6
47	47	1/4	V7
48	48	0	I
48	48	1/4	vi
49	49	0	ii6
49	49	1/4	V7
50	50	0	I\\
50	50	1/4	.It6
51	51	1/4	V\\
53	53	0	I
54	54	0	ii2
55	55	0	V6
55	55	1/4	ii64
56	56	0	V65/vi
56	56	1/4	vi
56	56	3/8	vi2
57	57	0	V65/V
58	58	0	V2
58	58	1/4	I6
59	59	0	ii6
59	59	3/8	V6/V
60	60	0	V[V\\
61	61	0	I
61	61	1/4	V6
61	61	3/8	I
62	62	0	V65
62	62	1/4	I(4)
62	62	3/8	I]
63	63	0	I
63	63	1/4	V6
63	63	3/8	I
64	64	0	V43
64	64	3/8	I
65	65	0	I6
65	65	1/8	#viio43/vi
65	65	1/4	vi6
66	66	1/8	V2/IV
66	66	1/4	IV6
67	67	1/8	#viio43/ii
67	67	1/4	ii6
68	68	0	V(64)
68	68	1/8	V
68	68	1/4	I(7#2)
68	68	3/8	I\\
69	69	0	I6
69	69	1/8	#viio43/vi
69	69	1/4	vi6
70	70	1/8	V2/IV
70	70	1/4	IV6
71	71	1/8	#viio43/ii
71	71	1/4	ii6
72	72	0	V(64)
73	73	0	V(974)
73	73	1/4	V7
74	74	0	I\\
75	75	1/4	V6
75	75	7/16	I
76	76	0	V43
76	76	1/8	V6
76	76	1/4	I(4)
76	76	3/8	I
77	77	0	IV6
77	77	1/8	I64
77	77	1/4	IV
77	77	7/16	I6
78	78	0	V65
78	78	1/8	I
78	78	1/4	V(64)
78	78	3/8	V\\
79	79	0	I
79	79	1/4	V6
79	79	3/8	I
80	80	0	V43
80	80	1/8	V6
80	80	1/4	I(4)
80	80	3/8	I
81	81	0	IV6
81	81	1/8	I64
81	81	1/4	IV
81	81	7/16	IV6
82	82	0	V(64)
82	82	1/8	V
82	82	1/4	I\\
83	83	0	ii6
83	83	1/4	V7
84	84	0	I
84	84	1/4	vi
85	85	0	ii6
85	85	1/4	V7
86	86	0	I
86	86	1/4	vi
87	87	0	ii6
87	87	1/4	V7
88	88	0	I6
88	88	1/4	vi
89	89	0	ii6
89	89	1/4	V7
90	90	0	I\\
90	90	1/4	V7
91	91	0	I
91	91	1/4	V7
92	92	0	I\\
92	92	1/8	V7
92	92	1/4	I
92	92	3/8	V7
93	93	0	I\\
