mc	mn	onset	chords
2	1	0	.C.I
4	3	0	I(64)
6	5	0	I
7	6	0	V6
7	6	3/8	V65
8	7	0	I
8	7	1/8	I6
8	7	1/4	viio6
8	7	3/8	I
9	8	0	V(64)
9	8	1/4	V\\
10	9	0	I
12	11	0	I(64)
14	13	0	I
14	13	1/4	V65/ii
15	14	0	ii
15	14	1/4	V65
16	15	0	I
16	15	1/8	ii6
16	15	1/4	V(64)
16	15	3/8	V
17	16	0	I
17	16	1/4	V65/ii
18	17	0	ii
18	17	1/4	V65
19	18	0	I
19	18	1/8	ii6
19	18	1/4	V(64)
19	18	3/8	V7
20	19	0	I\\
21	20	0	V(64)
21	20	1/4	V7
22	21	0	I
23	22	0	V(64)
23	22	1/4	V7
24	23	0	I
25	24	0	IV(#2)
25	24	1/8	IV
25	24	1/4	I6(#4)
25	24	3/8	I6
26	25	0	IV6(7)
26	25	1/8	IV6
26	25	1/4	I64(#2)
26	25	3/8	I64
27	26	0	ii6
28	27	0	V(64)
28	27	1/8	V\\
28	27	1/4	I
29	28	0	V(64)
29	28	1/4	V7
30	29	0	I
31	30	0	V(64)
31	30	1/4	V7
32	31	0	I
33	32	0	IV
33	32	1/4	I6
34	33	0	IV6
34	33	1/4	I64
35	34	0	IV
35	34	1/4	I6
36	35	0	ii7(4)
36	35	1/8	ii7
36	35	1/4	I(4)
36	35	3/8	I
37	36	0	ii6
38	37	1/4	viio/V
39	38	0	V(64)
40	39	0	V\\
40	39	3/8	V.V6
41	40	0	I
43	42	0	ii2
44	43	0	ii%2
45	44	0	V65
47	46	0	I
49	48	0	I6
50	49	0	IV
51	50	0	ii6
51	50	3/8	V65/V
52	51	0	V\\
53	52	0	V7
54	53	1/8	V7(b2)
54	53	1/4	V7
54	53	3/8	V7(b2)
55	54	0	V7
55	54	3/16	V7(b2)
55	54	1/4	V7
55	54	3/8	V7(b2)
56	55	0	V7
56	55	1/8	V7(b2)
56	55	1/4	V7
56	55	3/8	V7(b2)
57	56	0	V
57	56	3/16	V7(b2)
57	56	1/4	V
57	56	3/8	V7(b2)
58	57	0	V7
58	57	1/8	V7(b2)
58	57	1/4	V
58	57	3/8	V2
59	58	0	I6
59	58	1/4	I
59	58	3/8	V65
60	59	0	I
60	59	3/8	V65
61	60	0	I
61	60	3/8	V65
62	61	0	I
62	61	3/8	V65
63	62	0	I
64	63	0	IV6
65	64	0	V
65	64	1/4	#viio7/vi
66	65	0	vi\\
67	66	0	V65/V
68	67	0	V(64)
69	68	0	V7
70	69	0	i
70	69	3/8	V65
71	70	0	i
71	70	3/8	V65
72	71	0	i
72	71	3/8	V65
73	72	0	I
73	72	3/8	V65
74	73	0	I
74	73	1/8	V7/vi
75	74	0	IV
75	74	1/8	viio7/V
76	75	0	V(64)
77	76	1/4	V7
78	77	0	I\\
80	79	0	viio7
80	79	1/4	I
81	80	0	ii6
81	80	3/8	V7
82	81	0	I\\
84	83	0	#viio7/vi
84	83	1/4	vi
85	84	0	ii6
85	84	3/8	V7
86	85	0	I\\
87	86	0	V
88	87	0	I.V2
88	87	3/8	V6
89	88	0	V7
