mc	mn	onset	chords	volta
1	1	0	.C.I	
1	1	1/2	V43	
1	1	3/4	V65	
1	1	7/8	V7	
2	2	0	I	
2	2	1/8	iii64	
2	2	1/4	IV6	
2	2	3/8	ii6	
2	2	1/2	V(64)	
2	2	11/16	V	
2	2	7/8	viio64	
3	3	0	I6	
3	3	3/8	I	
3	3	1/2	V43	
3	3	3/4	V65	
3	3	7/8	V7	
4	4	0	I	
4	4	1/8	ii6	
4	4	1/4	V(64)	
4	4	3/8	V7	
4	4	1/2	I(974)	
4	4	3/4	I\\	
5	5	0	I	
5	5	1/4	V65	
5	5	1/2	I	
5	5	5/8	V64	
5	5	3/4	I6	
5	5	7/8	I	
6	6	0	V.I6	
6	6	1/8	viio6	
6	6	1/4	I6	
6	6	3/8	I	
6	6	1/2	V43	
6	6	5/8	V65	
6	6	3/4	I\\	
7	7	0	ii6	
7	7	1/2	viio6	
8	8	0	I6	
8	8	1/16	viio	
8	8	1/8	I	
8	8	3/16	viio6-V43	
8	8	1/4	I6	
8	8	3/8	ii6	
8	8	1/2	V(64)	
8	8	5/8	vii%7/V	
8	8	3/4	V\\	
9	9	0	I	
9	9	1/2	V43	
10	10	0	I	
10	10	1/2	V43	
11	11	0	I6	
11	11	3/8	V65/IV	
11	11	1/2	IV(#9)	
11	11	5/8	IV	
12	12	0	I6	
12	12	1/8	ii6	
12	12	1/4	V(64)	
12	12	3/8	V2	
12	12	1/2	I6	
12	12	7/8	V65/IV	
13	13	0	IV(#9)	
13	13	1/8	IV	
13	13	1/2	I6	
13	13	5/8	IV	
13	13	3/4	V(64)	
13	13	7/8	V	
14	14	0	I\\	1
14	14	3/4	I.vii%7	1
15	14	0	V.I\\	2
15	14	3/4	ii.#viio7	2
17	16	1/2	i	
18	17	0	V43	
18	17	1/4	V65	
18	17	3/8	V7	
18	17	1/2	i	
18	17	3/4	V65	
18	17	7/8	I.IV64	
19	18	0	V6(2)	
19	18	1/8	V6(b2)	
19	18	1/4	V65	
19	18	1/2	I	
20	19	0	V43	
20	19	1/4	#viio65/vi	
20	19	1/2	vi.i	
21	20	0	#viio	
21	20	1/2	.It6	
22	21	0	V7	
22	21	1/2	viio7(b3)/V	
23	22	0	V	
23	22	1/4	.Ger6	
23	22	1/2	V	
23	22	3/4	.Ger6	
24	23	0	V\\	
25	24	0	I.I	
25	24	1/2	V43	
25	24	3/4	V65	
25	24	7/8	V7	
26	25	0	I	
26	25	1/8	iii6	
26	25	1/4	IV6	
26	25	3/8	ii6	
26	25	1/2	V(64)	
26	25	11/16	V	
26	25	7/8	viio64	
27	26	0	I6	
27	26	3/8	I	
27	26	1/2	V43	
27	26	3/4	V65	
27	26	7/8	V7	
28	27	0	I	
28	27	1/8	ii6	
28	27	1/4	V(64)	
28	27	3/8	V2	
28	27	1/2	I6	
28	27	5/8	V7/IV\\	
29	28	0	IV.I	
29	28	1/4	V65	
29	28	1/2	I	
29	28	23/32	V64	
29	28	3/4	I6	
29	28	7/8	I	
30	29	0	V6	
30	29	1/8	viio/V	
30	29	1/4	I.I6	
30	29	3/8	I	
30	29	1/2	V43	
30	29	5/8	V65	
30	29	3/4	I\\	
31	30	0	ii6	
31	30	1/2	viio6	
32	31	0	I6	
32	31	1/16	viio	
32	31	1/4	I6	
32	31	3/8	ii6	
32	31	1/2	I	
32	31	11/16	vii%7/V	
32	31	3/4	V\\	
33	32	0	I	
33	32	1/2	V43	
34	33	0	I	
34	33	1/2	V43	
35	34	0	I6	
35	34	3/8	V65/IV	
35	34	1/2	IV(#9)	
35	34	5/8	IV	
35	34	3/4	ii65	
36	35	0	I6(6)	
36	35	1/16	I6	
36	35	1/8	ii6	
36	35	1/4	V(64)	
36	35	3/8	V2	
36	35	1/2	I6	
36	35	7/8	V65/IV	
37	36	0	IV(#9)	
37	36	1/8	IV	
37	36	1/2	I6	
37	36	5/8	IV	
37	36	3/4	V(64)	
37	36	7/8	V	
38	37	0	I	1
38	37	3/4	ii.#viio7	1
39	37	0	I.I	2
40	38	0	V43/V	
40	38	1/2	V7	
40	38	7/8	#viio7/vi	
41	39	0	vi	
41	39	1/8	V(64)	
41	39	1/4	IV	
41	39	3/8	V7	
41	39	1/2	I(974)	
41	39	3/4	I\\	
