mc	mn	onset	chords	volta
1	0	1/4	.a.i	
6	5	0	v.i	
8	7	1/4	V(64)	
8	7	3/8	V	
9	8	0	i\\	
11	9	0	i.III	
11	9	1/4	III6	
12	10	0	V/III	
13	11	0	III	
13	11	1/4	III6	
14	12	0	V/III	
15	13	0	i	
15	13	1/4	i6	
16	14	0	V	
17	15	0	i	
17	15	1/4	i6	
18	16	0	V\\	
19	17	0	i	
22	20	0	.Ger6	
23	21	0	V(64)	
23	21	1/4	V2	
24	22	0	i6	
24	22	1/4	iio6	
25	23	0	V(64)	
25	23	1/4	V	
26	24	0	i\\	
28	25	0	I.I	
30	27	0	IV	
30	27	1/4	V65/V	
31	28	0	V	
32	29	0	I	
34	31	0	ii6	
34	31	1/4	V	
35	32	0	I\\	
37	33	0	#vi.i	
38	34	0	V43	
39	35	0	i	
40	36	0	V65	
41	37	0	#iii.iv	
42	38	0	V(64)	
43	39	0	V7	
44	40	0	i\\	
46	41	0	I.I	
47	42	0	V43	
47	42	1/4	V65	
48	43	0	I	
49	44	0	V7	
50	45	0	I	
51	46	0	V43	
51	46	1/4	V65	
52	47	0	I	
52	47	1/8	vi	
52	47	1/4	ii6	
52	47	3/8	V	
53	48	0	I\\	
54	49	0	#vi.i	
55	50	0	V43	
56	51	0	i	
57	52	0	V	
57	52	3/8	V/iv	
58	53	0	iv	
59	54	0	iio6	
60	55	0	V(64)	
60	55	1/4	V7	
61	56	0	i\\	
63	57	0	I.I	
65	59	0	IV	
65	59	1/4	V65/V	
66	60	0	V	
67	61	0	I	
69	63	0	ii6	
69	63	1/4	V	
70	64	0	I\\	
71	64	1/4	V	
72	65	0	i.i	
76	69	0	v.i	
78	71	1/4	V(64)	
78	71	3/8	V	
79	72	0	i\\	
81	73	0	i.III	
81	73	1/4	III6	
82	74	0	V/III	
83	75	0	III	
83	75	1/4	III6	
84	76	0	V/III	
85	77	0	i	
85	77	1/4	i6	
86	78	0	V	
87	79	0	i	
87	79	1/4	i6	
88	80	0	V\\	
89	81	0	i	
92	84	0	.Ger6	
93	85	0	V(64)	
93	85	1/4	#vii43	
94	86	0	i6	
94	86	1/4	iio6	
95	87	0	V(64)	
95	87	1/4	V	
96	88	0	i\\	
98	89	0	I.I	
100	91	0	IV	
100	91	1/4	V65/V	
101	92	0	V	
102	93	0	I	
104	95	0	ii6	
104	95	1/4	V	
105	96	0	I\\	1
106	96	0	I\\	2
110	100	0	IV	
111	101	0	I	
112	102	0	V	
113	103	0	I	
116	106	0	IV	
117	107	0	I	
118	108	0	V	
119	109	0	I	
123	113	0	I(64)	
124	114	0	I	
125	115	0	V	
126	116	0	I	
129	119	0	IV	
130	120	0	I	
131	121	0	V	
132	122	0	I	
