mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	1.5	0	0	2/4	2	1		a.i[i{	a	i	i	i		i						{	m	1	1	0, -3, 1		0	0
1	1	3/2	3/2	0.5	3/8	3/8	2/4	2	1		#viio64	a	i	i	#viio64		#vii	o	64					o	1	1	-1, 5, 2		5	-1
2	2	2	2	1.5	0	0	2/4	2	1		i	a	i	i	i		i							m	1	1	0, -3, 1		0	0
2	2	7/2	7/2	0.5	3/8	3/8	2/4	2	1		V64	a	i	i	V64		V		64					M	1	1	2, 1, 5		1	2
3	3	4	4	1.5	0	0	2/4	2	1		i]	a	i	i	i		i							m	1	1	0, -3, 1		0	0
3	3	11/2	11/2	0.5	3/8	3/8	2/4	2	1		V6	a	i		V6		V		6					M	1	1	5, 2, 1		1	5
4	4	6	6	1.0	0	0	2/4	2	1		i	a	i		i		i							m	1	1	0, -3, 1		0	0
4	4	7	7	1.0	1/4	1/4	2/4	2	1		V|HC	a	i		V		V					HC		M	1	1	1, 5, 2		1	1
5	5	8	8	1.5	0	0	2/4	2	1		iv6	a	i		iv6		iv		6					m	1	1	-4, 0, -1		-1	-4
5	5	19/2	19/2	0.5	3/8	3/8	2/4	2	1		i64	a	i		i64		i		64					m	1	1	1, 0, -3		0	1
6	6	10	10	1.5	0	0	2/4	2	1		iv	a	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
6	6	23/2	23/2	0.5	3/8	3/8	2/4	2	1		i6	a	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
7	7	12	12	1.5	0	0	2/4	2	1		#viio6	a	i		#viio6		#vii	o	6					o	1	1	2, -1, 5		5	2
7	7	27/2	27/2	0.5	3/8	3/8	2/4	2	1		i	a	i		i		i							m	1	1	0, -3, 1		0	0
8	8	14	14	2.0	0	0	2/4	2	1		V|HC}	a	i		V		V					HC	}	M	1	1	1, 5, 2		1	1
9	9	16	16	1.5	0	0	2/4	2	1		i[i{	a	i	i	i		i						{	m	1	1	0, -3, 1		0	0
9	9	35/2	35/2	0.5	3/8	3/8	2/4	2	1		#viio64	a	i	i	#viio64		#vii	o	64					o	1	1	-1, 5, 2		5	-1
10	10	18	18	1.5	0	0	2/4	2	1		i	a	i	i	i		i							m	1	1	0, -3, 1		0	0
10	10	39/2	39/2	0.5	3/8	3/8	2/4	2	1		V64	a	i	i	V64		V		64					M	1	1	2, 1, 5		1	2
11	11	20	20	1.5	0	0	2/4	2	1		i]	a	i	i	i		i							m	1	1	0, -3, 1		0	0
11	11	43/2	43/2	0.5	3/8	3/8	2/4	2	1		V6	a	i		V6		V		6					M	1	1	5, 2, 1		1	5
12	12	22	22	1.0	0	0	2/4	2	1		i	a	i		i		i							m	1	1	0, -3, 1		0	0
12	12	23	23	1.0	1/4	1/4	2/4	2	1		V|HC	a	i		V		V					HC		M	1	1	1, 5, 2		1	1
13	13	24	24	1.5	0	0	2/4	2	1		iv	a	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
13	13	51/2	51/2	0.5	3/8	3/8	2/4	2	1		i6	a	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
14	14	26	26	1.5	0	0	2/4	2	1		iv6	a	i		iv6		iv		6					m	1	1	-4, 0, -1		-1	-4
14	14	55/2	55/2	0.5	3/8	3/8	2/4	2	1		iv64	a	i		iv64		iv		64					m	1	1	0, -1, -4		-1	0
15	15	28	28	1.0	0	0	2/4	2	1		iio6	a	i		iio6		ii	o	6					o	1	1	-1, -4, 2		2	-1
15	15	29	29	0.5	1/4	1/4	2/4	2	1		V(64)	a	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
15	15	59/2	59/2	0.5	3/8	3/8	2/4	2	1		V	a	i		V		V							M	1	1	1, 5, 2		1	1
16	16	30	30	1.0	0	0	2/4	2	1		VI|DC	a	i		VI		VI					DC		M	1	1	-4, 0, -3		-4	-4
16	16	31	31	1.0	1/4	1/4	2/4	2	1		iv6	a	i		iv6		iv		6					m	1	1	-4, 0, -1		-1	-4
17	17	32	32	1.5	0	0	2/4	2	1		iv	a	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
17	17	67/2	67/2	0.5	3/8	3/8	2/4	2	1		i6	a	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
18	18	34	34	1.5	0	0	2/4	2	1		#viio6	a	i		#viio6		#vii	o	6					o	1	1	2, -1, 5		5	2
18	18	71/2	71/2	0.5	3/8	3/8	2/4	2	1		i	a	i		i		i							m	1	1	0, -3, 1		0	0
19	19	36	36	1.0	0	0	2/4	2	1		iio6	a	i		iio6		ii	o	6					o	1	1	-1, -4, 2		2	-1
19	19	37	37	0.5	1/4	1/4	2/4	2	1		V(64)	a	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
19	19	75/2	75/2	0.5	3/8	3/8	2/4	2	1		V	a	i		V		V							M	1	1	1, 5, 2		1	1
20	20	38	38	2.0	0	0	2/4	2	1		i|PAC}	a	i		i		i					PAC	}	m	1	1	0, -3, 1		0	0
21	21	40	40	2.0	0	0	2/4	2	1		III.IV6{	a	III		IV6		IV		6				{	M	1	0	3, 0, -1		-1	3
22	22	42	42	2.0	0	0	2/4	2	1		I64	a	III		I64		I		64					M	1	0	1, 0, 4		0	1
23	23	44	44	2.0	0	0	2/4	2	1		IV	a	III		IV		IV							M	1	0	-1, 3, 0		-1	-1
24	24	46	46	4.0	0	0	2/4	2	1		I6	a	III		I6		I		6					M	1	0	4, 1, 0		0	4
26	26	50	50	1.0	0	0	2/4	2	1		IV	a	III		IV		IV							M	1	0	-1, 3, 0		-1	-1
26	26	51	51	1.0	1/4	1/4	2/4	2	1		I6	a	III		I6		I		6					M	1	0	4, 1, 0		0	4
27	27	52	52	1.0	0	0	2/4	2	1		viio6	a	III		viio6		vii	o	6					o	1	0	2, -1, 5		5	2
27	27	53	53	1.0	1/4	1/4	2/4	2	1		I	a	III		I		I							M	1	0	0, 4, 1		0	0
28	28	54	54	1.0	0	0	2/4	2	1		V(64)}	a	III		V(64)		V			64			}	M	1	0	1, 0, 4		1	1
28	28	55	55	1.0	1/4	1/4	2/4	2	1		V|HC	a	III		V		V					HC		M	1	0	1, 5, 2		1	1
29	29	56	56	1.5	0	0	2/4	2	1		i[i{	a	III	i	i		i						{	m	1	0	0, -3, 1		0	0
29	29	115/2	115/2	0.5	3/8	3/8	2/4	2	1		viio64	a	III	i	viio64		vii	o	64					o	1	0	-1, 5, 2		5	-1
30	30	58	58	1.5	0	0	2/4	2	1		i	a	III	i	i		i							m	1	0	0, -3, 1		0	0
30	30	119/2	119/2	0.5	3/8	3/8	2/4	2	1		viio6	a	III	i	viio6		vii	o	6					o	1	0	2, -1, 5		5	2
31	31	60	60	1.5	0	0	2/4	2	1		i]	a	III	i	i		i							m	1	0	0, -3, 1		0	0
31	31	123/2	123/2	0.5	3/8	3/8	2/4	2	1		iv6	a	III		iv6		iv		6					m	1	0	-4, 0, -1		-1	-4
32	32	62	62	1.0	0	0	2/4	2	1		V(b64)	a	III		V(b64)		V			b64				M	1	0	1, 0, -3		1	1
32	32	63	63	1.0	1/4	1/4	2/4	2	1		V	a	III		V		V							M	1	0	1, 5, 2		1	1
32	32	127/2	127/2	0.0	3/8	3/8	2/4	2	1		|HC	a	III									HC			1	0				
33	33	64	64	1.5	0	0	2/4	2	1		V[V7	a	III	V	V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
33	33	131/2	131/2	0.5	3/8	3/8	2/4	2	1		I	a	III	V	I		I							M	1	0	0, 4, 1		0	0
34	34	66	66	1.5	0	0	2/4	2	1		V7	a	III	V	V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
34	34	135/2	135/2	0.5	3/8	3/8	2/4	2	1		I6	a	III	V	I6		I		6					M	1	0	4, 1, 0		0	4
35	35	68	68	1.5	0	0	2/4	2	1		V7	a	III	V	V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
35	35	139/2	139/2	0.5	3/8	3/8	2/4	2	1		I6]	a	III	V	I6		I		6					M	1	0	4, 1, 0		0	4
36	36	70	70	1.0	0	0	2/4	2	1		viio	a	III		viio		vii	o						o	1	0	5, 2, -1		5	5
36	36	71	71	1.0	1/4	1/4	2/4	2	1		I}	a	III		I		I						}	M	1	0	0, 4, 1		0	0
37	37	72	72	1.5	0	0	2/4	2	1		I6{	a	III		I6		I		6				{	M	1	0	4, 1, 0		0	4
37	37	147/2	147/2	0.5	3/8	3/8	2/4	2	1		viio6	a	III		viio6		vii	o	6					o	1	0	2, -1, 5		5	2
38	38	74	74	1.5	0	0	2/4	2	1		vi6	a	III		vi6		vi		6					m	1	0	0, 4, 3		3	0
38	38	151/2	151/2	0.5	3/8	3/8	2/4	2	1		V6	a	III		V6		V		6					M	1	0	5, 2, 1		1	5
39	39	76	76	1.5	0	0	2/4	2	1		IV6	a	III		IV6		IV		6					M	1	0	3, 0, -1		-1	3
39	39	155/2	155/2	0.5	3/8	3/8	2/4	2	1		iii6	a	III		iii6		iii		6					m	1	0	1, 5, 4		4	1
40	40	78	78	1.5	0	0	2/4	2	1		ii6	a	III		ii6		ii		6					m	1	0	-1, 3, 2		2	-1
40	40	159/2	159/2	0.5	3/8	3/8	2/4	2	1		#viio6/ii	a	III		#viio6/ii		#vii	o	6		ii			o	1	0	4, 1, 7		7	4
41	41	80	80	1.0	0	0	2/4	2	1		ii6	a	III		ii6		ii		6					m	1	0	-1, 3, 2		2	-1
41	41	81	81	1.0	1/4	1/4	2/4	2	1		V6/ii	a	III		V6/ii		V		6		ii			M	1	0	7, 4, 3		3	7
42	42	82	82	1.5	0	0	2/4	2	1		ii	a	III		ii		ii							m	1	0	2, -1, 3		2	2
42	42	167/2	167/2	0.5	3/8	3/8	2/4	2	1		ii6	a	III		ii6		ii		6					m	1	0	-1, 3, 2		2	-1
43	43	84	84	1.0	0	0	2/4	2	1		V(64)	a	III		V(64)		V			64				M	1	0	1, 0, 4		1	1
43	43	85	85	1.0	1/4	1/4	2/4	2	1		V	a	III		V		V							M	1	0	1, 5, 2		1	1
44	44	86	86	1.0	0	0	2/4	2	1		I(9)}	a	III		I(9)		I			9			}	M	1	0	0, 4, 1	2	0	0
44	44	87	87	1.0	1/4	1/4	2/4	2	1		I|IAC	a	III		I		I					IAC		M	1	0	0, 4, 1		0	0
44	44	175/2	175/2	0.0	3/8	3/8	2/4	2	1		{	a	III										{		1	0				
45	45	88	88	1.5	0	0	2/4	2	1		I6	a	III		I6		I		6					M	1	0	4, 1, 0		0	4
45	45	179/2	179/2	0.5	3/8	3/8	2/4	2	1		viio6	a	III		viio6		vii	o	6					o	1	0	2, -1, 5		5	2
46	46	90	90	1.5	0	0	2/4	2	1		vi6	a	III		vi6		vi		6					m	1	0	0, 4, 3		3	0
46	46	183/2	183/2	0.5	3/8	3/8	2/4	2	1		V6	a	III		V6		V		6					M	1	0	5, 2, 1		1	5
47	47	92	92	1.5	0	0	2/4	2	1		IV6	a	III		IV6		IV		6					M	1	0	3, 0, -1		-1	3
47	47	187/2	187/2	0.5	3/8	3/8	2/4	2	1		iii6	a	III		iii6		iii		6					m	1	0	1, 5, 4		4	1
48	48	94	94	1.5	0	0	2/4	2	1		ii6	a	III		ii6		ii		6					m	1	0	-1, 3, 2		2	-1
48	48	191/2	191/2	0.5	3/8	3/8	2/4	2	1		#viio6/ii	a	III		#viio6/ii		#vii	o	6		ii			o	1	0	4, 1, 7		7	4
49	49	96	96	1.0	0	0	2/4	2	1		ii6	a	III		ii6		ii		6					m	1	0	-1, 3, 2		2	-1
49	49	97	97	1.0	1/4	1/4	2/4	2	1		V6/ii	a	III		V6/ii		V		6		ii			M	1	0	7, 4, 3		3	7
50	50	98	98	2.0	0	0	2/4	2	1		ii	a	III		ii		ii							m	1	0	2, -1, 3		2	2
51	51	100	100	1.0	0	0	2/4	2	1		V(64)	a	III		V(64)		V			64				M	1	0	1, 0, 4		1	1
51	51	101	101	1.0	1/4	1/4	2/4	2	1		V	a	III		V		V							M	1	0	1, 5, 2		1	1
52	52	102	102	2.0	0	0	2/4	2	1		#viio43/ii|EC	a	III		#viio43/ii		#vii	o	43		ii	EC		o7	1	0	1, -2, 7, 4		7	1
53	53	104	104	1.0	0	0	2/4	2	1		ii6	a	III		ii6		ii		6					m	1	0	-1, 3, 2		2	-1
53	53	105	105	1.0	1/4	1/4	2/4	2	1		V6/ii	a	III		V6/ii		V		6		ii			M	1	0	7, 4, 3		3	7
54	54	106	106	2.0	0	0	2/4	2	1		ii	a	III		ii		ii							m	1	0	2, -1, 3		2	2
55	55	108	108	1.0	0	0	2/4	2	1		V(64)	a	III		V(64)		V			64				M	1	0	1, 0, 4		1	1
55	55	109	109	1.0	1/4	1/4	2/4	2	1		V	a	III		V		V							M	1	0	1, 5, 2		1	1
56	56	110	110	2.0	0	0	2/4	2	1		#viio43/ii|EC	a	III		#viio43/ii		#vii	o	43		ii	EC		o7	1	0	1, -2, 7, 4		7	1
57	57	112	112	2.0	0	0	2/4	2	1		ii6	a	III		ii6		ii		6					m	1	0	-1, 3, 2		2	-1
58	58	114	114	2.0	0	0	2/4	2	1		v.#viio43	a	v		#viio43		#vii	o	43					o7	1	1	-1, -4, 5, 2		5	-1
59	59	116	116	2.0	0	0	2/4	2	1		i6	a	v		i6		i		6					m	1	1	-3, 1, 0		0	-3
60	60	118	118	2.0	0	0	2/4	2	1		iv	a	v		iv		iv							m	1	1	-1, -4, 0		-1	-1
61	61	120	120	2.0	0	0	2/4	2	1		iv6	a	v		iv6		iv		6					m	1	1	-4, 0, -1		-1	-4
62	62	122	122	1.5	0	0	2/4	2	1		iio6	a	v		iio6		ii	o	6					o	1	1	-1, -4, 2		2	-1
62	62	247/2	247/2	0.5	3/8	3/8	2/4	2	1		viio/V	a	v		viio/V		vii	o			V			o	1	1	6, 3, 0		6	6
63	63	124	124	2.0	0	0	2/4	2	1		V|HC}	a	v		V		V					HC	}	M	1	1	1, 5, 2		1	1
64	64	126	126	1.5	0	0	2/4	2	1		i6{	a	v		i6		i		6				{	m	1	1	-3, 1, 0		0	-3
64	64	255/2	255/2	0.5	3/8	3/8	2/4	2	1		V64	a	v		V64		V		64					M	1	1	2, 1, 5		1	2
65	65	128	128	1.5	0	0	2/4	2	1		i	a	v		i		i							m	1	1	0, -3, 1		0	0
65	65	259/2	259/2	0.5	3/8	3/8	2/4	2	1		V6	a	v		V6		V		6					M	1	1	5, 2, 1		1	5
66	66	130	130	1.5	0	0	2/4	2	1		i	a	v		i		i							m	1	1	0, -3, 1		0	0
66	66	263/2	263/2	0.5	3/8	3/8	2/4	2	1		V43	a	v		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
67	67	132	132	1.0	0	0	2/4	2	1		i	a	v		i		i							m	1	1	0, -3, 1		0	0
67	67	133	133	1.0	1/4	1/4	2/4	2	1		V6	a	v		V6		V		6					M	1	1	5, 2, 1		1	5
68	68	134	134	1.5	0	0	2/4	2	1		V43	a	v		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
68	68	271/2	271/2	0.5	3/8	3/8	2/4	2	1		i	a	v		i		i							m	1	1	0, -3, 1		0	0
69	69	136	136	1.5	0	0	2/4	2	1		V6	a	v		V6		V		6					M	1	1	5, 2, 1		1	5
69	69	275/2	275/2	0.5	3/8	3/8	2/4	2	1		i	a	v		i		i							m	1	1	0, -3, 1		0	0
70	70	138	138	1.5	0	0	2/4	2	1		V43	a	v		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
70	70	279/2	279/2	0.5	3/8	3/8	2/4	2	1		i6	a	v		i6		i		6					m	1	1	-3, 1, 0		0	-3
71	71	140	140	1.0	0	0	2/4	2	1		V43	a	v		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
71	71	141	141	1.0	1/4	1/4	2/4	2	1		i}	a	v		i		i						}	m	1	1	0, -3, 1		0	0
72	72	142	142	1.5	0	0	2/4	2	1		i6{	a	v		i6		i		6				{	m	1	1	-3, 1, 0		0	-3
72	72	287/2	287/2	0.5	3/8	3/8	2/4	2	1		#viio6	a	v		#viio6		#vii	o	6					o	1	1	2, -1, 5		5	2
73	73	144	144	1.5	0	0	2/4	2	1		VI6	a	v		VI6		VI		6					M	1	1	0, -3, -4		-4	0
73	73	291/2	291/2	0.5	3/8	3/8	2/4	2	1		v6	a	v		v6		v		6					m	1	1	-2, 2, 1		1	-2
74	74	146	146	1.5	0	0	2/4	2	1		iv6	a	v		iv6		iv		6					m	1	1	-4, 0, -1		-1	-4
74	74	295/2	295/2	0.5	3/8	3/8	2/4	2	1		III6	a	v		III6		III		6					M	1	1	1, -2, -3		-3	1
75	75	148	148	1.5	0	0	2/4	2	1		bII6	a	v		bII6		bII		6					M	1	1	-1, -4, -5		-5	-1
75	75	299/2	299/2	0.5	3/8	3/8	2/4	2	1		i6	a	v		i6		i		6					m	1	1	-3, 1, 0		0	-3
76	76	150	150	1.0	0	0	2/4	2	1		#viio6	a	v		#viio6		#vii	o	6					o	1	1	2, -1, 5		5	2
76	76	151	151	1.0	1/4	1/4	2/4	2	1		V65	a	v		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
77	77	152	152	1.0	0	0	2/4	2	1		i	a	v		i		i							m	1	1	0, -3, 1		0	0
77	77	153	153	1.0	1/4	1/4	2/4	2	1		iv	a	v		iv		iv							m	1	1	-1, -4, 0		-1	-1
78	78	154	154	1.0	0	0	2/4	2	1		V(64)	a	v		V(64)		V			64				M	1	1	1, 0, -3		1	1
78	78	155	155	1.0	1/4	1/4	2/4	2	1		V	a	v		V		V							M	1	1	1, 5, 2		1	1
79	79	156	156	2.0	0	0	2/4	2	1		i|PAC}	a	v		i		i					PAC	}	m	1	1	0, -3, 1		0	0
80	80	158	158	1.5	0	0	2/4	2	1		i6{	a	v		i6		i		6				{	m	1	1	-3, 1, 0		0	-3
80	80	319/2	319/2	0.5	3/8	3/8	2/4	2	1		#viio6	a	v		#viio6		#vii	o	6					o	1	1	2, -1, 5		5	2
81	81	160	160	1.5	0	0	2/4	2	1		VI6	a	v		VI6		VI		6					M	1	1	0, -3, -4		-4	0
81	81	323/2	323/2	0.5	3/8	3/8	2/4	2	1		v6	a	v		v6		v		6					m	1	1	-2, 2, 1		1	-2
82	82	162	162	1.5	0	0	2/4	2	1		iv6	a	v		iv6		iv		6					m	1	1	-4, 0, -1		-1	-4
82	82	327/2	327/2	0.5	3/8	3/8	2/4	2	1		III6	a	v		III6		III		6					M	1	1	1, -2, -3		-3	1
83	83	164	164	1.5	0	0	2/4	2	1		bII6	a	v		bII6		bII		6					M	1	1	-1, -4, -5		-5	-1
83	83	331/2	331/2	0.5	3/8	3/8	2/4	2	1		i6	a	v		i6		i		6					m	1	1	-3, 1, 0		0	-3
84	84	166	166	1.0	0	0	2/4	2	1		#viio6	a	v		#viio6		#vii	o	6					o	1	1	2, -1, 5		5	2
84	84	167	167	1.0	1/4	1/4	2/4	2	1		V65	a	v		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
85	85	168	168	1.0	0	0	2/4	2	1		i	a	v		i		i							m	1	1	0, -3, 1		0	0
85	85	169	169	1.0	1/4	1/4	2/4	2	1		iv	a	v		iv		iv							m	1	1	-1, -4, 0		-1	-1
86	86	170	170	1.0	0	0	2/4	2	1		V(64)	a	v		V(64)		V			64				M	1	1	1, 0, -3		1	1
86	86	171	171	1.0	1/4	1/4	2/4	2	1		V	a	v		V		V							M	1	1	1, 5, 2		1	1
87	87	172	172	1.5	0	0	2/4	2	1		i|EC}{	a	v		i		i					EC	}{	m	1	1	0, -3, 1		0	0
87	87	347/2	347/2	0.5	3/8	3/8	2/4	2	1		i.V65	a	i		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
