mc	mn	onset	chords
1	1	0	.A.I
1	1	1/2	V7
2	2	0	I
3	3	0	V
3	3	1/2	I
4	4	0	V65
5	5	0	I6
5	5	1/2	V43
6	6	0	I
6	6	1/2	V2
7	7	0	I6
7	7	3/8	V2
7	7	1/2	I6
7	7	5/8	V43
8	8	0	I(+4)
8	8	1/16	I
8	8	1/8	ii6
8	8	1/4	V(64)
8	8	1/2	V
9	9	0	I\\
9	9	1/2	V7
10	10	0	I
11	11	0	V7
11	11	1/2	V
11	11	2/3	V(+6)
12	12	0	viio6
13	13	0	I6
13	13	1/2	V43
14	14	0	I
14	14	1/2	V2
15	15	0	I6
15	15	1/2	IV
16	16	0	V(64)
16	16	1/8	V7
16	16	1/4	I(94)
16	16	1/2	I\\
17	17	3/8	V2
17	17	1/2	I6
17	17	5/8	V2
18	18	0	I
18	18	1/8	V6
18	18	1/4	I
18	18	3/8	V43
18	18	1/2	I
18	18	5/8	V6
19	19	0	V
19	19	1/4	V6
19	19	3/8	#vio7
19	19	1/2	V6
19	19	5/8	#vio7
20	20	0	V6
20	20	1/8	I
20	20	1/4	V43
20	20	3/8	I6
20	20	1/2	V43
20	20	5/8	I
21	21	0	I
22	22	1/8	V.V43
23	23	0	I6
23	23	1/2	IV
24	24	0	V(64)
24	24	1/4	V
24	24	1/2	V7
25	25	0	I
26	26	0	V43
26	26	1/2	V65
27	27	0	I
28	28	0	V43
28	28	1/2	V65
29	29	0	I
29	29	1/4	IV
29	29	1/2	ii6
30	30	1/8	V7
30	30	1/4	I(94)
30	30	1/2	I\\
31	31	0	I.I
31	31	1/2	V7
32	32	0	I
32	32	1/8	I6
32	32	5/8	I
33	33	0	V6
33	33	1/2	I
34	34	0	V43
34	34	5/8	V6
35	35	0	I6
35	35	1/2	viio6
36	36	0	I64
36	36	1/2	ii6
37	37	0	I6
37	37	3/8	viio64
37	37	1/2	I6
37	37	5/8	viio6
38	38	0	I
38	38	1/4	V(64)
38	38	1/2	V\\
39	39	0	I
39	39	1/2	V7
40	40	0	I
41	41	0	V7
41	41	1/2	V(64)
42	42	0	V7
43	43	0	I6
43	43	1/2	viio6
44	44	0	I
44	44	1/2	V2
45	45	1/16	I6
45	45	5/16	IV
45	45	9/16	IV6
46	46	0	V7(4)
46	46	1/16	V7
46	46	1/4	I(74)
46	46	1/2	I\\
47	47	0	vi.i
48	48	0	V65
49	49	0	#viio43/iv
50	50	0	IV6
51	51	0	.It6
51	51	1/2	.Ger6
52	52	0	V\\
53	53	0	IV.I
53	53	3/8	V2
53	53	1/2	I6
53	53	5/8	V2
54	54	0	I
54	54	1/8	V6
54	54	1/4	I
54	54	3/8	V43
54	54	1/2	I
54	54	5/8	V6
55	55	0	V
55	55	1/4	V6
56	56	0	V6
56	56	1/8	I
56	56	1/4	V43
56	56	3/8	I6
56	56	1/2	V43
56	56	5/8	I
57	57	17/32	I.ii65
58	58	0	V43
59	59	0	I6
59	59	1/2	IV6
60	60	0	vi7
60	60	1/4	V
60	60	1/2	V7
61	61	0	I\\
62	62	0	V43
62	62	1/4	V65
62	62	1/2	V7
63	63	0	I
64	64	0	V43
64	64	1/4	V65
64	64	1/2	V7
65	65	0	I
65	65	1/4	IV
65	65	1/2	V65/V
66	66	0	V
66	66	1/4	viio6/V
67	67	0	viio6/V
67	67	1/4	V65
68	68	0	i.i
68	68	1/4	VI
68	68	7/16	viio7/V
69	69	0	V(#764)
69	69	1/4	V\\
70	70	0	I.I
70	70	1/2	V7
71	71	0	I
72	72	0	V
72	72	1/2	V(64)
73	73	0	V65
74	74	0	I6
74	74	1/2	V64
74	74	5/8	V43
75	75	0	I
75	75	1/2	ii65
75	75	5/8	V
76	76	0	I6
76	76	3/8	V2
76	76	1/2	I6
76	76	5/8	V43
77	77	0	I
77	77	1/4	V(64)
77	77	1/2	V\\
78	78	0	I
78	78	1/4	I6
78	78	1/2	V7
79	79	0	I
79	79	1/8	V43
79	79	1/4	I
79	79	3/8	V6
79	79	1/2	I
80	80	0	V65
80	80	1/4	V7
80	80	1/2	I
81	81	0	V6
81	81	1/8	I
81	81	1/4	V43
81	81	3/8	I
81	81	1/2	V65
82	82	0	I6
82	82	1/2	viio6
83	83	0	I
83	83	1/2	V2
84	84	0	I6
84	84	1/4	IV
84	84	5/8	IV6
85	85	0	V(64)
85	85	1/8	V7
85	85	1/4	#viio7/vi
85	85	1/2	vi
85	85	5/8	#viio43/ii
86	86	0	ii6
86	86	1/4	V7
87	87	0	V(64)
87	87	1/8	V7
87	87	1/4	#viio7/vi
87	87	1/2	vi
87	87	5/8	#viio43/ii
88	88	0	ii6
89	89	0	V7
90	90	0	I6
90	90	1/2	IV
91	91	0	V(64)
91	91	1/8	V7
91	91	1/4	I(94)
91	91	1/2	I\\
92	92	0	I
92	92	1/4	I(974)
92	92	1/2	I\\
