mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	8.0	0	0	3/4	2	1		A.I{	A	I		I		I						{	M	0	0	0, 4, 1		0	0
3	3	8	1.0	1/2	1/2	3/4	2	1		vi6	A	I		vi6		vi		6					m	0	0	0, 4, 3		3	0
4	4	9	1.0	0	0	3/4	2	1		V7/V	A	I		V7/V		V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
4	4	10	5.0	1/4	1/4	3/4	2	1		V|HC	A	I		V		V					HC		M	0	0	1, 5, 2		1	1
6	6	15	3.0	0	0	3/4	2	1		V7	A	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
7	7	18	3.0	0	0	3/4	2	1		V(64)	A	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
8	8	21	6.0	0	0	3/4	2	1		ii6	A	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
10	10	27	1.0	0	0	3/4	2	1		V7	A	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
10	10	28	2.0	1/4	1/4	3/4	2	1		I|PAC}	A	I		I		I					PAC	}	M	0	0	0, 4, 1		0	0
11	11	30	3.0	0	0	3/4	2	1		V.I{	A	V		I		I						{	M	0	0	0, 4, 1		0	0
12	12	33	3.0	0	0	3/4	2	1		V7	A	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
13	13	36	3.0	0	0	3/4	2	1		I	A	V		I		I							M	0	0	0, 4, 1		0	0
14	14	39	3.0	0	0	3/4	2	1		V7	A	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
15	15	42	6.0	0	0	3/4	2	1		I	A	V		I		I							M	0	0	0, 4, 1		0	0
17	17	48	1.0	0	0	3/4	2	1		ii6	A	V		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
17	17	49	1.0	1/4	1/4	3/4	2	1		V(64)	A	V		V(64)		V			64				M	0	0	1, 0, 4		1	1
17	17	50	1.0	1/2	1/2	3/4	2	1		V7	A	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
18	18	51	3.0	0	0	3/4	2	1		I|PAC}	A	V		I		I					PAC	}	M	0	0	0, 4, 1		0	0
19	19	54	3.0	0	0	3/4	2	1		I.iv/ii{	A	I		iv/ii		iv				ii		{	m	0	0	1, -2, 2		1	1
20	20	57	1.0	0	0	3/4	2	1		V(4)/ii	A	I		V(4)/ii		V			4	ii			M	0	0	3, 2, 4		3	3
20	20	58	2.0	1/4	1/4	3/4	2	1		V/ii	A	I		V/ii		V				ii			M	0	0	3, 7, 4		3	3
21	21	60	3.0	0	0	3/4	2	1		V(64)/ii	A	I		V(64)/ii		V			64	ii			M	0	0	3, 2, -1		3	3
22	22	63	1.0	0	0	3/4	2	1		V7(6)/ii	A	I		V7(6)/ii		V		7	6	ii			Mm7	0	0	3, 7, -1, 1		3	3
22	22	64	2.0	1/4	1/4	3/4	2	1		V7/ii	A	I		V7/ii		V		7		ii			Mm7	0	0	3, 7, 4, 1		3	3
23	23	66	1.0	0	0	3/4	2	1		ii	A	I		ii		ii							m	0	0	2, -1, 3		2	2
23	23	67	2.0	1/4	1/4	3/4	2	1		iio	A	I		iio		ii	o						o	0	0	2, -1, -4		2	2
24	24	69	1.0	0	0	3/4	2	1		V(4)	A	I		V(4)		V			4				M	0	0	1, 0, 2		1	1
24	24	70	2.0	1/4	1/4	3/4	2	1		V	A	I		V		V							M	0	0	1, 5, 2		1	1
25	25	72	3.0	0	0	3/4	2	1		V(64)	A	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
26	26	75	1.0	0	0	3/4	2	1		V7(6)	A	I		V7(6)		V		7	6				Mm7	0	0	1, 5, 4, -1		1	1
26	26	76	2.0	1/4	1/4	3/4	2	1		V7	A	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
27	27	78	2.0	0	0	3/4	2	1		i	A	I		i		i							m	0	0	0, -3, 1		0	0
27	27	80	1.0	1/2	1/2	3/4	2	1		i2	A	I		i2		i		2					mm7	0	0	-2, 0, -3, 1		0	-2
28	28	81	6.0	0	0	3/4	2	1		Ger6	A	I		Ger6	Ger	vii	o	65	b3	V			Ger	0	0	-4, 0, -3, 6		6	-4
30	30	87	3.0	0	0	3/4	2	1		V|HC}	A	I		V		V					HC	}	M	0	0	1, 5, 2		1	1
31	31	90	8.0	0	0	3/4	2	1		I{	A	I		I		I						{	M	0	0	0, 4, 1		0	0
33	33	98	1.0	1/2	1/2	3/4	2	1		vi6	A	I		vi6		vi		6					m	0	0	0, 4, 3		3	0
34	34	99	1.0	0	0	3/4	2	1		V7/V	A	I		V7/V		V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
34	34	100	5.0	1/4	1/4	3/4	2	1		V|HC	A	I		V		V					HC		M	0	0	1, 5, 2		1	1
36	36	105	3.0	0	0	3/4	2	1		V7	A	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
37	37	108	4.0	0	0	3/4	2	1		V(64)	A	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
38	38	112	2.0	1/4	1/4	3/4	2	1		V43/IV	A	I		V43/IV		V		43		IV			Mm7	0	0	1, -2, 0, 4		0	1
39	39	114	3.0	0	0	3/4	2	1		IV	A	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
40	40	117	0.75	0	0	3/4	2	1		I6	A	I		I6		I		6					M	0	0	4, 1, 0		0	4
40	40	471/4	0.25	3/16	3/16	3/4	2	1		IV	A	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
40	40	118	1.0	1/4	1/4	3/4	2	1		V(64)}	A	I		V(64)		V			64			}	M	0	0	1, 0, 4		1	1
40	40	119	1.0	1/2	1/2	3/4	2	1		V	A	I		V		V							M	0	0	1, 5, 2		1	1
41	41	120	3.0	0	0	3/4	2	1		I|EC{	A	I		I		I					EC	{	M	0	0	0, 4, 1		0	0
42	42	123	3.0	0	0	3/4	2	1		V7	A	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
43	43	126	3.0	0	0	3/4	2	1		I	A	I		I		I							M	0	0	0, 4, 1		0	0
44	44	129	3.0	0	0	3/4	2	1		V7	A	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
45	45	132	1.0	0	0	3/4	2	1		I	A	I		I		I							M	0	0	0, 4, 1		0	0
45	45	133	1.0	1/4	1/4	3/4	2	1		IV6	A	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
45	45	134	1.0	1/2	1/2	3/4	2	1		IV	A	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
46	46	135	3.0	0	0	3/4	2	1		I6	A	I		I6		I		6					M	0	0	4, 1, 0		0	4
47	47	138	1.0	0	0	3/4	2	1		IV	A	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
47	47	139	1.0	1/4	1/4	3/4	2	1		V(64)	A	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
47	47	140	1.0	1/2	1/2	3/4	2	1		V7	A	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
48	48	141	3.0	0	0	3/4	2	1		I|PAC}	A	I		I		I					PAC	}	M	0	0	0, 4, 1		0	0
49	49	144	2.0	0	0	3/4	2	1		IV.I[I{	A	IV	I	I		I						{	M	0	0	0, 4, 1		0	0
49	49	146	1.0	1/2	1/2	3/4	2	1		V7	A	IV	I	V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
50	50	147	4.0	0	0	3/4	2	1		I	A	IV	I	I		I							M	0	0	0, 4, 1		0	0
51	51	151	1.0	1/4	1/4	3/4	2	1		IV]	A	IV	I	IV		IV							M	0	0	-1, 3, 0		-1	-1
51	51	152	1.0	1/2	1/2	3/4	2	1		V7	A	IV		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
52	52	153	4.0	0	0	3/4	2	1		I|PAC	A	IV		I		I					PAC		M	0	0	0, 4, 1		0	0
53	53	157	1.0	1/4	1/4	3/4	2	1		IV64	A	IV		IV64		IV		64					M	0	0	0, -1, 3		-1	0
53	53	158	1.0	1/2	1/2	3/4	2	1		viio6	A	IV		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
54	54	159	1.5	0	0	3/4	2	1		I6	A	IV		I6		I		6					M	0	0	4, 1, 0		0	4
54	54	321/2	0.5	3/8	3/8	3/4	2	1		I.iii6	A	I		iii6		iii		6					m	0	0	1, 5, 4		4	1
54	54	161	0.5	1/2	1/2	3/4	2	1		ii6	A	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
54	54	323/2	0.5	5/8	5/8	3/4	2	1		I6	A	I		I6		I		6					M	0	0	4, 1, 0		0	4
55	55	162	1.0	0	0	3/4	2	1		V	A	I		V		V							M	0	0	1, 5, 2		1	1
55	55	163	1.0	1/4	1/4	3/4	2	1		I6	A	I		I6		I		6					M	0	0	4, 1, 0		0	4
55	55	164	1.0	1/2	1/2	3/4	2	1		I	A	I		I		I							M	0	0	0, 4, 1		0	0
