mc	mn	onset	chords
1	1	0	.F.I
1	1	1/8	viio6
1	1	1/4	I
2	2	0	IV
2	2	1/8	V2
2	2	1/4	I6
3	3	0	I
3	3	1/8	V6
3	3	1/4	I
3	3	5/8	vi6
4	4	0	ii(4)
4	4	1/8	V7
4	4	1/4	I\\
5	5	0	V(64)
5	5	1/4	V
5	5	3/8	V2
5	5	1/2	I6
5	5	5/8	iv6
6	6	0	V(4)/V
6	6	1/4	V/V
6	6	3/8	iv64
6	6	1/2	V65
6	6	5/8	V2
7	7	0	I6
7	7	1/2	IV
7	7	5/8	IV6
8	8	0	V(64)
8	8	1/4	V\\
9	9	0	I
9	9	1/8	viio6
9	9	1/4	I
10	10	0	IV
10	10	1/8	V2
10	10	1/4	I6
11	11	1/2	I6
11	11	5/8	V6/ii
12	12	0	ii(4)
12	12	1/8	viio
12	12	1/4	I
13	13	0	V(64)
13	13	1/4	V\\
14	14	0	II
14	14	1/8	V65
14	14	1/2	I
14	14	11/16	viio6
15	15	0	I6
15	15	3/16	IV
15	15	1/4	V(64)
15	15	1/2	V7
16	16	0	I(94)
16	16	1/4	I\\
17	17	0	I
17	17	1/8	viio6
17	17	1/4	I
18	18	0	IV
18	18	1/8	V2
18	18	1/4	I6
19	19	0	I
19	19	1/8	V6
19	19	1/4	I
20	20	0	V64
20	20	1/8	V65
20	20	1/4	I
21	21	0	V(64)
21	21	1/4	V7
21	21	3/8	V2
21	21	1/2	I6
21	21	5/8	I
22	22	0	V(4)/V
22	22	1/4	V/V
22	22	3/8	iv64
22	22	1/2	V65
22	22	5/8	V2
23	23	0	I6
23	23	1/2	IV
23	23	5/8	IV6
24	24	0	V(64)
24	24	1/4	V\\
25	25	0	I
25	25	1/8	viio6
25	25	1/4	I
26	26	0	IV
26	26	1/8	V2
26	26	1/4	I6
27	27	11/16	vi6
28	28	0	ii
28	28	1/8	viio
28	28	1/4	I
29	29	0	V(64)
29	29	1/4	V\\
30	30	0	V/V
30	30	1/8	V65
30	30	1/2	I
30	30	11/16	viio6
30	30	23/32	
31	31	0	I6
31	31	3/16	IV
31	31	1/4	V(64)
31	31	1/2	V7
32	32	0	I(974)
32	32	1/4	I\\
33	33	0	V.I
34	34	0	viio6(2)
34	34	1/4	viio6
35	35	0	V7
36	36	0	I(#2)
36	36	1/4	I
36	36	1/2	I6
37	37	0	ii65
37	37	3/8	viio7/V
37	37	1/2	V(64)
38	38	0	IV6
38	38	3/8	viio6/V
38	38	1/2	I6
39	39	0	IV
39	39	1/8	ii6
39	39	1/4	V(64)
39	39	1/2	V7
40	40	0	I\\
40	40	1/2	I.I6
40	40	5/8	V2/vi
41	41	0	V65/ii
41	41	1/8	V7/ii
41	41	1/4	ii6
41	41	1/2	ii
41	41	5/8	IV64
42	42	0	V65
42	42	1/8	V7
42	42	1/4	I6
42	42	1/2	I
42	42	5/8	iii64
43	43	0	ii64(2)
43	43	1/8	ii64
43	43	1/4	viio
43	43	3/8	V7
43	43	1/2	vi
43	43	5/8	ii6
44	44	0	V(64)
44	44	1/4	V\\
45	45	0	I
45	45	1/8	viio6
45	45	1/4	I
46	46	0	IV
46	46	1/8	V2
46	46	1/4	I6
47	47	0	I
47	47	5/8	vi6
48	48	0	viio6/V
48	48	1/8	V65
48	48	1/4	I
49	49	0	V(64)
49	49	1/4	V\\
50	50	0	viio6/V
50	50	1/8	viio
50	50	1/2	I
50	50	5/8	V43
51	51	0	I6
51	51	1/8	IV
51	51	1/4	V(64)
51	51	1/2	V7
52	52	0	I(974)
52	52	1/4	I\\
53	53	0	V.I
54	54	0	viio6(2)
54	54	1/4	viio6
55	55	0	V
55	55	1/4	V7
56	56	0	I
56	56	1/2	I6
57	57	0	ii65
57	57	3/8	viio7/V
57	57	1/2	V(64)
58	58	0	IV6
58	58	3/8	viio6/V
58	58	1/2	I6
59	59	0	IV
59	59	1/8	IV+
59	59	3/16	ii6
59	59	1/4	V(64)
59	59	1/2	V7
60	60	0	I\\
60	60	1/2	I.I6
60	60	5/8	V2/iv
61	61	0	V65/ii
61	61	1/4	ii6
61	61	1/2	ii
61	61	5/8	IV64
62	62	0	V65
62	62	1/4	I6
62	62	1/2	I
62	62	5/8	ii64
63	63	0	ii64(2)
63	63	1/8	ii64
63	63	1/4	viio
63	63	3/8	V
63	63	1/2	vi
63	63	5/8	ii6
64	64	0	V(64)
64	64	1/4	V\\
65	65	0	I
65	65	1/8	viio6
65	65	1/4	I
66	66	0	IV
66	66	1/8	V2
66	66	1/4	I6
67	67	5/8	vi6
68	68	0	V/V
68	68	1/8	V7
68	68	1/4	I\\
69	69	0	I
69	69	1/4	V65
69	69	1/2	V43
69	69	9/16	I
70	70	0	V
70	70	1/8	V2
70	70	3/8	V6
70	70	5/8	viio7/V
71	71	1/8	V(64)
71	71	1/2	V7
72	72	0	I(974)
72	72	1/4	I\\
73	73	0	V(64)
73	73	1/4	V
74	74	0	V
74	74	1/16	viio6
74	74	1/8	V65\\
74	74	1/2	I
74	74	5/8	viio6
75	75	0	I6
75	75	1/8	ii6
75	75	1/4	V(64)
75	75	1/2	V7
76	76	0	I\\
76	76	1/2	V7
77	77	0	I
77	77	1/2	V7
78	78	0	I
78	78	1/4	I6
78	78	1/2	V
78	78	5/8	V7
79	79	0	I(942)
79	79	1/2	I\\
