mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	1.5	0	0	6/8	2	1		A.I{	A	I		I	I						{	M	0	0	0, 4, 1		0	0
1	1	3/2	3/2	1.5	3/8	3/8	6/8	2	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
2	2	3	3	1.5	0	0	6/8	2	1		V6	A	I		V6	V		6					M	0	0	5, 2, 1		1	5
2	2	9/2	9/2	1.5	3/8	3/8	6/8	2	1		V43	A	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
3	3	6	6	1.5	0	0	6/8	2	1		vi7	A	I		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
3	3	15/2	15/2	1.5	3/8	3/8	6/8	2	1		V6	A	I		V6	V		6					M	0	0	5, 2, 1		1	5
4	4	9	9	1.0	0	0	6/8	2	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
4	4	10	10	0.5	1/4	1/4	6/8	2	1		ii6	A	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
4	4	21/2	21/2	1.0	3/8	3/8	6/8	2	1		V(64)}	A	I		V(64)	V			64			}	M	0	0	1, 0, 4		1	1
4	4	23/2	23/2	0.5	5/8	5/8	6/8	2	1		V|HC	A	I		V	V					HC		M	0	0	1, 5, 2		1	1
5	5	12	12	1.5	0	0	6/8	2	1		I{	A	I		I	I						{	M	0	0	0, 4, 1		0	0
5	5	27/2	27/2	1.5	3/8	3/8	6/8	2	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
6	6	15	15	1.5	0	0	6/8	2	1		V6	A	I		V6	V		6					M	0	0	5, 2, 1		1	5
6	6	33/2	33/2	1.5	3/8	3/8	6/8	2	1		V43	A	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
7	7	18	18	1.0	0	0	6/8	2	1		vi7	A	I		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
7	7	19	19	0.5	1/4	1/4	6/8	2	1		V6	A	I		V6	V		6					M	0	0	5, 2, 1		1	5
7	7	39/2	39/2	1.0	3/8	3/8	6/8	2	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
7	7	41/2	41/2	0.5	5/8	5/8	6/8	2	1		ii6	A	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
8	8	21	21	1.0	0	0	6/8	2	1		V(64)	A	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
8	8	22	22	0.5	1/4	1/4	6/8	2	1		V7	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
8	8	45/2	45/2	3.0	3/8	3/8	6/8	2	1		I|PAC}	A	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
9	9	24	24	0.0	0	0	6/8	2	1		{	A	I									{		0	0				
9	9	51/2	51/2	3.0	3/8	3/8	6/8	2	1		IV64	A	I		IV64	IV		64					M	0	0	0, -1, 3		-1	0
10	10	57/2	57/2	3.0	3/8	3/8	6/8	2	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
11	11	63/2	63/2	1.5	3/8	3/8	6/8	2	1		V65	A	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
12	12	33	33	1.0	0	0	6/8	2	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
12	12	34	34	0.5	1/4	1/4	6/8	2	1		viio6/V	A	I		viio6/V	vii	o	6		V			o	0	0	3, 0, 6		6	3
12	12	69/2	69/2	1.0	3/8	3/8	6/8	2	1		V(64)}	A	I		V(64)	V			64			}	M	0	0	1, 0, 4		1	1
12	12	71/2	71/2	0.5	5/8	5/8	6/8	2	1		V|HC	A	I		V	V					HC		M	0	0	1, 5, 2		1	1
13	13	36	36	1.5	0	0	6/8	2	1		I{	A	I		I	I						{	M	0	0	0, 4, 1		0	0
13	13	75/2	75/2	1.5	3/8	3/8	6/8	2	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
14	14	39	39	1.5	0	0	6/8	2	1		V6	A	I		V6	V		6					M	0	0	5, 2, 1		1	5
14	14	81/2	81/2	1.5	3/8	3/8	6/8	2	1		V43	A	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
15	15	42	42	1.0	0	0	6/8	2	1		vi7	A	I		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
15	15	43	43	0.5	1/4	1/4	6/8	2	1		V6	A	I		V6	V		6					M	0	0	5, 2, 1		1	5
15	15	87/2	87/2	1.0	3/8	3/8	6/8	2	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
15	15	89/2	89/2	0.5	5/8	5/8	6/8	2	1		ii6	A	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
16	16	45	45	1.0	0	0	6/8	2	1		V(64)	A	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
16	16	46	46	0.5	1/4	1/4	6/8	2	1		V	A	I		V	V							M	0	0	1, 5, 2		1	1
16	16	93/2	93/2	1.0	3/8	3/8	6/8	2	1		I(97)}	A	I		I(97)	I			97			}	M	0	0	0, 4, 1	2, 5	0	0
16	16	95/2	95/2	1.5	5/8	5/8	6/8	2	1		I|IAC	A	I		I	I					IAC		M	0	0	0, 4, 1		0	0
17	17	48	48	0.0	0	0	6/8	2	1		{	A	I									{		0	0				
17	17	49	49	0.5	1/4	1/4	6/8	2	1		V43	A	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
17	17	99/2	99/2	1.0	3/8	3/8	6/8	2	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
17	17	101/2	101/2	0.5	5/8	5/8	6/8	2	1		IV	A	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
18	18	51	51	1.0	0	0	6/8	2	1		V(64)	A	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
18	18	52	52	0.5	1/4	1/4	6/8	2	1		V7	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
18	18	105/2	105/2	3.0	3/8	3/8	6/8	2	1		I|PAC}	A	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
19	19	54	54	0.0	0	0	6/8	2	1		{	A	I									{		0	0				
19	19	111/2	111/2	1.5	3/8	3/8	6/8	2	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
20	20	57	57	1.5	0	0	6/8	2	1		V6	A	I		V6	V		6					M	0	0	5, 2, 1		1	5
20	20	117/2	117/2	1.5	3/8	3/8	6/8	2	1		V43	A	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
21	21	60	60	1.5	0	0	6/8	2	1		vi7	A	I		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
21	21	123/2	123/2	1.5	3/8	3/8	6/8	2	1		V6	A	I		V6	V		6					M	0	0	5, 2, 1		1	5
22	22	63	63	1.0	0	0	6/8	2	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
22	22	64	64	0.5	1/4	1/4	6/8	2	1		ii6	A	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
22	22	129/2	129/2	1.5	3/8	3/8	6/8	2	1		V|HC}	A	I		V	V					HC	}	M	0	0	1, 5, 2		1	1
23	23	66	66	3.0	0	0	6/8	2	1		I{	A	I		I	I						{	M	0	0	0, 4, 1		0	0
24	24	69	69	1.0	0	0	6/8	2	1		V	A	I		V	V							M	0	0	1, 5, 2		1	1
24	24	70	70	1.0	1/4	1/4	6/8	2	1		V(64)	A	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
24	24	71	71	1.0	1/2	1/2	6/8	2	1		V7	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
25	25	72	72	1.0	0	0	6/8	2	1		vi	A	I		vi	vi							m	0	0	3, 0, 4		3	3
25	25	73	73	0.5	1/4	1/4	6/8	2	1		V6	A	I		V6	V		6					M	0	0	5, 2, 1		1	5
25	25	147/2	147/2	1.0	3/8	3/8	6/8	2	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
25	25	149/2	149/2	0.5	5/8	5/8	6/8	2	1		ii6	A	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
