mc	mn	onset	chords
0	1	0	.A.I
0	1	1/2	V7
1	2	0	I
2	3	0	V
2	3	1/2	I
3	4	0	V65
4	5	0	I6
4	5	1/2	V43
5	6	0	I
5	6	1/2	V2
6	7	0	I6
6	7	3/8	V2
6	7	1/2	I6
6	7	5/8	V43
7	8	0	I(+4)
7	8	1/16	I
7	8	1/8	ii6
7	8	1/4	V(64)
7	8	1/2	V
8	9	0	I\\
8	9	1/2	V7
9	10	0	I
10	11	0	V7
10	11	1/2	V
10	11	2/3	V(+6)
11	12	0	viio6
12	13	0	I6
12	13	1/2	V43
13	14	0	I
13	14	1/2	V2
14	15	0	I6
14	15	1/2	IV
15	16	0	V(64)
15	16	1/8	V7
15	16	1/4	I(94)
15	16	1/2	I\\
16	17	3/8	V2
16	17	1/2	I6
16	17	5/8	V2
17	18	0	I
17	18	1/8	V6
17	18	1/4	I
17	18	3/8	V43
17	18	1/2	I
17	18	5/8	V6
18	19	0	V
18	19	1/4	V6
18	19	3/8	#vio7
18	19	1/2	V6
18	19	5/8	#vio7
19	20	0	V6
19	20	1/8	I
19	20	1/4	V43
19	20	3/8	I6
19	20	1/2	V43
19	20	5/8	I
20	21	0	I
21	22	1/8	V.V43
22	23	0	I6
22	23	1/2	IV
23	24	0	V(64)
23	24	1/4	V
23	24	1/2	V7
24	25	0	I
25	26	0	V43
25	26	1/2	V65
26	27	0	I
27	28	0	V43
27	28	1/2	V65
28	29	0	I
28	29	1/4	IV
28	29	1/2	ii6
29	30	1/8	V7
29	30	1/4	I(94)
29	30	1/2	I\\
30	31	0	I.I
30	31	1/2	V7
31	32	0	I
31	32	1/8	I6
31	32	5/8	I
32	33	0	V6
32	33	1/2	I
33	34	0	V43
33	34	5/8	V6
34	35	0	I6
34	35	1/2	viio6
35	36	0	I64
35	36	1/2	ii6
36	37	0	I6
36	37	3/8	viio64
36	37	1/2	I6
36	37	5/8	viio6
37	38	0	I
37	38	1/4	V(64)
37	38	1/2	V\\
38	39	0	I
38	39	1/2	V7
39	40	0	I
40	41	0	V7
40	41	1/2	V(64)
41	42	0	V7
42	43	0	I6
42	43	1/2	viio6
43	44	0	I
43	44	1/2	V2
44	45	1/16	I6
44	45	5/16	IV
44	45	9/16	IV6
45	46	0	V7(4)
45	46	1/16	V7
45	46	1/4	I(74)
45	46	1/2	I\\
46	47	0	vi.i
47	48	0	V65
48	49	0	#viio43/iv
49	50	0	IV6
50	51	0	.It6
50	51	1/2	.Ger6
51	52	0	V\\
52	53	0	IV.I
52	53	3/8	V2
52	53	1/2	I6
52	53	5/8	V2
53	54	0	I
53	54	1/8	V6
53	54	1/4	I
53	54	3/8	V43
53	54	1/2	I
53	54	5/8	V6
54	55	0	V
54	55	1/4	V6
55	56	0	V6
55	56	1/8	I
55	56	1/4	V43
55	56	3/8	I6
55	56	1/2	V43
55	56	5/8	I
56	57	17/32	I.ii65
57	58	0	V43
58	59	0	I6
58	59	1/2	IV6
59	60	0	vi7
59	60	1/4	V
59	60	1/2	V7
60	61	0	I\\
61	62	0	V43
61	62	1/4	V65
61	62	1/2	V7
62	63	0	I
63	64	0	V43
63	64	1/4	V65
63	64	1/2	V7
64	65	0	I
64	65	1/4	IV
64	65	1/2	V65/V
65	66	0	V
65	66	1/4	viio6/V
66	67	0	viio6/V
66	67	1/4	V65
67	68	0	i.i
67	68	1/4	VI
67	68	7/16	viio7/V
68	69	0	V(#764)
68	69	1/4	V\\
69	70	0	I.I
69	70	1/2	V7
70	71	0	I
71	72	0	V
71	72	1/2	V(64)
72	73	0	V65
73	74	0	I6
73	74	1/2	V64
73	74	5/8	V43
74	75	0	I
74	75	1/2	ii65
74	75	5/8	V
75	76	0	I6
75	76	3/8	V2
75	76	1/2	I6
75	76	5/8	V43
76	77	0	I
76	77	1/4	V(64)
76	77	1/2	V\\
77	78	0	I
77	78	1/4	I6
77	78	1/2	V7
78	79	0	I
78	79	1/8	V43
78	79	1/4	I
78	79	3/8	V6
78	79	1/2	I
79	80	0	V65
79	80	1/4	V7
79	80	1/2	I
80	81	0	V6
80	81	1/8	I
80	81	1/4	V43
80	81	3/8	I
80	81	1/2	V65
81	82	0	I6
81	82	1/2	viio6
82	83	0	I
82	83	1/2	V2
83	84	0	I6
83	84	1/4	IV
83	84	5/8	IV6
84	85	0	V(64)
84	85	1/8	V7
84	85	1/4	#viio7/vi
84	85	1/2	vi
84	85	5/8	#viio43/ii
85	86	0	ii6
85	86	1/4	V7
86	87	0	V(64)
86	87	1/8	V7
86	87	1/4	#viio7/vi
86	87	1/2	vi
86	87	5/8	#viio43/ii
87	88	0	ii6
88	89	0	V7
89	90	0	I6
89	90	1/2	IV
90	91	0	V(64)
90	91	1/8	V7
90	91	1/4	I(94)
90	91	1/2	I\\
91	92	0	I
91	92	1/4	I(974)
91	92	1/2	I\\
