ix	mn	onset	chords
0	1	0	.C.I
1	3	0	I(64)
2	5	0	I
3	6	0	V6
4	6	3/8	V65
5	7	0	I
6	7	1/8	I6
7	7	1/4	viio6
8	7	3/8	I
9	8	0	V(64)
10	8	1/4	V\\
11	9	0	I
12	11	0	I(64)
13	13	0	I
14	13	1/4	V65/ii
15	14	0	ii
16	14	1/4	V65
17	15	0	I
18	15	1/8	ii6
19	15	1/4	V(64)
20	15	3/8	V
21	16	0	I
22	16	1/4	V65/ii
23	17	0	ii
24	17	1/4	V65
25	18	0	I
26	18	1/8	ii6
27	18	1/4	V(64)
28	18	3/8	V7
29	19	0	I\\
30	20	0	V(64)
31	20	1/4	V7
32	21	0	I
33	22	0	V(64)
34	22	1/4	V7
35	23	0	I
36	24	0	IV(#2)
37	24	1/8	IV
38	24	1/4	I6(#4)
39	24	3/8	I6
40	25	0	IV6(7)
41	25	1/8	IV6
42	25	1/4	I64(#2)
43	25	3/8	I64
44	26	0	ii6
45	27	0	V(64)
46	27	1/8	V\\
47	27	1/4	I
48	28	0	V(64)
49	28	1/4	V7
50	29	0	I
51	30	0	V(64)
52	30	1/4	V7
53	31	0	I
54	32	0	IV
55	32	1/4	I6
56	33	0	IV6
57	33	1/4	I64
58	34	0	IV
59	34	1/4	I6
60	35	0	ii7(4)
61	35	1/8	ii7
62	35	1/4	I(4)
63	35	3/8	I
64	36	0	ii6
65	37	1/4	viio/V
66	38	0	V(64)
67	39	0	V\\
68	39	3/8	V.V6
69	40	0	I
70	42	0	ii2
71	43	0	ii%2
72	44	0	V65
73	46	0	I
74	48	0	I6
75	49	0	IV
76	50	0	ii6
77	50	3/8	V65/V
78	51	0	V\\
79	52	0	V7
80	53	1/8	V7(b2)
81	53	1/4	V7
82	53	3/8	V7(b2)
83	54	0	V7
84	54	3/16	V7(b2)
85	54	1/4	V7
86	54	3/8	V7(b2)
87	55	0	V7
88	55	1/8	V7(b2)
89	55	1/4	V7
90	55	3/8	V7(b2)
91	56	0	V
92	56	3/16	V7(b2)
93	56	1/4	V
94	56	3/8	V7(b2)
95	57	0	V7
96	57	1/8	V7(b2)
97	57	1/4	V
98	57	3/8	V2
99	58	0	I6
100	58	1/4	I
101	58	3/8	V65
102	59	0	I
103	59	3/8	V65
104	60	0	I
105	60	3/8	V65
106	61	0	I
107	61	3/8	V65
108	62	0	I
109	63	0	IV6
110	64	0	V
111	64	1/4	#viio7/vi
112	65	0	vi\\
113	66	0	V65/V
114	67	0	V(64)
115	68	0	V7
116	69	0	i
117	69	3/8	V65
118	70	0	i
119	70	3/8	V65
120	71	0	i
121	71	3/8	V65
122	72	0	I
123	72	3/8	V65
124	73	0	I
125	73	1/8	V7/vi
126	74	0	IV
127	74	1/8	viio7/V
128	75	0	V(64)
129	76	1/4	V7
130	77	0	I\\
131	79	0	viio7
132	79	1/4	I
133	80	0	ii6
134	80	3/8	V7
135	81	0	I\\
136	83	0	#viio7/vi
137	83	1/4	vi
138	84	0	ii6
139	84	3/8	V7
140	85	0	I\\
141	86	0	V
142	87	0	I.V2
143	87	3/8	V6
144	88	0	V7
145	93	0	I
146	95	0	I(64)
147	97	0	I
148	98	0	V6
149	98	3/8	V65
150	99	0	I
151	99	1/8	I6
152	99	1/4	viio6
153	99	3/8	I
154	100	0	V(64)
155	100	1/4	V
156	101	0	I
157	103	0	I(64)
158	105	0	I
159	105	1/4	V65/ii
160	106	0	ii
161	106	1/4	V65
162	107	0	I
163	107	1/8	ii6
164	107	1/4	V(64)
165	107	3/8	V
166	108	0	#viio/ii
167	108	1/4	V65/ii
168	109	0	ii
169	109	1/4	V65
170	110	0	I
171	110	3/16	IV
172	110	3/8	V7
173	111	0	I\\
174	111	1/4	IV.V6
175	111	3/8	I
176	112	0	V43
177	112	1/4	V6
178	112	3/8	I
179	113	0	V43
180	113	1/4	V6
181	113	3/8	I
182	114	0	V43
183	114	1/4	V6
184	114	3/8	I
185	115	0	V43
186	116	0	I
187	117	0	V6
188	117	1/4	V7
189	118	0	I
190	119	0	V(6)
191	119	1/8	V
192	119	1/4	V7
193	120	0	I
194	121	0	V6
195	121	1/4	V65
196	122	0	I
197	122	1/4	V7
198	123	0	I\\
199	123	1/4	V65
200	124	0	I
201	125	0	V6
202	125	1/4	V7
203	126	0	I
204	127	0	V(6)
205	127	1/8	V
206	127	1/4	V7
207	128	0	I
208	129	0	I6
209	130	0	IV
210	130	1/4	V(64)
211	130	3/8	V7
212	131	0	I\\
213	132	0	I.IV
214	133	0	#viio65/ii
215	134	0	V65/ii
216	135	0	ii
217	135	1/4	I
218	135	3/8	I6
219	136	0	ii6
220	136	3/8	V65/V
221	137	0	V\\
222	137	3/8	V7
223	138	0	V(64)
224	139	0	V6
225	139	1/4	V
226	139	3/8	viio6
227	140	0	I6
228	140	5/24	I
229	140	3/8	vii%7/V
230	141	0	V\\
231	142	1/8	V6
232	142	1/4	I
233	142	3/8	V43
234	143	0	I
235	145	0	ii2
236	146	0	ii%2
237	147	0	V65
238	149	0	I
239	151	0	I6
240	153	0	ii65
241	155	0	V65/V
242	157	0	V7
243	157	1/8	V7(b2)
244	157	1/4	V7
245	157	3/8	V7(b2)
246	158	0	V7
247	158	1/8	V7(b2)
248	158	1/4	V7
249	158	3/8	V7(b2)
250	159	0	V7
251	159	1/8	V7(b2)
252	159	1/4	V7
253	159	3/8	V7(b2)
254	160	0	V
255	160	1/8	V7(b2)
256	160	1/4	V
257	160	3/8	V7(b2)
258	161	0	V7
259	161	1/8	V7(b2)
260	161	1/4	V
261	161	3/8	V2
262	162	0	I6
263	162	1/4	I
264	162	3/8	V65
265	163	0	I
266	163	3/8	V65
267	164	0	I
268	164	3/8	V65
269	165	0	I
270	165	3/8	V65
271	166	0	I
272	167	0	ii6
273	168	0	V
274	168	1/4	#viio7/vi
275	169	0	vi\\
276	170	0	V65/V
277	171	0	V(64)
278	172	0	V7
279	173	0	i
280	173	3/8	V65
281	174	0	i
282	174	3/8	V65
283	175	0	I
284	175	3/8	V65
285	176	0	I
286	176	3/8	V65
287	177	0	I
288	177	1/8	V7/vi
289	178	0	IV
290	178	1/8	#viio43/ii
291	179	0	ii6
292	180	3/8	#viio65/ii
293	181	0	ii6
294	182	3/8	#viio65/ii
295	183	0	ii65
296	184	1/4	V65/V
297	185	0	V\\
298	186	1/8	V7
299	189	0	I
300	191	0	I(64)
301	193	0	I
302	193	1/4	V65/ii
303	194	0	ii
304	194	1/4	V65
305	195	0	I
306	195	1/4	viio6
307	195	3/8	I
308	196	0	V(64)
309	196	1/4	V\\
