ix	mn	onset	chords
0	1	0	.Bb.I
1	1	1/4	viio6
2	2	0	I6
3	3	0	IV
4	3	1/8	I
5	4	0	V7
6	4	1/8	I\\
7	5	0	I
8	5	1/4	viio6
9	6	0	I6
10	7	0	ii6
11	7	1/4	V(64)
12	7	3/8	V7
13	8	0	I[I\\
14	8	7/16	viio/IV
15	9	0	IV
16	10	0	I
17	10	7/16	viio/IV
18	11	0	IV
19	12	0	I]
20	13	0	V7
21	14	0	I
22	14	1/4	I6
23	14	7/16	#viio6/ii
24	15	0	ii6
25	15	7/16	viio/V
26	16	0	V\\
27	18	0	V.I
28	18	1/4	V43
29	19	0	I6
30	20	0	I
31	20	1/4	V65
32	21	0	I
33	22	0	IV
34	23	0	ii
35	23	1/4	viio
36	23	3/8	V7
37	23	7/16	V2
38	24	0	I6
39	25	0	I
40	25	1/4	vi
41	25	3/8	IV(+7)
42	26	0	ii
43	27	0	V[V7
44	28	0	V(64)
45	28	1/4	#viio43/ii]
46	29	0	ii6
47	29	1/4	V(64)
48	29	3/8	V7
49	30	0	I\\
50	31	0	V7
51	32	0	V(64)
52	32	1/4	#viio43/ii
53	33	0	ii6
54	33	1/4	V(64)
55	33	3/8	V7
56	34	0	I\\
57	34	1/4	V7/IV
58	35	0	IV
59	35	1/8	vi
60	35	1/4	V(64)
61	35	3/8	V7
62	36	0	I\\
63	36	1/4	V7/IV
64	37	0	IV
65	37	1/8	vi
66	37	1/4	V(64)
67	37	3/8	V7
68	38	0	I[I\\
69	38	1/4	viio
70	39	0	I
71	39	1/4	viio
72	40	0	I(974)
73	40	1/4	I]\\
0	41	0	I
1	42	0	V6
2	43	0	IV6
3	43	1/4	iii6
4	44	0	ii6
5	44	1/4	I6
6	45	1/4	viio64
7	46	0	I6
8	47	0	ii6
9	47	1/4	V(64)
10	47	3/8	V7
11	48	0	I\\
12	48	1/4	V7/IV
13	49	0	#viio7/ii
14	50	0	vi.i
15	50	1/4	V7/VI
16	51	0	#viio7/iv
17	52	0	IV
18	52	1/4	V7/VII
19	53	0	viio7/V
20	54	0	V
21	54	1/8	#viio43
22	55	0	i6
23	55	3/8	iv
24	56	0	i6
25	56	3/8	iv6
26	57	0	V(64)
27	57	1/8	V43/iv
28	57	1/4	iv
29	57	3/8	V65/iv
30	58	0	iv
31	58	1/8	iio6
32	58	1/4	V(64)
33	58	3/8	V
34	59	0	i\\
35	59	1/8	V43/iv
36	59	1/4	iv
37	59	3/8	V65/iv
38	60	0	iv
39	60	1/8	iio6
40	60	1/4	V(64)
41	60	3/8	V
42	61	0	i\\
43	62	0	I.IV6
44	63	0	V43/IV
45	64	0	IV
46	65	0	V43/IV
47	66	0	IV
48	67	3/8	V43/V
49	68	0	V\\
50	68	3/16	V2/V
51	68	1/4	V6
52	68	7/16	V2
53	69	0	V6
54	70	0	I
55	70	1/4	viio6
56	71	0	I6
57	72	0	IV
58	72	1/8	I
59	73	0	V7
60	73	1/8	I\\
61	74	0	I
62	74	1/4	viio6
63	75	0	I6
64	76	0	ii6
65	76	1/4	V(64)
66	76	3/8	V7
67	77	0	I[I\\
68	78	0	IV
69	79	0	I
70	80	0	IV
71	81	0	I]
72	82	0	V7
73	83	0	I
74	83	1/4	I6
75	83	7/16	#viio6/ii
76	84	0	ii6
77	84	7/16	viio/V
78	85	0	V\\
79	87	0	I
80	87	1/4	V43
81	88	0	I6
82	89	0	I
83	89	1/4	V65
84	90	0	I
85	91	0	IV
86	92	0	ii
87	92	1/4	V6
88	92	3/8	V7
89	92	7/16	V2
90	93	0	I6
91	94	0	I
92	94	1/4	vi
93	94	3/8	VI(+7)
94	95	0	ii
95	96	0	V[V7
96	97	0	V(64)
97	97	1/4	#viio43/ii]
98	98	0	ii6
99	98	1/4	V(64)
100	98	3/8	V7
101	99	0	I\\
102	100	0	V[V7
103	101	0	V(64)
104	101	1/4	#viio43/ii]
105	102	0	ii6
106	102	1/4	V(64)
107	102	3/8	V7
108	103	0	I\\
109	103	1/4	V7/IV
110	104	0	IV
111	104	1/8	vi
112	104	1/4	V(64)
113	104	3/8	V7
114	105	0	I
115	105	1/4	V7/IV
116	106	0	IV
117	106	1/8	vi
118	106	1/4	V(64)
119	106	3/8	V7
120	107	0	I[I
121	107	1/4	viio
122	108	0	I
123	108	3/16	viio/IV
124	108	1/4	IV
125	108	7/16	#viio6
126	109	0	I(974)
127	109	1/4	I]\\
