mc	mn	onset	chords
0	1	0	.D.I
0	1	3/4	viio6
1	2	0	I6
2	3	1/2	ii7
2	3	3/4	V7
3	4	0	I\\
3	4	3/4	viio6
4	5	0	I6
5	6	1/2	ii7
5	6	3/4	V7
6	7	0	I\\
7	8	0	V43
8	9	0	V7
8	9	3/4	V2
9	10	0	I6
10	11	0	I
10	11	5/8	I6
11	12	0	ii6
11	12	7/8	viio/V
12	13	0	V
12	13	1/8	V2
12	13	1/4	I6
12	13	1/2	V65
12	13	3/4	I
13	14	0	V
13	14	1/8	V2
13	14	1/4	I6
13	14	1/2	V65
13	14	3/4	I
14	15	0	V
14	15	1/4	I
14	15	1/2	V
14	15	3/4	I
15	16	0	V\\
16	17	0	V.I
16	17	1/4	V43
16	17	1/2	I6
16	17	3/4	I
17	18	0	ii
17	18	1/2	V65
18	19	0	I6
18	19	1/4	V6
18	19	1/2	I
18	19	3/4	IV6
19	20	0	V(64)
19	20	1/2	V\\
20	21	0	I
20	21	1/4	V43
20	21	1/2	I6
20	21	3/4	I
21	22	0	ii
21	22	1/2	V65
22	23	0	I
22	23	1/4	ii6
22	23	1/2	V(64)
22	23	3/4	V
23	24	0	I\\
23	24	1/2	V65
24	25	0	I
24	25	1/2	V65
25	26	0	I
25	26	1/2	V2
26	27	0	I6
26	27	1/2	V65
27	28	0	I
27	28	1/4	I6
27	28	1/2	ii7
27	28	3/4	I
28	29	0	IV
29	30	0	I6
29	30	1/2	ii7
29	30	3/4	I
30	31	0	ii6
30	31	1/2	V(64)
30	31	3/4	V7
31	32	0	I\\
31	32	1/4	I6
31	32	1/2	ii7
31	32	3/4	I
32	33	0	IV
33	34	0	I6
33	34	1/2	ii7
33	34	3/4	I
34	35	0	ii6
34	35	1/2	V(64)
34	35	3/4	V7
35	36	0	I
35	36	3/8	V7
35	36	1/2	I
35	36	7/8	V7
36	37	0	I
36	37	1/4	V7
36	37	1/2	I
37	38	0	ii6
37	38	1/2	V(64)
37	38	3/4	V
38	39	0	I(9#74)
38	39	1/2	I\\
39	40	0	ii.#viio
40	41	0	V7
41	42	0	i6
41	42	1/2	V65
42	43	0	V2
42	43	1/2	i6
43	44	0	I.viio
44	45	0	V7
45	46	0	I6
45	46	1/2	V65
46	47	0	V2
46	47	1/2	I6
47	48	0	I
47	48	1/4	vi
47	48	1/2	I64
47	48	3/4	vii%7/V
48	49	0	V65/V
48	49	1/2	#viio/vi
49	50	0	vi.i(9)
49	50	1/4	iio(4)/v
49	50	1/2	v64
49	50	3/4	viio7/V
50	51	0	V65/V
50	51	1/2	viio/VI
51	52	0	VI
51	52	1/2	.Ger6
52	53	0	V7
52	53	1/2	viio7/V
53	54	0	V(64)
53	54	1/2	V7
54	55	0	i(9#74)
54	55	1/2	i\\
55	56	0	i
55	56	1/2	IV.V43
56	57	0	I
56	57	1/2	vii%7
57	58	1/4	I6
