ix	mn	onset	chords	volta
0	1	0	.A.I	
1	1	3/8	I6	
2	2	0	V6	
3	2	3/8	V43	
4	3	0	vi7	
5	3	3/8	V6	
6	4	0	I	
7	4	1/4	ii6	
8	4	3/8	V(64)	
9	4	5/8	V\\	
10	5	0	I	
11	5	3/8	I6	
12	6	0	V6	
13	6	3/8	V43	
14	7	0	vi7	
15	7	1/4	V6	
16	7	3/8	I	
17	7	5/8	ii6	
18	8	0	V(64)	
19	8	1/4	V7	
20	8	3/8	I\\	
0	9	0	I[I6	
1	9	3/8	IV	
2	10	3/8	I6	
3	11	0	I6]	
4	11	3/8	V65	
5	12	0	I	
6	12	1/4	viio6/V	
7	12	3/8	V(64)	
8	12	5/8	V\\	
9	13	0	I	
10	13	3/8	I6	
11	14	0	V6	
12	14	3/8	V43	
13	15	0	vi7	
14	15	1/4	V6	
15	15	3/8	I	
16	15	5/8	ii6	
17	16	0	V(64)	
18	16	1/4	V	
19	16	3/8	I(97)	
20	16	5/8	I\\	
21	17	0	I	
22	17	1/4	V43	
23	17	3/8	I6	
24	17	5/8	IV	
25	18	0	V(64)	
26	18	1/4	V7	
27	18	3/8	I\\	
0	19	0	I	
1	19	1/2	I6	
2	20	0	V6	
3	20	1/2	V43	
4	21	0	vi7	
5	21	3/8	V6	
6	22	0	I	
7	22	1/4	ii6	
8	22	3/8	V\\	
9	23	0	I	
10	24	0	V	
11	24	1/4	V(64)	
12	24	1/2	V7	
13	25	0	vi	
14	25	1/4	V6	
15	25	3/8	I	
16	25	5/8	ii6	
17	26	0	V(64)	
18	26	1/4	V7	
19	26	3/8	I\\	
0	27	0	I[I6	
1	27	3/8	IV	
2	28	3/8	I6	
3	29	0	I6]	
4	29	3/8	V43	
5	30	0	I6	
6	30	1/4	vii%7/V	
7	30	3/8	V(64)	
8	30	5/8	V\\	
9	31	0	I	
10	31	1/2	I6	
11	32	0	V6	
12	32	1/2	V43	
13	33	0	vi7	
14	33	1/4	V6	
15	33	3/8	I	
16	33	5/8	ii6	
17	34	0	V(64)	
18	34	1/4	V7	
19	34	3/8	I(97)	
20	34	5/8	I\\	
21	35	0	I	
22	35	1/4	V43	
23	35	3/8	I6	
24	35	5/8	IV	
25	36	0	V(64)	
26	36	1/4	V7	
27	36	3/8	I\\	
0	37	0	I	
1	37	1/4	V43	
2	37	3/8	I6	
3	37	5/8	I	
4	38	0	V6	
5	38	1/4	I	
6	38	3/8	V43	
7	38	5/8	V65	
8	39	0	vi7	
9	39	3/8	V65	
10	40	0	I	
11	40	1/4	ii6	
12	40	3/8	V(64)	
13	40	5/8	V\\	
14	41	0	I	
15	42	0	V	
16	42	3/8	V7	
17	43	0	vi7	
18	43	1/4	V65	
19	43	3/8	I	
20	43	5/8	ii6	
21	44	0	V(64)	
22	44	1/4	V7	
23	44	3/8	I\\	
0	45	0	I[I6	
1	45	3/8	IV	
2	46	0	IV6	
3	46	1/8	iii6	
4	46	1/4	IV	
