mc	mn	onset	chords
0	1	0	.A.I
0	1	1/4	V43
0	1	1/2	V2
1	2	0	I6
1	2	3/8	V65
2	3	0	I
2	3	1/4	IV
2	3	1/2	ii6
3	4	0	V(64)
3	4	1/4	V\\
4	5	0	I
4	5	1/4	V43
4	5	1/2	V2
5	6	0	I6
5	6	1/4	ii6(#4)
5	6	1/2	viio7/V
6	7	0	V(64)
6	7	5/8	V7
7	8	0	I(94)
7	8	1/4	I\\
8	9	0	V7
8	9	3/8	V(64)
8	9	1/2	V7
9	10	0	I[I
9	10	1/8	I6
9	10	3/8	viio6
9	10	1/2	I6]
10	11	0	vi
10	11	1/2	V43/V
11	12	0	V(94)
11	12	1/4	V(+2)
11	12	3/8	V\\
12	13	0	#viio7/ii
12	13	1/4	ii
12	13	1/2	viio43
13	14	0	I6
13	14	1/4	viio65/IV
14	15	0	IV
14	15	1/4	V(64)
14	15	1/2	V7
15	16	0	I(94)
15	16	1/4	I\\
16	17	0	vi.i
17	18	0	V6
18	19	0	i
18	19	1/8	v6
18	19	1/4	iv6(7)
18	19	1/2	.Ger6
19	20	0	V\\
19	20	1/2	#vii%7
20	21	0	i
21	22	0	IV.viio6
22	23	0	I6
22	23	1/8	#viio65/ii
22	23	1/4	ii6
22	23	3/8	viio7/V
22	23	1/2	V(64)
22	23	5/8	V7
23	24	0	I\\
23	24	1/2	V7
24	25	0	I
24	25	1/2	V7
25	26	0	I
25	26	9/16	V7/IV
26	27	0	#viio7/ii
27	28	0	ii
27	28	9/16	V7/V
28	29	0	#viio7/iii
29	30	0	vi.i
29	30	1/4	IV6
29	30	1/2	.Ger6
30	31	0	V\\
31	32	0	i
32	33	0	V6
33	34	0	i
33	34	3/16	v6
33	34	1/4	iv6(7)
33	34	1/2	.Ger6
34	35	0	V\\
34	35	1/2	#viio7
35	36	0	i
36	37	0	#viio43/iv
37	38	0	IV6
37	38	1/8	.It6
37	38	1/4	V(64)
37	38	5/8	V7
38	39	0	i\\
38	39	1/2	V7
39	40	0	i
39	40	1/2	V7
40	41	0	i
41	42	0	VI6
42	43	0	I.V7
43	44	0	I
43	44	1/4	V43
43	44	1/2	V2
44	45	0	I6
44	45	3/8	V65
45	46	0	I
45	46	1/4	IV6
45	46	1/2	ii6
46	47	0	V(64)
46	47	1/4	V\\
47	48	0	I
47	48	1/4	V43
47	48	1/2	V2
48	49	0	I6
48	49	1/4	ii6(#4)
48	49	1/2	viio7/V
49	50	0	V(64)
49	50	5/8	V7
50	51	0	I(94)
50	51	1/4	I\\
51	52	0	V7
52	53	0	I
52	53	5/8	V6
53	54	0	vi
53	54	1/2	V43/V
54	55	0	V(94)
54	55	1/4	V(+2)
54	55	3/8	V\\
55	56	0	#viio7/ii
55	56	1/4	ii
55	56	1/2	viio43
56	57	0	I6
56	57	1/4	V65/IV
56	57	3/8	#viio65/ii
56	57	1/2	ii6
56	57	5/8	#viio43/ii
57	58	0	ii6
57	58	1/4	V(64)
57	58	5/8	V7
58	59	0	I[I\\
58	59	1/4	I6
58	59	1/2	IV
59	60	0	I6(#4)
59	60	1/8	I6
59	60	1/2	IV
60	61	0	I6]
60	61	1/4	V(64)
60	61	1/2	V7
61	62	0	I[I\\
61	62	1/4	
61	62	1/2	IV
62	63	0	I6(#4)
62	63	1/8	I6
62	63	1/2	IV
63	64	0	I6]
63	64	1/4	V(64)
63	64	1/2	V7
64	65	0	I\\
64	65	1/2	V7
65	66	0	I\\
65	66	1/2	V7
66	67	0	I(94)
66	67	1/4	I\\
