ix	mn	onset	chords
0	0	0	.F.I
1	2	0	V43
2	3	0	I
3	4	0	V2
4	5	0	I6
5	6	0	IV
6	7	0	ii
7	7	1/8	ii6
8	7	1/4	viio/V
9	8	0	V\\
10	8	1/4	I
11	10	0	V43
12	11	0	I
13	12	0	V2
14	13	0	I6
15	14	0	IV
16	15	0	V(64)
17	15	1/4	V
18	16	0	I[I\\
19	17	0	ii6
20	18	1/8	I
21	19	1/8	viio6
22	20	0	I6
23	21	0	ii
24	22	1/8	I
25	23	1/8	viio
26	24	0	I]\\
27	25	0	vi6
28	26	0	V6
29	27	0	viio6/V
30	28	0	V
31	29	0	V.ii6
32	31	1/4	vii%7/V
33	32	0	V\\
34	33	1/4	vii%7/V
35	34	0	V
36	35	1/4	vii%7/V
37	36	0	V\\
38	38	0	V7
39	39	0	V7(+9)
40	40	0	V7
41	41	0	V7(+9)
42	42	0	I
43	43	0	V65
44	44	0	I
45	45	0	V65
46	46	0	I
47	47	0	IV6
48	47	1/4	iii6
49	48	0	ii6
50	48	1/4	viio/V
51	49	0	V(4)
52	49	1/4	V\\
53	50	0	ii
54	53	1/4	ii-V7
55	54	0	I
56	55	0	V65
57	56	0	I
58	57	0	V65
59	58	0	I
60	59	0	IV6
61	59	1/4	iii6
62	60	0	ii6
63	60	1/4	I6
64	61	0	ii6
65	61	1/8	V(64)
66	61	1/4	V
67	62	0	I\\
68	63	0	IV6
69	63	1/4	iii6
70	64	0	ii6
71	64	1/4	I6
72	65	0	ii6
73	65	1/8	V(64)
74	65	1/4	V
75	66	0	I\\
76	67	0	V65/IV
77	68	0	IV
78	69	0	IV6
79	70	0	V7
80	72	0	I
81	73	0	V7
82	74	0	I
83	75	0	V7
84	76	0	I
85	77	0	I\\
86	78	0	I
87	79	0	i
88	82	0	ii.V7
89	83	0	i
90	84	0	ii%65
91	84	1/4	V
92	85	0	i\\
93	87	0	i.iio
94	90	0	V43
95	91	0	I.I
96	92	0	V7
97	93	0	I
98	94	0	vi.V43
99	95	0	i
100	96	0	V7
101	97	0	i
102	98	0	.bII6
103	99	0	i6
104	100	0	#viio6
105	101	0	i6
106	102	0	.It6
107	103	0	V
108	104	0	.It6
109	105	0	V\\
110	107	1/4	I.I
111	108	0	I
112	109	0	V43
113	110	0	I
114	111	0	V2
115	112	0	I6
116	113	0	IV
117	114	0	ii
118	114	1/4	viio/V
119	115	0	V
120	115	1/4	I
121	117	0	V43
122	118	0	I
123	119	0	V2
124	120	0	I6
125	121	0	IV
126	122	0	V(64)
127	122	1/4	V
128	123	0	I[I\\
129	124	0	ii6
130	125	0	I
131	126	1/8	viio
132	127	0	I
133	128	0	ii
134	129	0	I
135	130	1/8	viio
136	131	0	I]\\
137	132	0	vi6
138	133	0	V6
139	134	0	viio6/V
140	135	0	V
141	136	0	ii6
142	137	0	I6
143	138	0	#viio6
144	139	0	I
145	140	0	ii6
146	142	1/4	vii%7/V
147	143	0	V
148	144	1/4	vii%7/V
149	145	0	V
150	146	1/4	vii%7/V\\
151	147	0	V
152	149	0	V7
153	150	0	V7(+9)
154	151	0	V7
155	152	0	V7(+9)
156	153	0	I
157	154	0	V65
158	155	0	I
159	156	0	V65
160	157	0	I
161	158	0	IV6
162	158	1/4	iii6
163	159	0	ii6
164	159	1/4	viio/V
165	160	0	V(4)
166	160	1/4	V
167	161	0	ii
168	164	1/4	ii-V7
169	165	0	I
170	166	0	V65
171	167	0	I
172	168	0	V65
173	169	0	I
174	170	0	IV6
175	170	1/4	iii6
176	171	0	ii6
177	171	1/4	I6
178	172	0	ii6
179	172	1/8	V(64)
180	172	1/4	V
181	173	0	I
182	174	0	IV6
183	174	1/4	iii6
184	175	0	ii6
185	175	1/4	I6
186	176	0	ii6
187	176	1/8	V(64)
188	176	1/4	V
189	177	0	I\\
190	178	0	V65/IV
191	179	0	IV
192	180	0	IV6
193	181	0	V7
194	183	0	I
195	184	0	V7
196	185	0	I
197	186	0	V7
198	187	0	I
