ix	mn	onset	chords
0	0	0	.D.V
1	1	0	I
2	1	1/2	vi
3	2	0	ii6
4	2	1/2	V7
5	3	0	I
6	3	1/2	ii6
7	4	0	V(64)
8	4	1/4	V\\
9	4	1/2	V
10	5	0	I6
11	5	1/2	vi6
12	6	0	V.V7
13	6	1/2	viio
14	7	0	I
15	7	1/4	ii6
16	7	1/2	V(64)
17	7	3/4	V7
18	8	0	I(94)
19	8	1/4	I\\
0	8	0	I.V
1	9	0	V7/II
2	9	1/4	II
3	9	1/2	V7
4	9	3/4	I
5	10	0	IV
6	10	5/8	I6
7	10	3/4	viio6
8	10	7/8	I
9	11	0	V65
10	11	1/4	I
11	11	1/2	V
12	11	3/4	viio6/V
13	12	0	V(64)
14	12	1/2	V\\
15	13	1/2	V
16	14	0	I
17	14	1/2	vi
18	15	0	ii6
19	15	1/2	V7
20	16	0	I
21	16	1/4	ii6
22	16	1/2	V(64)
23	16	3/4	V7
24	17	0	I(94)
25	17	1/4	I\\
26	17	0	V
27	18	0	I
28	18	1/2	I6
29	19	0	ii
30	19	1/2	V7
31	20	0	I6
32	20	1/2	IV
33	21	0	V(64)
34	21	1/4	V\\
35	21	1/2	V
36	22	0	I6
37	22	1/2	vi6
38	23	0	V.viio6
39	23	1/2	V65
40	24	0	I
41	24	1/4	ii6
42	24	1/2	V(64)
43	24	3/4	V7
44	25	0	I(94)
45	25	1/4	I\\
0	25	0	I.V
1	26	0	V65/II
2	26	1/4	II
3	26	1/2	V65
4	26	3/4	I
5	27	0	IV6
6	27	1/4	IV
7	27	2/3	I6
8	27	3/4	viio6
9	27	11/12	I
10	28	0	V65
11	28	1/4	I
12	28	1/2	V6
13	28	3/4	V43/V
14	29	0	V(64)
15	29	1/4	V\\
16	29	1/2	V
17	31	0	I
18	31	1/2	vi
19	32	0	ii6
20	32	1/2	V7
21	33	0	I
22	33	1/4	ii6
23	33	1/2	V(64)
24	33	3/4	V7
25	34	0	I(974)
26	34	1/4	I\\
27	34	0	V43
28	35	0	I
29	35	1/2	V7/IV
30	36	0	IV
31	36	1/4	ii6
32	36	1/2	V
33	36	3/4	viio64
34	36	5/6	I6
35	36	11/12	viio6
36	37	0	I
37	37	1/2	IV
38	37	3/4	ii6
39	38	0	V(64)
