ix	mn	onset	chords	volta
0	0	0	.a.i	
1	5	0	v.i	
2	7	1/4	V(64)	
3	7	3/8	V	
4	8	0	i\\	
0	9	0	i.III	
1	9	1/4	III6	
2	10	0	V/III	
3	11	0	III	
4	11	1/4	III6	
5	12	0	V/III	
6	13	0	i	
7	13	1/4	i6	
8	14	0	V	
9	15	0	i	
10	15	1/4	i6	
11	16	0	V\\	
12	17	0	i	
13	20	0	.Ger6	
14	21	0	V(64)	
15	21	1/4	V2	
16	22	0	i6	
17	22	1/4	iio6	
18	23	0	V(64)	
19	23	1/4	V	
20	24	0	i\\	
0	25	0	I.I	
1	27	0	IV	
2	27	1/4	V65/V	
3	28	0	V	
4	29	0	I	
5	31	0	ii6	
6	31	1/4	V	
7	32	0	I\\	
0	33	0	#vi.i	
1	34	0	V43	
2	35	0	i	
3	36	0	V65	
4	37	0	#iii.iv	
5	38	0	V(64)	
6	39	0	V7	
7	40	0	i\\	
0	41	0	I.I	
1	42	0	V43	
2	42	1/4	V65	
3	43	0	I	
4	44	0	V7	
5	45	0	I	
6	46	0	V43	
7	46	1/4	V65	
8	47	0	I	
9	47	1/8	vi	
10	47	1/4	ii6	
11	47	3/8	V	
12	48	0	I\\	
13	49	0	#vi.i	
14	50	0	V43	
15	51	0	i	
16	52	0	V	
17	52	3/8	V/iv	
18	53	0	iv	
19	54	0	iio6	
20	55	0	V(64)	
21	55	1/4	V7	
22	56	0	i\\	
0	57	0	I.I	
1	59	0	IV	
2	59	1/4	V65/V	
3	60	0	V	
4	61	0	I	
5	63	0	ii6	
6	63	1/4	V	
7	64	0	I\\	
0	64	0	V	
1	65	0	i.i	
2	69	0	v.i	
3	71	1/4	V(64)	
4	71	3/8	V	
5	72	0	i\\	
0	73	0	i.III	
1	73	1/4	III6	
2	74	0	V/III	
3	75	0	III	
4	75	1/4	III6	
5	76	0	V/III	
6	77	0	i	
7	77	1/4	i6	
8	78	0	V	
9	79	0	i	
10	79	1/4	i6	
11	80	0	V\\	
12	81	0	i	
13	84	0	.Ger6	
14	85	0	V(64)	
15	85	1/4	#vii43	
16	86	0	i6	
17	86	1/4	iio6	
18	87	0	V(64)	
19	87	1/4	V	
20	88	0	i\\	
0	89	0	I.I	
1	91	0	IV	
2	91	1/4	V65/V	
3	92	0	V	
4	93	0	I	
5	95	0	ii6	
6	95	1/4	V	
7	96	0	I\\	1
0	100	0	IV	
1	101	0	I	
2	102	0	V	
3	103	0	I	
4	106	0	IV	
5	107	0	I	
6	108	0	V	
7	109	0	I	
8	113	0	I(64)	
9	114	0	I	
10	115	0	V	
11	116	0	I	
12	119	0	IV	
13	120	0	I	
14	121	0	V	
15	122	0	I	
