ix	mn	onset	chords
0	1	0	.f.i
1	2	0	ii%65
2	3	0	V
3	3	5/8	V7
4	4	0	VI(64)
5	4	3/8	VI
6	4	5/8	.Ger6
7	5	0	V(64)
8	5	3/8	V7
9	6	0	VI(64)
10	6	3/8	VI
11	6	5/8	.Ger6
12	7	0	V(64)
13	7	3/8	V7
14	8	0	i(9#74)
15	8	3/8	i\\
16	9	0	III.I64
17	9	3/8	V
18	10	0	V
19	10	3/8	V(64)
20	11	0	IV6
21	11	1/4	I64
22	11	3/8	V6/V
23	12	0	V(64)
24	12	3/8	V
25	13	0	.Ger6
26	14	0	V
27	15	0	viio7/V
28	16	0	V2
29	17	0	I6
30	17	3/8	IV
31	18	0	V(64)
32	18	3/8	V7
33	19	0	vi
34	19	3/8	IV
35	20	0	V(64)
36	20	3/8	V7
37	21	0	I\\
38	21	1/4	V65/vi
39	21	3/8	vi
40	21	5/8	ii6
41	22	0	V(64)
42	22	1/4	V7
43	22	3/8	I\\
44	22	5/8	V65/vi
45	23	0	vi
46	23	1/4	ii6
47	23	3/8	V(64)
48	23	5/8	V7
49	24	0	I(974)
50	24	3/8	I\\
0	26	0	ii.#viio2
1	26	3/8	#viio43
2	27	0	#viio2
3	27	3/8	#viio43
4	28	0	i6
5	28	1/8	#viio6
6	28	1/4	i
7	28	3/8	V65\\
8	29	0	i
9	29	3/8	VI6
11	30	0	#viio7
12	30	3/8	V6
10	30	7/16	v6
14	31	0	v.V7
13	31	3/8	viio7/V
15	32	0	V\\
16	33	0	i
17	34	0	ii%65
18	35	0	V
19	35	5/8	V7
20	36	0	i(4)
21	36	3/8	i.V7
22	37	0	i
23	38	0	ii%65
24	39	0	V
25	39	5/8	V7
26	40	0	VI(64)
27	40	3/8	VI
28	40	5/8	.Ger6
29	41	0	V(64)
30	41	3/8	V7
31	42	0	i(9#74)
32	42	3/8	i\\
33	43	0	i
34	43	3/8	#viio43/iv
35	44	0	iv6(9#7)
36	44	3/8	iv6
37	45	0	.bII6
38	45	5/8	viio7/V
39	46	0	V(64)
40	46	3/8	V
41	47	0	.Ger6
42	48	0	V
43	49	0	viio7/V
44	50	0	#viio43
45	51	0	i6
46	51	3/8	iv
47	52	0	V(64)
48	52	3/8	V7
49	53	0	i6\\
50	53	3/8	ii%65
51	54	0	V(64)
52	54	3/8	#viio65/iv
53	55	0	.Ger6
54	55	3/8	viio65/V
55	56	0	V(64)
56	56	3/8	V7
57	57	0	i\\
58	57	1/4	V65/iv
59	57	3/8	iv
60	57	5/8	iv
61	58	0	V(64)
62	58	1/4	V7
63	58	3/8	i\\
64	58	5/8	#viio7/iv
65	59	0	iv
66	59	1/4	viio7/V
67	59	3/8	V(64)
68	59	5/8	V7
69	60	0	i(9#74)
70	60	3/8	i\\
