ix	mn	onset	chords
0	1	0	.F.I
1	1	1/4	V43
2	1	1/2	I
3	2	0	V65
4	2	1/4	V7
5	2	1/2	I
6	3	0	ii6
7	3	1/4	V(64)
8	3	1/2	V7
9	4	0	IV6
10	4	1/4	V65
11	4	1/2	I
12	5	0	ii6
13	5	1/4	V(64)
14	5	1/2	V7
15	6	0	I\\
16	7	0	V(64)
17	7	1/4	V
18	8	0	I(94)
19	8	1/4	V2/IV
20	8	1/2	viio/IV
21	9	0	IV
22	9	1/2	V65/V
23	10	0	V\\
24	11	0	V.V43
25	12	0	I6
26	13	0	V65
27	14	0	I
28	15	0	V65/V
29	15	1/4	V
30	15	1/2	V7
31	15	7/12	V2
32	16	0	I6
33	16	1/6	IV
34	16	1/4	V(64)
35	16	1/2	V7
36	17	0	I6\\
37	18	0	viio7/V
38	18	1/4	V(b64)
39	18	5/12	V
40	18	1/2	vii%7
41	19	0	I(64)
42	19	1/6	I
43	19	1/4	#viio7/vi
44	19	1/2	vi(64)
45	19	2/3	vi
46	20	0	ii6
47	20	1/4	V(64)
48	20	1/2	V7
49	21	0	I
50	21	1/4	viio6
51	21	1/2	I6
52	22	0	ii65
53	23	0	viio7/V
54	24	0	V(64)
55	25	0	viio/V
56	25	1/4	V(4)
57	25	1/2	V
58	26	0	I\\
59	26	1/2	V7
60	27	0	I
61	27	1/2	V7
62	28	0	I(9#74)
63	28	1/2	I\\
0	29	0	I
1	30	0	V6
2	31	0	vi.iv6
3	32	0	V(64)
4	32	1/4	V
5	33	0	#viio43
6	33	1/4	i6
7	33	1/2	i
8	34	0	iio6
9	34	1/4	V(64)
10	34	1/2	V
11	35	0	#viio64
12	35	1/4	i6
13	35	1/2	i
14	36	0	iio6
15	36	1/4	V(64)
16	36	1/2	V
17	37	0	#viio65/iv
18	38	0	iv6
19	40	0	iv
20	41	0	I.V(64)
21	41	1/4	V7
22	43	0	I
23	43	1/4	V43
24	43	1/2	I
25	44	0	V65
26	44	1/4	V7
27	44	1/2	I
28	45	0	ii6
29	45	1/4	V(64)
30	45	1/2	V7
31	46	0	viio2
32	46	1/4	V7
33	46	1/2	viio2
34	47	0	V7
35	47	1/4	#viio7/vi
36	47	1/2	vi
37	48	0	V65/V
38	49	0	viio6/V
39	50	0	V\\
40	51	0	V43
41	52	0	I6
42	53	0	V65
43	54	0	I
44	55	0	V65/V
45	55	1/4	V
46	55	1/2	V7
47	55	2/3	V2
48	56	0	I6
49	56	1/6	IV
50	56	1/4	V(64)
51	56	1/2	V7
52	57	0	I6\\
53	58	0	viio7/V
54	58	1/4	V(b64)
55	58	5/12	V
56	58	1/2	vii%7
57	59	0	I(64)
58	59	1/6	I
59	59	1/4	#viio7/vi
60	59	1/2	vi(64)
61	59	2/3	vi
62	60	0	ii6
63	60	1/4	V(64)
64	60	1/2	V7
65	61	0	I
66	61	1/4	viio6
67	61	1/2	I6
68	62	0	ii6
69	62	1/4	V(64)
70	62	1/2	V7
71	63	0	I
72	63	1/4	viio6
73	63	1/2	I6
74	64	0	ii65
75	65	0	viio7/V
76	66	0	V(64)
77	67	0	V65/V
78	67	1/4	V(4)
79	67	1/2	V7
80	68	0	I\\
81	69	0	V(64)
82	69	1/4	V
86	70	0	I(42)
83	70	1/4	I
84	70	1/3	V2/IV
85	70	1/2	viio/IV
87	71	0	IV
88	71	1/4	V(64)
89	71	1/2	V7
90	72	0	I\\
91	72	1/2	V7
92	73	0	I
93	73	1/2	V7
94	74	0	I(974)
95	74	1/2	I\\
