measure	beat	label
1	1	.F.I
2	1	I
3	1	I[I6
3	2	viio6
3	3	viio/IV
4	1	IV
5	1	viio6
6	1	I6]
7	1	V65
8	1	I
8	2	V43(4)
8	2.1/2	V43
8	3	I6(7)
8	3.1/2	I6
9	1	IV
9	2	ii6
9	3	V
10	1	V65
11	1	I
11	2	viio6
11	3	I6
12	1	IV
12	2	ii6
12	3	V
13	1	I\\
13	3	V7
14	2	V
14	3	I64]
15	1	V7
15	3	I
16	1	V[V
16	2	I64
16	3	V7]
17	1	I
18	1	viio43/V
18	2	V6
18	3	v6
19	1	viio43/IV
19	2	IV6
19	3	vi64
20	1	viio43/III
20	2	III
20	3	iii
21	1	#viio43/ii
21	2	II
21	3	IV64
22	1	viio43
22	2	I6
23	1	ii6
26	1	V(64)
26	2	V\\
27	1	V.I
28	1	I6
28	3	V43
29	1	I6
29	3	V43
30	1	V(64)
30	3	V\\
31	1	V
32	1	V43
32	3	I
33	1	V43
33	3	I
34	1	V7
34	3	I
35	1	I6
36	1	ii6
37	1	V65/V
38	1	V
38	2	iii6
39	1	V65/vi
40	1	vi
40	2	IV6
40	3	I64
41	1	ii6
41	3	I6
42	1	ii6
42	2	V(64)
42	3	V7
43	1	I\\
44	1	viio6
45	1	I6
46	1	ii6
47	1	ii65
47	2	V(4)
47	3	V
48	1	I\\
49	1	viio6
50	1	I6
51	1	ii6
53	2	V(4)
53	3	V
54	1	I\\
54	3	V7
55	1	I
55	3	V7
56	1	I\\
57	1	I
59	1	V7
61	1	I
61	3	vi
62	1	IV
62	2	ii6
62	3	V2
63	1	I6
63	3	V43
64	1	V65(9)/ii
64	2	V65/ii
65	2	I6
65	3	V43
66	1	V65(9)/ii
66	2	V65/ii
67	1	vi.i
69	1	iv
71	1	VII
73	1	III
75	1	.Ger6
76	1	i64
77	1	viio7/V
78	1	V[V6\\
78	2	VI6
78	3	viio43/V
79	1	V6
79	2	VI6
79	3	viio43/V
80	1	V6]
81	1	viio7/V
82	1	I.V43
83	1	I\\
85	1	I[I6
85	2	viio6
85	3	viio/IV
86	1	IV
87	1	viio6
88	1	I6]
89	1	V43
90	1	I
90	2	V43(4)
90	2.1/2	V43
90	3	I6
91	1	IV
91	2	ii6
91	3	V
92	1	V43
93	1	I
93	2	viio6
93	3	I6
94	1	IV
94	2	ii6
94	3	V
95	1	I\\
95	3	V7
96	1	I[I6
96	2	V
96	3	I64]
97	1	V7
97	3	I
98	1	V[V
98	2	I64
98	3	V7]
99	1	I
100	1	viio43/V
100	2	V6
101	1	#viio43/vi
101	2	VI6
102	1	#viio43/iii
102	2	iii6
103	1	viio43/IV
103	2	IV6
104	1	viio43
104	2	I6
105	1	ii6
108	1	V(64)
108	2	V\\
109	1	I
110	1	I6
110	3	V43
111	1	I6
111	3	V43
112	1	V(64)
112	3	V\\
113	1	V
114	1	V43
114	3	I
115	1	V43
115	3	I
116	1	V7
116	3	I
117	2	I6
117	3	I64
118	1	IV6
118	2	IV
118	3	ii
119	1	viio
119	2	viio6
119	3	viio64
120	1	V
120	2	V43
120	3	I
121	1	vi
122	1	ii
122	3	V
122	3.1/2	V2
123	1	I6
124	1	IV
124	2.1/3	ii6
125	1	V65/V
126	1	V
126	2.1/3	iii6
127	1	V65/vi
128	1	vi
128	2	IV6
128	3	I64
129	1	ii6
129	3	I6
130	1	ii6
130	2	V(64)
130	3	V7
131	1	I\\
132	1	viio6
133	1	I6
134	1	ii6
135	1	ii65
135	2	V(4)
135	3	V
136	1	I\\
137	1	viio6
138	1	I6
139	1	ii6
141	2	V(4)
141	3	V
142	1	I\\
142	3	V7
143	1	I
143	3	V7
144	1	I\\
