mc	mn	onset	chords	volta
0	1	0	.C.I	
0	1	1/2	V43	
0	1	3/4	V65	
0	1	7/8	V7	
1	2	0	I	
1	2	1/8	iii64	
1	2	1/4	IV6	
1	2	3/8	ii6	
1	2	1/2	V(64)	
1	2	11/16	V	
1	2	7/8	viio64	
2	3	0	I6	
2	3	3/8	I	
2	3	1/2	V43	
2	3	3/4	V65	
2	3	7/8	V7	
3	4	0	I	
3	4	1/8	ii6	
3	4	1/4	V(64)	
3	4	3/8	V7	
3	4	1/2	I(974)	
3	4	3/4	I\\	
4	5	0	I	
4	5	1/4	V65	
4	5	1/2	I	
4	5	5/8	V64	
4	5	3/4	I6	
4	5	7/8	I	
5	6	0	V.I6	
5	6	1/8	viio6	
5	6	1/4	I6	
5	6	3/8	I	
5	6	1/2	V43	
5	6	5/8	V65	
5	6	3/4	I\\	
6	7	0	ii6	
6	7	1/2	viio6	
7	8	0	I6	
7	8	1/16	viio	
7	8	1/8	I	
7	8	3/16	viio6-V43	
7	8	1/4	I6	
7	8	3/8	ii6	
7	8	1/2	V(64)	
7	8	5/8	vii%7/V	
7	8	3/4	V\\	
8	9	0	I	
8	9	1/2	V43	
9	10	0	I	
9	10	1/2	V43	
10	11	0	I6	
10	11	3/8	V65/IV	
10	11	1/2	IV(#9)	
10	11	5/8	IV	
11	12	0	I6	
11	12	1/8	ii6	
11	12	1/4	V(64)	
11	12	3/8	V2	
11	12	1/2	I6	
11	12	7/8	V65/IV	
12	13	0	IV(#9)	
12	13	1/8	IV	
12	13	1/2	I6	
12	13	5/8	IV	
12	13	3/4	V(64)	
12	13	7/8	V	
13	14	0	I\\	1
13	14	3/4	I.vii%7	1
14	14	0	V.I\\	2
14	14	3/4	ii.#viio7	2
16	16	1/2	i	
17	17	0	V43	
17	17	1/4	V65	
17	17	3/8	V7	
17	17	1/2	i	
17	17	3/4	V65	
17	17	7/8	I.IV64	
18	18	0	V6(2)	
18	18	1/8	V6(b2)	
18	18	1/4	V65	
18	18	1/2	I	
19	19	0	V43	
19	19	1/4	#viio65/vi	
19	19	1/2	vi.i	
20	20	0	#viio	
20	20	1/2	.It6	
21	21	0	V7	
21	21	1/2	viio7(b3)/V	
22	22	0	V	
22	22	1/4	.Ger6	
22	22	1/2	V	
22	22	3/4	.Ger6	
23	23	0	V\\	
24	24	0	I.I	
24	24	1/2	V43	
24	24	3/4	V65	
24	24	7/8	V7	
25	25	0	I	
25	25	1/8	iii6	
25	25	1/4	IV6	
25	25	3/8	ii6	
25	25	1/2	V(64)	
25	25	11/16	V	
25	25	7/8	viio64	
26	26	0	I6	
26	26	3/8	I	
26	26	1/2	V43	
26	26	3/4	V65	
26	26	7/8	V7	
27	27	0	I	
27	27	1/8	ii6	
27	27	1/4	V(64)	
27	27	3/8	V2	
27	27	1/2	I6	
27	27	5/8	V7/IV\\	
28	28	0	IV.I	
28	28	1/4	V65	
28	28	1/2	I	
28	28	23/32	V64	
28	28	3/4	I6	
28	28	7/8	I	
29	29	0	V6	
29	29	1/8	viio/V	
29	29	1/4	I.I6	
29	29	3/8	I	
29	29	1/2	V43	
29	29	5/8	V65	
29	29	3/4	I\\	
30	30	0	ii6	
30	30	1/2	viio6	
31	31	0	I6	
31	31	1/16	viio	
31	31	1/4	I6	
31	31	3/8	ii6	
31	31	1/2	I	
31	31	11/16	vii%7/V	
31	31	3/4	V\\	
32	32	0	I	
32	32	1/2	V43	
33	33	0	I	
33	33	1/2	V43	
34	34	0	I6	
34	34	3/8	V65/IV	
34	34	1/2	IV(#9)	
34	34	5/8	IV	
34	34	3/4	ii65	
35	35	0	I6(6)	
35	35	1/16	I6	
35	35	1/8	ii6	
35	35	1/4	V(64)	
35	35	3/8	V2	
35	35	1/2	I6	
35	35	7/8	V65/IV	
36	36	0	IV(#9)	
36	36	1/8	IV	
36	36	1/2	I6	
36	36	5/8	IV	
36	36	3/4	V(64)	
36	36	7/8	V	
37	37	0	I	1
37	37	3/4	ii.#viio7	1
38	37	0	I.I	2
39	38	0	V43/V	
39	38	1/2	V7	
39	38	7/8	#viio7/vi	
40	39	0	vi	
40	39	1/8	V(64)	
40	39	1/4	IV	
40	39	3/8	V7	
40	39	1/2	I(974)	
40	39	3/4	I\\	
