ix	mn	onset	chords
0	1	0	.D.I
1	2	1/2	IV6
2	3	0	viio6
3	3	1/4	I
4	3	5/8	vi
5	3	3/4	V
6	4	1/2	V(64)
7	5	1/8	V
8	5	5/8	V(64)
9	6	1/8	V
10	6	5/8	V(6)
11	7	0	V7
12	9	0	I[I\\
13	9	1/2	viio
14	9	3/4	V2/IV
15	10	0	IV6
16	10	1/4	V65
17	10	1/2	I
18	11	0	I
19	11	1/2	viio6
20	11	3/4	I6
21	12	0	IV
22	12	1/2	I6]
23	13	0	ii65
24	14	0	V43/IV
25	15	0	IV6
26	16	0	.Ger6
27	17	0	V[V\\
28	17	3/8	I6
29	17	1/2	V43
30	17	5/8	I
31	17	3/4	V6
32	17	7/8	vi7
33	18	0	V
34	18	1/8	vi7
35	18	1/4	V6
36	18	3/8	I
37	18	1/2	V43
38	18	5/8	V65
39	18	3/4	I
40	18	7/8	vi7
41	19	0	V
42	19	3/8	I6
43	19	1/2	V43
44	19	5/8	I
45	19	3/4	V6
46	19	7/8	vi7
47	20	0	V
48	20	1/8	vi7
49	20	1/4	V6
50	20	3/8	I
51	20	1/2	V43
52	20	5/8	V65
53	20	3/4	I
54	20	7/8	vi7
55	21	0	V]\\
56	22	0	V.V
57	23	0	V6(2)
58	23	1/8	V6
59	24	0	IV6(2)
60	24	1/8	IV6
61	24	1/2	iii6(2)
62	24	5/8	iii6
63	25	0	ii6
64	25	1/2	I6
65	26	0	V
66	27	0	V6(#7)
67	27	3/16	V6
68	28	0	IV6(2)
69	28	3/8	IV6
70	28	1/2	iii6(2)
71	28	5/8	iii6(#7)
72	28	7/8	iii6
73	29	0	ii6(2)
74	29	1/8	ii6(#7)
75	29	3/8	ii6
76	29	1/2	I6(2)
77	30	0	ii65
78	31	0	I64
79	32	0	IV6
80	33	0	.Ger6
81	34	0	V[V\\
82	34	1/2	V6(#7)/ii
83	34	5/8	V6/ii
84	34	3/4	ii
85	35	0	V6(#7)
86	35	1/8	V6
87	35	1/4	I
88	35	1/2	IV6
89	35	3/4	V
90	35	7/8	V7
91	36	0	I(#9)
92	36	1/8	I
93	36	1/2	IV
94	37	0	I6
95	37	1/4	I
96	37	1/2	V43
97	37	3/4	V65]
98	38	0	I
99	39	0	IV
100	40	0	V(64)
101	40	3/4	V7
102	41	0	I
103	42	0	IV
104	43	0	V(64)
105	43	3/4	V7
106	44	0	I\\
107	44	1/4	iv
108	44	1/2	IV
109	44	3/4	ii
110	45	0	V65
111	45	1/2	I
112	46	0	IV
113	47	0	viio7/V
114	48	0	V(64)
115	49	0	V7
116	50	0	I
117	50	1/2	viio
118	50	3/4	I
119	50	15/16	viio/V
120	51	0	V-V(64)
121	51	1/4	V7
122	51	1/2	I\\
0	52	0	v.i
1	52	1/4	i6
2	52	3/8	ii%65
3	52	1/2	i64
4	52	5/8	iv6
5	52	3/4	i64
6	52	7/8	ii%65
7	53	0	i6
8	53	1/4	ii.#viio43
9	54	0	V6
10	54	1/4	V64
11	54	3/8	i6
12	54	1/2	V2
13	54	5/8	i64
14	54	3/4	V2
15	54	7/8	i6
16	55	0	V64
17	55	1/4	V7(+9)
18	55	3/8	V(64)
19	55	1/2	V7
20	55	5/8	V(64)
21	55	3/4	V7
22	56	0	i64
23	56	1/4	i6
24	56	3/8	ii7
25	56	1/2	i64
26	56	5/8	iv6
27	56	3/4	i64
28	56	7/8	ii7
29	57	0	i6
30	57	1/4	vi.#viio7
31	58	0	V6
32	58	1/4	V
33	58	3/8	#vi%7
34	58	1/2	V6
35	58	5/8	i
36	58	3/4	V6
37	58	7/8	#vi%7
38	59	0	V
39	59	1/4	V7(+9)
40	59	3/8	V7
41	60	0	i
42	60	1/4	VI6
