ix	mn	onset	chords
43	61	0	viio43/V
44	62	0	v6
45	62	1/4	iio6/ii
46	63	0	#viio43/ii
47	64	0	ii6
48	64	1/4	i.iio6
49	64	7/8	ii%65
50	65	0	#viio43
51	66	0	i6
52	66	1/4	#viio6
53	66	1/2	i6
54	66	3/4	V6
55	67	0	VI6
56	67	1/4	V6
57	67	1/2	VI6
58	67	3/4	#viio6/iv
59	68	0	iv6
60	68	1/4	#viio6/iv
61	68	1/2	iv6
62	68	3/4	III6
63	69	0	.bII6
64	69	1/4	I6
65	69	1/2	.bII6
66	69	3/4	viio/V
67	70	0	V\\
68	71	0	V7
69	72	0	I
70	73	1/2	IV6
71	74	0	viio6
72	74	1/4	I
73	74	5/8	vi
74	74	3/4	V
75	75	5/8	V(64)
76	76	0	V(64)
77	76	1/8	V
78	76	5/8	V(64)
79	77	0	V(64)
80	77	1/8	V
81	77	5/8	V(6)
82	78	0	V7
83	80	0	I[I
84	80	1/2	V6
85	80	3/4	V2/IV
86	81	0	IV6
87	81	1/4	V65
88	81	1/2	I
89	82	1/2	viio6
90	82	3/4	I6
91	83	0	IV
92	83	1/2	I]
93	84	0	ii65
94	85	0	V43/IV
95	86	0	IV6
96	87	0	.Ger6
97	88	0	V\\
98	88	3/8	I6
99	88	1/2	V43
100	88	5/8	I
101	88	3/4	V6
102	88	7/8	vi7
103	89	0	V
104	89	1/8	vi7
105	89	1/4	V6
106	89	3/8	I
107	89	1/2	V43
108	89	5/8	V65
109	89	3/4	I
110	89	7/8	vi7
111	90	0	V
112	90	3/8	I6
113	90	1/2	V43
114	90	5/8	I
115	90	3/4	V6
116	90	7/8	vi7
117	91	0	V
118	91	1/8	vi7
119	91	1/4	V6
120	91	3/8	I
121	91	1/2	V43
122	91	5/8	V6
123	91	3/4	I
124	91	7/8	vi7
125	92	0	V\\
126	93	0	V
127	94	0	V6(2)
128	94	1/8	V6
129	95	0	IV6(2)
130	95	1/8	IV6
131	95	1/2	iii6(2)
132	95	5/8	iii6
133	96	0	ii6
134	96	1/2	I6
135	97	0	V7
136	99	0	V6(#7)
137	99	3/16	V6
138	100	0	IV6(7)
139	100	3/8	IV6
140	100	1/2	iii6(2)
141	100	5/8	iii6(#7)
142	100	7/8	iii6
143	101	0	ii6(#7)
144	101	3/8	ii6
145	101	1/2	I6(2)
146	101	11/16	I6
147	102	0	ii65
148	103	0	V(64)
149	104	0	IV6
150	105	0	.Ger6
151	106	0	V[V\\
152	106	1/2	V6(#7)/ii
153	106	5/8	V65/ii
154	107	0	V65(+7)
155	107	1/8	V65
156	107	1/4	I
157	107	1/2	IV6
158	107	3/4	V7
159	108	0	V(64)
160	108	1/2	V7
161	109	0	V(64)
162	109	1/2	V7]
163	110	0	I
164	111	0	IV
165	112	0	V(64)
166	112	3/4	V7
167	113	0	I
168	114	0	IV
169	115	0	V(64)
170	115	3/4	V7
171	116	0	I\\
172	116	1/4	vi
173	116	1/2	IV
174	116	3/4	ii
175	117	0	V65
176	117	1/2	I
177	118	0	IV
178	118	1/2	viio7/V
179	119	0	V(64)
180	119	1/2	V7
181	120	0	I
182	120	1/4	vi
183	120	1/2	IV
184	120	3/4	ii
185	121	0	V65
186	121	1/2	I
187	122	0	IV
188	123	0	viio7/V
189	124	0	V(64)
190	125	0	V7
191	126	0	I\\
192	126	1/2	viio
193	126	3/4	viio/V
194	127	0	V
195	127	1/2	I\\
