ix	mn	onset	chords
0	1	0	.Bb.I
1	1	1/2	V6(#7)
2	1	11/16	V6
3	2	0	IV6
4	2	1/4	IV
5	2	1/2	I6(7)
6	2	11/16	I6
7	3	0	IV
8	3	1/8	IV+
9	3	1/4	ii6
10	3	1/2	iii
11	3	3/4	I6
12	4	0	V65
13	4	1/4	I(4)
14	4	5/16	I
15	4	1/2	V(64)
16	4	3/4	V\\
17	5	0	i.i
18	5	1/2	v6(#7)
19	5	11/16	v6
20	6	0	iv6
21	6	1/4	iv
22	6	1/2	I6(#7)
23	6	11/16	i6
24	7	0	V7(b9)/V
25	7	5/16	V7/V
26	7	1/2	v.VI(4)
27	7	5/8	VI
28	7	3/4	ii%65
33	8	0	V(64)
29	8	1/4	V7(4)
30	8	3/8	V7
31	8	1/2	I\\
32	8	3/4	V.I
34	9	0	V65
35	9	1/2	I
36	10	0	V65
37	10	1/2	I
38	11	0	vi
39	11	1/4	IV
40	11	1/2	V7/ii
41	11	3/4	ii
42	11	7/8	V43
43	12	0	I6
44	12	1/8	ii6
45	12	1/4	V(64)
46	12	3/8	V7
47	12	1/2	I(79)
48	12	5/8	I\\
49	13	0	V65
50	13	1/2	I
51	14	0	V65
52	14	1/2	I
53	15	0	vi
54	15	1/4	IV
55	15	1/2	V7/ii
56	15	3/4	ii
57	15	7/8	V43
58	16	0	I6
59	16	1/8	ii6
60	16	1/4	V(64)
61	16	3/8	V
62	16	1/2	I
63	16	11/16	vi
64	16	3/4	viio6
65	17	0	I6
66	17	3/8	V65/IV
67	17	1/2	IV
68	17	3/4	ii6
69	18	0	V(64)
70	18	1/2	V7
71	19	0	I[I
72	19	3/16	V2/IV
73	19	1/4	IV6
74	19	3/8	ii6
75	19	1/2	I6
76	19	11/16	V2/IV
77	19	3/4	IV6
78	19	7/8	ii6
79	20	0	I6]
80	20	1/4	I.V7
81	20	1/2	V7\\
82	21	0	I
83	21	1/2	V6(#7)
84	21	11/16	V6
85	22	0	IV6
86	22	1/4	IV
87	22	1/2	I6(7)
88	22	11/16	I6
89	23	0	IV
90	23	1/8	IV+
91	23	1/4	ii6
92	23	1/2	I6
93	24	0	V65
94	24	1/4	I
95	24	1/2	V(64)
96	24	3/4	V\\
97	25	0	i.i
98	25	1/2	v6(#7)
99	25	11/16	v6
100	26	0	iv6
101	26	1/4	iv
102	26	1/2	I6(7)
103	26	11/16	I6
104	26	3/4	i6
105	27	0	V7(b9)/V
106	27	1/4	V7/V
107	27	1/2	v.VI(4)
108	27	5/8	VI
109	27	3/4	ii%65
114	28	0	V(64)
110	28	1/4	V7(4)
111	28	3/8	V7
112	28	1/2	I\\
113	28	3/4	I.I
115	29	0	V65/IV
116	29	1/2	I
117	30	0	V65
118	30	1/2	I
119	31	0	vi
120	31	1/4	IV
121	31	1/2	V7/ii
122	31	3/4	ii
123	31	7/8	V43
126	32	0	I6
127	32	1/8	ii6
128	32	1/4	V(64)
129	32	3/8	V7
124	32	1/2	I(97)
125	32	5/8	I\\
130	33	0	V65
131	33	1/2	I
132	34	0	V65
133	34	1/2	I
134	35	0	vi
135	35	1/4	IV
136	35	1/2	V7/ii
137	35	3/4	ii
138	35	7/8	V43
139	36	0	I6
140	36	1/8	ii6
141	36	1/4	V(64)
142	36	3/8	V
143	36	1/2	I
144	36	11/16	vi
145	36	3/4	viio6
146	37	0	I6
147	37	3/8	V65/IV
148	37	1/2	IV
149	37	3/4	ii6
150	38	0	V(64)
151	38	1/2	V7
152	39	0	I[I\\
153	39	3/16	V2/IV
154	39	1/4	IV6
155	39	3/8	ii6
156	39	1/2	I6
157	39	5/8	V2/IV
158	39	3/4	IV6
159	39	7/8	ii6
160	40	0	I6
161	40	1/8	viio6
162	40	1/4	I6
163	40	3/8	viio6
164	40	1/2	I(974)
165	40	3/4	I]\\
