ix	mn	onset	chords
0	0	0	.C.I
1	1	0	vi
2	1	1/4	ii6
3	2	0	V
4	2	1/4	I6
5	3	0	IV
6	3	1/4	ii6
7	3	3/8	ii
8	4	0	V\\
9	4	1/4	I
10	5	0	vi
11	5	1/4	ii
12	6	0	V
13	6	1/4	I
14	7	0	ii6
15	7	1/4	IV
16	7	3/8	V7
17	8	0	I\\
18	8	1/4	V.IV
19	9	0	I6
20	9	1/4	V6
21	10	0	I
22	10	1/4	I6
23	11	0	ii6
24	11	1/4	V65/V
25	12	0	V\\
26	12	1/4	I
27	13	0	vi
28	13	1/4	ii6
29	14	0	V
30	14	1/4	I6
31	15	0	IV
32	15	1/4	V(64)
33	15	3/8	V7
34	16	0	I\\
35	18	0	I.V7
36	19	0	V7(9)
37	20	0	V7\\
38	20	1/4	I
39	21	0	vi
40	21	1/4	ii6
41	22	0	V
42	22	1/4	I6
43	23	0	IV
44	23	1/4	ii6
45	23	3/8	ii
46	24	0	V\\
47	24	1/4	I
48	25	0	vi
49	25	1/4	ii
50	26	0	V
51	26	1/4	I
52	27	0	ii6
53	27	1/4	IV
54	27	3/8	V7
55	28	0	I\\
56	28	1/4	I
57	29	0	vi
58	29	1/4	viio
59	30	0	V6/vi
60	30	1/4	vi.i
61	31	0	i64
62	31	1/4	V7
63	32	0	V
64	32	1/4	i6
65	33	0	.bII6
66	33	1/4	#viio6/iv
67	34	0	iv6
68	34	1/8	V6/iv
69	34	1/4	iv
70	34	3/8	i64
71	35	0	.Ger6
72	36	0	V[V\\
73	37	0	i
74	38	0	V6
75	39	0	i
76	40	0	V]
77	40	1/4	i
78	41	0	i64
79	41	1/4	V7
80	42	0	V
81	42	1/4	i64
82	43	0	i6
83	43	1/4	iio6
84	44	0	V64
85	44	1/4	#viio
86	45	0	i
87	45	1/8	iio
88	45	1/4	i6
89	45	3/8	V65/iv
90	46	0	iv
91	46	1/8	i64
92	46	1/4	iv6
93	46	3/8	i64
94	47	0	.bII6
95	47	1/4	V(64)
96	47	3/8	V
97	48	0	i\\
98	48	1/4	V7
99	49	0	i
100	49	1/4	V7
101	50	0	i
102	50	1/4	V7
103	51	0	i
104	51	1/4	I.V7
105	52	1/4	I
106	53	0	vi
107	53	1/4	ii6
108	54	0	V
109	54	1/4	I6
110	55	0	IV
111	55	1/4	ii6
112	55	3/8	ii
113	56	0	V\\
114	56	1/4	I
115	57	0	vi
116	57	1/4	ii
117	58	0	V
118	58	1/4	I
119	59	0	ii6
120	59	1/4	IV
121	59	3/8	V7
122	60	0	I\\
123	60	1/4	V2
124	61	0	I6
125	61	1/4	V2
126	62	0	I
127	62	1/4	ii6
128	63	0	V(64)
129	63	1/4	V7
130	64	0	I(9)
131	64	1/8	I\\
132	64	1/4	V2
133	65	0	I6
134	65	1/4	V2
135	66	0	I6
136	66	1/4	ii6
137	67	0	V(64)
138	67	1/4	V7
139	68	0	I\\
140	69	0	V(64)
141	69	1/4	V7
142	70	0	I
143	71	0	V(64)
144	71	1/4	V7
145	72	0	I\\
