mc	mn	onset	chords
0	1	0	.C.I
1	2	0	I6
1	2	1/2	I
2	3	0	I6
2	3	1/2	V65/ii
3	4	0	V43
3	4	1/2	V6
4	5	0	I(4)
4	5	1/8	I
4	5	1/2	I6
5	6	0	ii6
6	7	1/2	V(64)
6	7	3/4	V7
7	8	0	I\\
8	9	0	I6
8	9	1/2	I
9	10	0	I6
9	10	1/2	V65/ii
10	11	0	V43
10	11	1/2	V6
11	12	0	I(+4)
11	12	1/8	I
11	12	1/2	I6
12	13	0	#viio43/ii
12	13	1/2	ii6
13	14	0	viio6/IV
13	14	1/2	IV6
14	15	1/2	IV
15	16	0	I6
15	16	1/2	I
16	17	0	ii6(2)
16	17	1/16	ii6
16	17	1/2	V(64)
16	17	3/4	V
17	18	0	IV6
17	18	1/2	IV
18	19	0	I6
18	19	1/2	I
19	20	0	ii65(2)
19	20	1/16	ii65
19	20	3/8	ii6
19	20	1/2	V(64)
19	20	3/4	V
20	21	0	I\\
22	23	0	V6
24	25	0	V.V65
26	27	0	I(4)
26	27	1/16	I
26	27	1/4	V64(4)
26	27	5/16	V64
26	27	1/2	V65
26	27	3/4	V7
27	28	0	I(4)
27	28	1/16	I
27	28	1/4	V64(4)
27	28	5/16	V64
27	28	1/2	V65
27	28	3/4	V7
28	29	0	I
28	29	1/2	I6
29	30	0	IV
29	30	1/2	IV6
30	31	0	ii
31	32	0	V\\
33	34	0	V2
33	34	1/4	I6
33	34	1/2	V2
33	34	3/4	V43
34	35	0	I
34	35	1/2	I6
35	36	0	V2
35	36	1/2	V64
36	37	0	I6
36	37	1/4	I
36	37	1/2	V43
36	37	3/4	V65
37	38	0	I
37	38	1/4	viio6/V
37	38	1/2	V\\
38	39	0	I
38	39	1/2	I6
39	40	0	V2
39	40	1/2	V64
40	41	0	I6
40	41	1/4	I
40	41	1/2	V43
40	41	3/4	V65
41	42	0	I
41	42	1/4	viio6/V
41	42	1/2	V\\
41	42	3/4	V2
42	43	0	I6
43	44	0	IV
44	45	0	V(64)
44	45	1/2	V7
45	46	0	I6
46	47	0	IV
47	48	0	I64
47	48	1/4	IV6
47	48	1/2	I64
47	48	3/4	IV
48	49	0	I6
48	49	1/4	IV6
48	49	1/2	I64
48	49	3/4	IV
49	50	0	#viio65/ii
50	51	0	ii6
51	52	0	V(64)
52	53	0	V7
53	54	0	I\\
53	54	3/8	I
53	54	1/2	ii
53	54	3/4	viio
54	55	0	I(4)
54	55	1/8	I
54	55	1/4	vi
54	55	1/2	ii6(2)
54	55	5/8	ii6
54	55	3/4	V
55	56	0	I6(2)
55	56	1/8	I6\\
55	56	1/4	I
55	56	1/2	ii
55	56	3/4	viio
56	57	0	I
56	57	1/4	vi
56	57	1/2	ii6
56	57	3/4	V
57	58	0	I\\
58	59	0	v.i
59	60	0	i6
59	60	1/2	i
60	61	0	i6
60	61	3/8	iio
60	61	1/2	i
61	62	0	i64
61	62	3/8	iio6
61	62	1/2	i6
62	63	0	ii.iv6
63	64	0	V7(4)
63	64	1/2	V7
64	65	0	iv6
65	66	0	V7(4)
65	66	1/2	V7
66	67	0	i
67	68	0	i6
67	68	1/2	i
68	69	0	vi.iv6
69	70	0	V7(4)
69	70	1/2	V7
70	71	0	iv6
71	72	0	V7(4)
71	72	1/2	V7
72	73	0	i
72	73	1/2	VI6
73	74	0	viio43/V
73	74	1/2	V6
74	75	0	v.i
74	75	1/2	VI6
75	76	0	viio43/V
75	76	1/2	V6
76	77	0	#viio43/iv
76	77	1/2	IV6
77	78	0	vi.#viio43
77	78	1/2	i6
78	79	0	viio7/V
80	81	1/2	V(64)
80	81	3/4	V7
81	82	0	i\\
81	82	1/2	iio
81	82	3/4	#viio
82	83	0	i(4)
82	83	1/8	i
82	83	1/4	IV
82	83	1/2	iio6(2)
82	83	5/8	iio6
82	83	3/4	V
83	84	0	i6(2)
83	84	1/8	i6
83	84	1/4	i
83	84	1/2	iio
83	84	3/4	#viio
84	85	0	i
84	85	1/4	IV
84	85	1/2	iio6
84	85	3/4	V
85	86	0	i
86	87	0	i6
86	87	1/2	i
87	88	0	i6
87	88	3/8	iio
87	88	1/2	i
88	89	0	i64
88	89	3/8	iio6
88	89	1/2	i6
89	90	0	I.V6
89	90	1/2	V
90	91	1/2	V6
91	92	0	viio6
91	92	3/8	I
91	92	1/2	viio
92	93	0	viio64
92	93	3/8	I6
92	93	1/2	viio6\\
93	94	0	I
94	95	0	I6
94	95	1/2	I
95	96	0	I6
95	96	1/2	V65/ii
96	97	0	V43
96	97	1/2	V6
97	98	0	I(+4)
97	98	1/8	I
97	98	1/2	I6
98	99	0	ii6
99	100	1/4	ii6
99	100	1/2	V(64)
99	100	3/4	V
100	101	0	i.i\\
101	102	0	i6
101	102	1/2	i
102	103	0	i6
102	103	1/2	i
103	104	0	V64
103	104	1/4	V43
103	104	1/2	V65
104	105	0	#viio2(+4)/ii
104	105	1/8	#viio2/ii
105	106	0	iv6(+2)
105	106	1/4	iv6
106	107	0	viio43(2)/V
106	107	1/8	viio43/V
107	108	0	V6
109	110	0	IV6
109	110	1/2	IV
110	111	0	I6
110	111	1/2	I
111	112	0	ii6(+2)
111	112	1/16	ii6
111	112	1/2	V(64)
111	112	3/4	V
112	113	0	IV6
112	113	1/2	IV
113	114	0	I6
113	114	1/2	I
114	115	0	ii65(2)
114	115	1/16	ii65
