ix	mn	onset	chords
0	1	0	.G.I
1	1	1/4	V6
2	1	3/8	I
3	2	0	V43
4	2	1/8	V6
5	2	1/4	I
6	3	0	IV6
7	3	1/8	I64
8	3	1/4	IV
9	3	7/16	I6
10	4	0	viio
11	4	1/8	I
12	4	1/4	V(64)
13	4	3/8	V\\
14	5	0	I
15	5	1/4	V6
16	5	3/8	I
17	6	0	V43
18	6	1/8	V6
19	6	1/4	I
20	7	0	IV6
21	7	1/8	I64
22	7	1/4	IV
23	7	7/16	IV6
24	8	0	V(64)
25	8	1/8	V
26	8	1/4	I\\
27	9	0	ii6
28	9	1/4	V7
29	10	0	I
30	10	1/4	vi
31	11	0	ii6
32	11	1/4	V7
0	12	0	I\\
1	12	1/4	V7/vi
2	13	0	vi
3	13	1/4	V.V7
4	14	0	I
5	14	1/4	viio6/V
6	15	1/4	V\\
7	17	0	I
8	18	0	ii2
9	19	0	V6
10	19	1/4	IV6
11	20	0	V65/vi
12	20	1/4	vi
13	21	0	V65/V
14	22	0	V2
15	22	1/4	I6
16	23	0	ii6
17	23	3/8	V6/V
18	24	0	V[V\\
19	25	0	I
20	25	1/4	V6
21	25	3/8	I
22	26	0	ii
23	26	1/8	V6
24	26	1/4	I(4)
25	26	3/8	I]
26	27	0	I
27	27	1/4	V6
28	27	3/8	I
29	28	0	V43
30	28	3/8	I
31	29	0	I6
32	29	1/8	#viio43/vi
33	29	1/4	vi
34	30	0	vi6
35	30	1/8	V2/IV
36	30	1/4	IV6
37	31	1/8	#viio43/ii
38	31	1/4	ii6
39	32	0	V(64)
40	32	1/8	V
41	32	1/4	I(7#2)
42	32	3/8	I\\
43	33	0	I6
44	33	1/8	#viio43/vi
45	33	1/4	vi6
46	34	1/8	V2/IV
47	34	1/4	IV6
48	35	1/8	#viio43/ii
49	35	1/4	ii6
50	36	0	V(64)
51	37	0	V(4)
52	37	1/4	V7
53	38	0	I\\
54	38	1/4	I.V7
55	39	0	I
56	39	1/4	V6
57	39	3/8	I
58	40	0	V43
59	40	3/8	I
60	41	0	IV6
61	41	1/8	I64
62	41	1/4	IV
63	41	7/16	I6
64	42	0	viio
65	42	1/8	I
66	42	1/4	V(64)
67	42	3/8	V\\
68	43	0	I
69	43	1/4	V6
70	43	3/8	V6/ii
71	44	0	V43
72	44	1/8	V6
73	44	1/4	I(4)
74	44	3/8	I
75	45	0	IV6
76	45	1/8	I64
77	45	1/4	IV
78	45	7/16	IV6
79	46	0	V(64)
80	46	1/8	V
81	46	1/4	I\\
82	47	0	ii6
83	47	1/4	V7
84	48	0	I
85	48	1/4	vi
86	49	0	ii6
87	49	1/4	V7
88	50	0	I\\
89	50	1/4	.It6
90	51	1/4	V\\
91	53	0	I
92	54	0	ii2
93	55	0	V6
94	55	1/4	ii64
95	56	0	V65/vi
96	56	1/4	vi
97	56	3/8	vi2
98	57	0	V65/V
99	58	0	V2
100	58	1/4	I6
101	59	0	ii6
102	59	3/8	V6/V
103	60	0	V[V\\
104	61	0	I
105	61	1/4	V6
106	61	3/8	I
107	62	0	V65
108	62	1/4	I(4)
109	62	3/8	I]
110	63	0	I
111	63	1/4	V6
112	63	3/8	I
113	64	0	V43
114	64	3/8	I
115	65	0	I6
116	65	1/8	#viio43/vi
117	65	1/4	vi6
118	66	1/8	V2/IV
119	66	1/4	IV6
120	67	1/8	#viio43/ii
121	67	1/4	ii6
122	68	0	V(64)
123	68	1/8	V
124	68	1/4	I(7#2)
125	68	3/8	I\\
126	69	0	I6
127	69	1/8	#viio43/vi
128	69	1/4	vi6
129	70	1/8	V2/IV
130	70	1/4	IV6
131	71	1/8	#viio43/ii
132	71	1/4	ii6
133	72	0	V(64)
134	73	0	V(974)
135	73	1/4	V7
136	74	0	I\\
137	75	1/4	V6
138	75	7/16	I
139	76	0	V43
140	76	1/8	V6
141	76	1/4	I(4)
142	76	3/8	I
143	77	0	IV6
144	77	1/8	I64
145	77	1/4	IV
146	77	7/16	I6
147	78	0	V65
148	78	1/8	I
149	78	1/4	V(64)
150	78	3/8	V\\
151	79	0	I
152	79	1/4	V6
153	79	3/8	I
154	80	0	V43
155	80	1/8	V6
156	80	1/4	I(4)
157	80	3/8	I
158	81	0	IV6
159	81	1/8	I64
160	81	1/4	IV
161	81	7/16	IV6
162	82	0	V(64)
163	82	1/8	V
164	82	1/4	I\\
165	83	0	ii6
166	83	1/4	V7
167	84	0	I
168	84	1/4	vi
169	85	0	ii6
170	85	1/4	V7
171	86	0	I
172	86	1/4	vi
173	87	0	ii6
174	87	1/4	V7
175	88	0	I6
176	88	1/4	vi
177	89	0	ii6
178	89	1/4	V7
179	90	0	I\\
180	90	1/4	V7
181	91	0	I
182	91	1/4	V7
183	92	0	I\\
184	92	1/8	V7
185	92	1/4	I
186	92	3/8	V7
187	93	0	I\\
