mc	mn	onset	chords
1	1	0	.C.I6
1	1	1/4	I
2	2	0	viio
2	2	1/4	V7
3	3	0	I
3	3	1/4	ii6
3	3	3/8	viio/V
4	4	0	V\\
5	5	0	I6
5	5	1/4	I
6	6	0	viio
6	6	1/4	V7
7	7	0	I
7	7	1/8	I6
7	7	1/4	V/V
7	7	3/8	V65
8	8	0	I
8	8	1/8	I6
8	8	1/4	V/V
8	8	3/8	V65
9	9	0	I
9	9	1/8	I6
9	9	1/4	ii6
9	9	3/8	V
10	10	0	I\\
11	11	0	I
12	12	0	V6
14	14	0	viio6/V
15	15	0	V.V7
16	16	0	vi
16	16	1/4	iii6
17	17	0	ii6
17	17	3/8	viio/V
18	18	0	V\\
18	18	1/4	V2
18	18	3/8	I6
19	19	0	V43
19	19	1/8	I
19	19	1/4	V65
19	19	3/8	I
20	20	0	V\\
20	20	1/4	V2
20	20	3/8	I6
21	21	0	V43
21	21	1/8	I
21	21	1/4	V65
21	21	3/8	I
22	22	0	V\\
24	24	0	vi
24	24	1/4	viio6/V
24	24	3/8	V
25	25	0	iii6
26	26	0	IV
26	26	1/4	ii6
26	26	3/8	I6
28	28	0	ii
28	28	1/4	viio6
28	28	3/8	I
29	29	0	IV
29	29	1/4	viio/V
30	30	0	V\\
30	30	3/8	V(b64)
31	31	0	V
31	31	3/8	V(b64)
32	32	0	V
32	32	1/8	#viio/vi
33	33	0	I
33	33	1/8	I6
33	33	1/4	IV
33	33	3/8	V
34	34	0	vi
34	34	1/8	IV6
34	34	1/4	iii6
34	34	3/8	ii6
35	35	0	I6
35	35	1/8	viio6
35	35	1/4	vi6
35	35	3/8	V6
36	36	0	IV6
36	36	1/8	iii6
36	36	1/4	ii6
36	36	3/8	I6
37	37	0	IV
37	37	1/4	V(64)
37	37	3/8	V
38	38	0	I\\
38	38	1/4	IV6
39	39	0	I64
39	39	1/4	ii65
40	40	0	I6
40	40	1/4	IV6
41	41	0	I64
41	41	1/4	ii65
42	42	0	I6
42	42	1/4	IV6
43	43	0	V(64)
43	43	1/4	ii65
44	44	0	I6
44	44	1/4	ii6
45	45	0	V(64)
45	45	1/4	V7
46	46	0	I\\
47	47	0	viio6/V
47	47	1/4	viio
47	47	3/8	I
48	48	0	ii6
49	49	0	V(64)
49	49	1/4	V
50	50	0	I\\
51	51	0	viio6/V
51	51	1/4	viio
51	51	3/8	I
52	52	0	ii6
53	53	0	V(64)
53	53	1/4	V
54	54	0	I\\
54	54	1/4	V7
55	55	0	I
55	55	1/4	V7
56	56	0	I\\
59	58	0	I6
59	58	1/4	vii%7/V
59	58	3/8	V
60	59	0	iii6
61	60	0	vi6
61	60	1/4	#viio7/iii
61	60	3/8	iii
62	61	0	V65/IV
62	61	1/4	IV
63	62	0	vi.i
63	62	3/8	V
65	64	0	i
65	64	1/4	#viio43/v
65	64	3/8	v6
66	65	0	III
67	66	0	VI
67	66	1/4	vii%43/III
67	66	3/8	III6
68	67	0	V/iv
69	68	0	iv
69	68	1/4	#viio43
69	68	3/8	i6
70	69	0	.It6
71	70	0	V
72	71	0	.It6
73	72	0	V[V\\
73	72	1/8	i
73	72	1/4	V
73	72	3/8	i
74	73	0	V
74	73	1/8	i
74	73	1/4	V
74	73	3/8	i
75	74	0	V
75	74	1/8	i
75	74	1/4	V
75	74	3/8	i
76	75	0	V]
78	77	0	iii.i6
78	77	1/4	i
79	78	0	#viio
79	78	1/4	V7
80	79	0	i
80	79	1/8	ii.iio
81	80	0	V2
82	81	0	i6
82	81	1/4	i
83	82	0	#viio
83	82	1/4	V7
84	83	0	i
85	84	0	I.V2
86	85	0	I6
86	85	1/4	I
87	86	0	viio
87	86	1/4	V7
88	87	0	I6
88	87	1/4	I
89	88	0	viio
89	88	1/4	V7
90	89	0	I
90	89	1/4	ii6
90	89	3/8	viio/V
91	90	0	V\\
92	91	0	I
93	92	0	V2
94	93	0	I6
94	93	1/4	V6/V
94	93	3/8	V2
95	94	0	I6
95	94	1/4	V/V
95	94	3/8	V65
96	95	0	I
96	95	1/8	I6
96	95	1/4	ii6
96	95	3/8	V
97	96	0	I\\
98	97	0	I[V43/IV
99	98	0	IV
101	100	0	I6]
102	101	0	I6
103	102	0	ii6
104	103	3/8	V65/V
105	104	0	V\\
105	104	1/4	V2
105	104	3/8	I6
106	105	0	V43
106	105	1/8	I
106	105	1/4	V65
106	105	3/8	I
107	106	0	V\\
107	106	1/4	V2
107	106	3/8	I6
108	107	0	V43
108	107	1/8	I
108	107	1/4	V65
108	107	3/8	I
109	108	0	V\\
111	110	0	vi
111	110	1/4	#ivo6
111	110	3/8	iii6
113	112	0	IV
113	112	1/4	ii6
113	112	3/8	I6
115	114	0	ii
115	114	1/4	viio6
115	114	3/8	I
116	115	0	IV
116	115	1/4	viio/V
117	116	0	V\\
117	116	3/8	i
118	117	0	V
118	117	3/8	i
119	118	0	V\\
119	118	1/8	#viio/vi
119	118	1/4	vi
120	119	0	I
120	119	1/8	I6
120	119	1/4	IV
120	119	3/8	V
121	120	0	vi
121	120	1/8	IV6
121	120	1/4	iii6
121	120	3/8	ii6
122	121	0	I6
122	121	1/8	viio6
122	121	1/4	vi6
122	121	3/8	V6
123	122	0	IV6
123	122	1/8	iii6
123	122	1/4	ii6
123	122	3/8	I6
124	123	0	IV
124	123	1/4	V(64)
124	123	3/8	V
125	124	0	I\\
125	124	1/4	IV6
126	125	0	I64
126	125	1/4	ii65
127	126	0	I6
127	126	1/4	IV6
128	127	0	I64
128	127	1/4	ii65
129	128	0	I6
129	128	1/4	IV6
130	129	0	I64
130	129	1/4	ii65
131	130	0	I6
131	130	1/4	ii6
132	131	0	V(64)
132	131	1/4	V7
133	132	0	I
133	132	1/4	V
133	132	3/8	i
134	133	0	V
134	133	3/8	V(6b4)
135	134	0	V
138	137	0	I
138	137	1/4	viio/V
138	137	3/8	V
139	138	0	IV
139	138	1/4	#viio/iii
139	138	3/8	iii
140	139	0	viio
140	139	3/8	V(64)
142	141	0	I
142	141	1/8	vi6
142	141	1/4	#ivo64
142	141	3/8	iii6
143	142	0	iii
144	143	1/8	viio6/V
144	143	1/4	#viio64/iii
144	143	3/8	iii6
145	144	0	I
146	145	1/8	ii6
146	145	1/4	V2
146	145	3/8	I6
147	146	0	IV
147	146	1/4	V(64)
147	146	3/8	V
148	147	0	I\\
149	148	0	viio6/V
149	148	1/4	viio
149	148	3/8	I
150	149	0	ii6
151	150	0	V(64)
151	150	1/4	V
152	151	0	I\\
153	152	0	viio6/V
153	152	1/4	viio
153	152	3/8	I
154	153	0	ii6
155	154	0	V(64)
155	154	1/4	V
156	155	0	I\\
156	155	1/4	V7
157	156	0	I
157	156	1/4	V7
158	157	0	I
158	157	1/4	V7
159	158	0	I\\
