mc	mn	onset	chords
1	1	0	.Eb.I
2	2	0	V6
3	3	0	I
3	3	1/8	I6
3	3	1/4	IV
3	3	3/8	V
4	4	0	vi
4	4	1/8	viio
4	4	1/4	I
6	6	0	V6
7	7	0	I
7	7	1/4	V43
7	7	3/8	I
8	8	0	V(64)
8	8	1/8	V\\
9	9	0	V.I
10	10	0	V65
11	11	0	I
12	12	0	V65
13	13	0	I
13	13	1/4	I6
14	14	0	IV
14	14	3/8	ii6
15	15	0	V(64)
15	15	1/8	V\\
16	16	0	I6
17	17	0	ii6
18	18	0	V7
19	19	0	vi
20	20	0	I6
21	21	0	ii6
22	22	0	V(64)
22	22	1/4	V7
23	23	0	I\\
24	24	0	I6
25	25	0	ii6(#7)
25	25	3/8	ii6
26	26	0	V7(+9)
26	26	3/8	V7
27	27	0	vi(6)
27	27	3/8	vi
28	28	0	I6
29	29	0	ii6
30	30	0	V(64)
30	30	1/4	V7
31	31	0	vi
32	32	0	I6
33	33	0	IV
34	34	0	V(64)
34	34	1/4	V7
35	35	0	I\\
36	36	0	ii6
36	36	1/4	ii
36	36	3/8	V7
37	37	0	I6
38	38	0	ii6
38	38	1/4	ii
38	38	3/8	V7
39	39	0	I\\
40	39	0	ii.iv64
42	41	0	V65
43	42	1/8	i
43	42	1/4	v64
43	42	3/8	V2
44	43	0	i6
44	43	1/8	V6
44	43	1/4	i\\
45	44	0	I.iv64
46	45	0	V65
47	46	1/8	i
47	46	1/4	v64
47	46	3/8	V2
48	47	0	I6
48	47	1/8	V6
48	47	1/4	I\\
49	48	1/8	I[V7/IV
50	49	0	IV
51	50	0	i
52	51	0	v.V2]
52	51	3/8	V[V
53	52	1/8	V7
54	53	0	V(64)
55	54	0	V
56	55	0	vi.V2]
57	56	0	i6
57	56	1/4	i
57	56	3/8	V65
58	57	0	i
58	57	1/4	i6
58	57	3/8	V2
59	58	0	i6
59	58	1/8	V64
59	58	1/4	i
59	58	3/8	V65
60	59	0	i
60	59	1/8	.It6
60	59	1/4	V\\
61	60	0	V65/V
61	60	1/8	V
62	61	1/8	I.V2
63	62	0	I6
64	63	0	V6
65	64	0	I
65	64	1/8	I6
65	64	1/4	IV
65	64	3/8	V
66	65	0	vi
66	65	1/8	viio
66	65	1/4	I
68	67	0	V6
69	68	0	I
69	68	1/8	I6
69	68	1/4	viio6
69	68	3/8	I
70	69	0	V(64)
70	69	1/8	V\\
71	70	0	I
72	71	0	V65
73	72	0	I
74	73	0	V65
75	74	0	I
75	74	1/4	I6
76	75	0	IV
76	75	3/8	ii6
77	76	0	V(64)
77	76	1/8	V\\
78	77	0	I6
79	78	0	ii6
80	79	0	V7
81	80	0	vi
82	81	0	I6
83	82	0	ii6
84	83	0	V(64)
84	83	1/4	V7
85	84	0	I\\
86	85	0	I6
87	86	0	ii6(#7)
87	86	3/8	ii6
88	87	0	V(9)
88	87	3/8	V7
89	88	0	vi(6)
89	88	3/8	vi
90	89	0	I6
91	90	0	ii6
92	91	0	V(64)
92	91	1/4	V7
93	92	0	vi
94	93	0	I6
95	94	0	ii6
96	95	0	V(64)
96	95	1/4	V7
97	96	0	I
98	97	0	ii6
98	97	1/4	ii
98	97	3/8	V7
99	98	0	I6
100	99	0	ii6
100	99	1/4	ii
100	99	3/8	V7
101	100	0	I
101	100	3/8	V7
102	101	0	I
102	101	3/8	V7
103	102	0	I\\
