mc	mn	onset	chords	volta
0	1	0	.F.I6	
0	1	1/2	I	
1	2	0	V2	
1	2	1/2	I6	
2	3	0	V2	
2	3	1/2	I6	
3	4	0	V43	
3	4	1/4	V65	
3	4	1/2	I	
3	4	3/4	I6	
4	5	0	IV	
4	5	1/2	vi	
4	5	3/4	V65/V	
5	6	0	V(4)	
5	6	1/4	V	
5	6	1/2	V\\	
6	7	0	I6	
6	7	1/2	I	
7	8	0	V2	
7	8	1/2	I6	
8	9	0	V2	
8	9	1/2	I6	
9	10	0	V43	
9	10	1/4	V65	
9	10	1/2	I	
9	10	3/4	vi	
10	11	0	IV	
10	11	3/8	ii6	
10	11	1/2	V(64)	
10	11	3/4	V7	
11	12	0	I(74)	
11	12	1/2	I\\	
12	13	0	V.I6	
12	13	1/2	IV	
13	14	0	V7	
13	14	1/2	vi	
14	15	0	I6	
14	15	1/2	IV	
15	16	0	V7	
15	16	1/2	vi	
16	17	0	ii6	
17	18	0	V(64)	
17	18	1/2	V\\	
18	19	0	IV6	
18	19	1/2	I64	
19	20	0	V2	
19	20	1/2	I6	
20	21	0	IV6	
20	21	1/2	I64	
21	22	0	V2	
21	22	1/2	I6\\	
22	23	0	viio6/V	
22	23	3/4	V	
23	24	0	V65	
23	24	3/4	I	
24	25	0	IV6	
24	25	1/2	V(64)	
24	25	3/4	V	
25	26	0	I(97)	
25	26	1/2	I\\	
26	27	0	V7/V	
26	27	3/4	V	
27	28	0	V9	
27	28	3/4	I	
28	29	0	ii6	
28	29	1/2	V(64)	
28	29	3/4	V7	
29	30	0	I\\	
29	30	1/4	V[I	
30	31	0	V65	
31	32	0	I	
32	33	0	V65]	
33	34	0	I\\	
33	34	3/8	I	
34	35	3/8	I.V7	
38	39	0	I6	
38	39	1/2	I	
39	40	0	V2	
39	40	1/2	I6	
40	41	0	V2	
40	41	1/2	I6	
41	42	0	V43	
41	42	1/4	V65	
41	42	1/2	I	
41	42	3/4	I6	
42	43	0	IV	
42	43	1/2	vi	
42	43	3/4	V65/V	
43	44	0	V(4)	
43	44	1/4	V	
43	44	1/2	V\\	
44	45	0	I6	
44	45	1/2	I	
45	46	0	V2	
45	46	1/2	I6	
46	47	0	V2	
46	47	1/2	I6	
47	48	0	V43	
47	48	1/4	V65	
47	48	1/2	I	
47	48	3/4	vi	
48	49	0	IV	
48	49	3/8	ii6	
48	49	1/2	V(64)	
48	49	3/4	V7	
49	50	0	I(74)	
49	50	1/2	I\\	
50	51	0	vi.i	
51	52	0	V43	
51	52	1/4	i	
51	52	1/2	V65	
52	53	0	#viio43	
53	54	0	i6	
53	54	1/4	#viio6	
53	54	1/2	i\\	
54	55	0	V2	
54	55	1/2	i6	
55	56	0	V2	
55	56	1/2	i6	
56	57	0	V43	
