ix	mn	onset	chords
0	1	0	.D.I6
1	2	0	ii6
2	3	0	V6
3	4	0	I
4	5	0	I6
5	5	1/8	V43
6	5	1/4	I
7	6	0	V43
8	6	1/8	I6
9	6	1/4	V2
10	7	0	I6
11	7	1/4	V(64)/V
12	8	0	V7/V
13	8	1/4	I/V\\
14	9	0	I
15	9	1/4	vi
16	10	0	ii6
17	10	1/4	ii
18	11	0	viio
19	11	1/4	V
20	12	0	I
21	13	0	V2/IV
22	13	1/4	IV6
23	14	0	V2
24	14	1/4	I6
25	15	0	ii6
26	15	1/4	V(64)
27	15	3/8	V7
28	16	0	I[I\\
29	17	0	viio6
30	18	0	I
31	19	0	viio6
32	20	0	I
33	20	1/8	viio
34	20	1/4	I]
35	20	3/8	V7
36	21	0	I[I
37	21	1/8	viio
38	21	1/4	I]
39	21	3/8	V7
40	22	0	I
41	23	0	V
42	23	1/4	I
43	24	0	V
44	24	1/4	V(64)
45	25	0	V\\
46	26	0	V.I
47	27	0	ii
48	27	1/4	viio6
49	29	0	I6
50	29	1/4	#viio6/ii
51	30	0	ii6
52	30	1/4	#viio6/ii
53	30	3/8	ii
54	31	0	V65/ii
55	31	1/4	ii
56	32	0	V65
57	32	1/4	I
58	33	0	vi(4)
59	33	1/8	vio
60	33	1/4	.It6
61	34	0	V\\
62	35	0	V[viio/V
63	36	0	V2
64	37	0	I6
65	38	0	V64(6)
66	38	1/4	V64
67	39	0	I
68	39	3/8	viio/V
69	40	0	V43]
70	44	0	I
71	44	1/4	V2
72	45	0	I6
73	45	1/4	V2
74	46	0	I6
75	46	1/8	viio/IV
76	46	1/4	V65/ii
77	46	3/8	ii
78	47	0	V65
79	47	1/8	I
80	47	1/4	IVM7
81	47	3/8	viio
82	48	0	V65/vi
83	48	1/8	vi
84	48	1/4	V65/V
85	48	3/8	V2
86	49	0	I6
87	49	1/8	IV
88	49	1/4	V(64)
89	49	3/8	V7
90	50	0	I\\
91	50	1/4	I
92	50	3/8	#viio6/vi
93	51	0	vi
94	51	1/8	iii6
95	51	1/4	IV
96	51	3/8	I6
97	52	0	viio6
98	52	1/8	I\\
99	52	3/8	I6
100	53	0	IV6
101	53	1/8	iii6
102	53	1/4	ii6
103	53	3/8	viio/V
104	54	0	V(64)
105	54	1/8	V\\
106	54	1/4	I
107	54	3/8	V6
108	55	0	vi
109	55	1/8	iii6
110	55	1/4	IV
111	55	3/8	I6
112	56	0	viio6
113	56	1/8	I\\
114	56	3/8	I6
115	57	0	ii65
116	57	1/4	V(64)
117	57	3/8	V
118	58	0	I[I\\
119	59	0	V2
120	60	0	I6
121	60	1/4	V43/IV
122	61	0	IV
123	62	0	I6
124	62	1/4	V7/IV]
125	65	0	I.I6
126	66	0	ii6
127	67	0	V6
128	68	0	I
129	69	0	I6
130	69	1/8	V43
131	69	1/4	I
132	70	0	V43
133	70	1/8	I6
134	70	1/4	V2
135	71	0	I6
136	71	1/4	V(64)/V
137	72	0	V7/V
138	72	1/4	I/V\\
139	73	0	I
140	73	1/4	vi
141	74	0	ii6
142	74	1/4	ii
143	75	0	viio
144	75	1/4	V
145	76	0	I
146	77	0	V2/IV
147	77	1/4	IV6
148	78	0	V2
149	78	1/4	I6
150	79	0	ii6
151	79	1/4	V(64)
152	79	3/8	V7
153	80	0	I[I\\
154	81	0	viio6
155	82	0	i
156	83	0	viio6
157	84	0	i]
158	84	3/8	V7
159	85	0	i[i6
160	85	1/8	viio
161	85	1/4	i]
162	85	3/8	.bIII.V7
163	86	0	I[I
164	86	1/8	viio
165	86	1/4	I]
166	86	3/8	V7
167	87	0	I[I
168	87	1/8	viio
169	87	1/4	I]
170	87	3/8	V7/iii
171	88	0	iii
172	88	3/8	#viio7/iii
173	89	0	III
174	89	1/8	#viio7/ii
175	89	1/4	II
176	89	3/8	viio7
177	90	0	I
178	90	1/8	#viio7/vi
179	90	1/4	vi
180	90	3/8	#viio65/ii
181	91	0	ii6
182	91	3/8	vii%7/V
183	92	0	V\\
184	92	1/4	I
185	93	0	V
186	93	1/4	V(64)
187	94	0	V
188	95	0	I
189	96	0	ii6
190	96	1/4	viio
191	98	0	I6
192	98	1/4	#viio/ii
193	99	0	ii
194	100	0	viio/IV
195	101	0	V65/IV
196	102	0	#viio6/iii
197	103	0	v.i
198	104	0	ii6
199	104	1/4	ii65
200	105	0	V65/V
201	105	1/8	V
202	106	0	III6
203	106	1/4	V65/vi
204	107	0	V/ii
205	108	0	I.vi
206	109	0	ii
207	110	0	V
208	111	0	I
209	112	0	ii6
210	113	3/8	viio/V
211	114	0	V\\
212	114	1/4	I
213	115	0	V
214	115	1/4	V(64)
215	116	0	V
216	117	0	I
217	118	0	ii
218	118	1/4	viio6
219	120	0	I6
220	120	1/4	#viio/ii
221	121	0	ii6
222	121	1/4	#viio6/ii
223	121	3/8	ii
224	122	0	V65/ii
225	122	1/4	ii
226	123	0	V65
227	123	1/4	I
228	124	0	vi(4)
229	124	1/8	vio
230	124	1/4	ii%43
231	124	3/8	.It6
232	125	0	V\\
233	126	0	V[viio(2)/V
234	126	3/16	viio/V
235	127	0	V2
236	128	0	I6
237	129	0	V
238	130	0	I
239	130	3/8	viio/V
240	131	0	V43]
241	135	0	I
242	135	1/4	V2
243	136	0	I6
244	136	1/4	V2
245	137	0	I6
246	137	1/8	viio/IV
247	137	1/4	V65/ii
248	137	3/8	ii
249	138	0	V65
250	138	1/8	I
251	138	1/4	IVM65
252	138	3/8	viio6
253	139	0	V65/vi
254	139	1/8	vi
255	139	1/4	V65/V
256	139	3/8	V2
257	140	0	I6
258	140	1/8	IV
259	140	1/4	V(64)
260	140	3/8	V7
261	141	0	I\\
262	141	3/8	#viio6/vi
263	142	0	vi
264	142	1/8	iii6
265	142	1/4	IV
266	142	3/8	I6
267	143	0	viio6
268	143	1/8	I\\
269	143	3/8	I6
270	144	0	IV6
271	144	1/8	iii6
272	144	1/4	ii6
