ix	mn	onset	chords
0	1	0	.C.I
1	1	3/8	V
2	2	0	I(97)
3	2	1/8	I
4	2	1/4	V
5	3	0	I
6	3	3/8	V
7	4	0	I(94)
8	4	1/8	I
9	4	1/4	V
10	5	0	IV6
11	5	1/4	I64
12	6	0	IV
13	6	1/4	I6
14	7	0	V65
15	7	1/4	I
16	8	0	V\\
17	9	0	I
18	9	3/8	V
19	10	0	I(97)
20	10	1/8	I
21	10	1/4	V
22	11	0	I
23	11	3/8	V
24	12	0	I(94)
25	12	1/8	I
26	12	1/4	V
27	13	0	IV6
28	13	1/4	I64
29	14	0	IV
30	14	1/4	I6
31	15	0	ii6
32	15	1/4	V(64)
33	15	3/8	V
34	16	0	I\\
35	17	0	ii6
36	17	1/4	V(64)
37	17	3/8	V7
38	18	0	I
39	19	0	ii6
40	19	1/4	V(64)
41	19	3/8	V7
42	20	0	I\\
43	21	0	I
44	21	3/8	V43
45	22	0	I6
46	22	1/8	V2
47	22	1/4	I6
48	23	0	V6
49	23	1/4	I
50	23	3/8	V43
51	24	0	I
52	24	1/4	V65
53	25	3/8	I
54	26	0	V43
55	26	1/8	I6
56	26	1/4	V2
57	26	3/8	V43
58	27	0	V65
59	27	3/8	V7
60	28	0	I(#94)
61	28	1/4	I
62	29	0	V.ii6
63	30	0	I6
64	31	0	V65
65	31	1/4	I
66	32	0	V\\
67	32	3/8	V2
68	33	0	I6
69	34	0	V43
70	34	1/8	I
71	34	1/4	V65
72	34	3/8	V7
73	35	0	I(#2)
74	35	1/8	I
75	36	0	V2
76	37	0	I6
77	38	0	V43
78	38	1/8	I
79	38	1/4	V65
80	38	3/8	V7
81	39	0	I
82	39	1/4	I(64)
83	40	0	I
84	40	1/4	.bVII
85	41	0	IV6
86	41	1/4	I
87	42	0	V(64)
88	42	1/4	V7
89	43	0	I(4)
90	43	1/8	I
91	43	1/4	I(64)
92	44	0	I
93	44	1/4	.bVII
94	45	0	IV6
95	45	1/4	I
96	46	0	V(64)
97	46	1/4	V7
98	47	0	I\\
99	47	1/4	V43
100	47	3/8	I6
101	48	0	V
102	48	1/4	V43/V
103	48	3/8	V65
104	49	0	I
105	49	1/4	V43
106	49	3/8	I6
107	50	0	V
108	50	1/4	V65/V
109	50	3/8	V65
110	51	0	I
111	52	0	V7/IV
112	53	0	IV
114	54	0	viio7/V
115	54	1/4	V(64)
113	54	3/8	V7
116	55	0	I\\
117	56	0	V7/IV
118	57	0	IV
119	58	0	viio7/V
120	59	0	V(64)
121	60	1/4	V7
122	61	0	I\\
123	61	1/4	I[I6
124	62	0	V43
125	62	1/4	V2
126	63	0	I6
127	64	0	V43
128	64	1/4	V2
129	65	0	I6
130	65	1/4	V2
131	66	0	I6
132	66	1/4	V2
133	67	0	I6]
134	67	3/8	V7
135	68	0	I(94)
136	68	1/4	I\\
0	69	0	I6
1	69	1/8	I
2	70	0	I6
3	70	1/8	V43
4	70	1/4	V6
5	71	0	V43
6	71	1/8	I
7	71	1/4	I6
8	71	3/8	V43
9	72	0	I6(64)
10	72	1/4	I6\\
11	73	0	I6
12	73	3/8	#viio6/ii
13	74	0	ii6
14	74	1/4	viio/V
15	75	0	V(64)
16	75	1/4	V7
17	76	0	I(94)
18	76	1/4	I\\
19	77	0	I6
20	77	1/8	I
21	77	3/8	#viio/ii
22	78	0	V43
23	78	1/4	V65
24	79	0	I
25	79	1/4	ii7
26	80	0	VI
27	80	1/4	I6
28	81	0	ii7
29	81	1/4	I6
30	82	0	I.V43
31	82	1/4	I
32	83	0	V6
33	83	1/4	I
34	84	0	I6
35	84	1/4	V43
36	85	0	I
37	85	1/4	V6
38	85	3/8	I
39	86	0	V[V\\
40	87	0	i
41	88	0	V64
42	89	0	i
43	90	0	V64]
44	91	0	.It6(7)
45	91	1/4	.It6
46	92	0	V\\
47	94	0	V7
48	96	0	I
49	96	1/4	I6
50	96	3/8	V
51	97	0	I(97)
52	97	1/8	I
53	97	1/4	V
54	98	0	I
55	98	3/8	V
56	99	0	I(94)
57	99	1/8	I
58	99	1/4	V
59	100	0	IV6
60	100	1/4	I64
61	101	0	IV
62	101	1/4	I6
63	102	0	V65
64	102	1/4	I
65	103	0	V\\
66	104	0	I
67	104	1/4	I6
68	104	3/8	V
69	105	0	I(97)
70	105	1/8	I
71	105	1/4	V
72	106	0	I
73	106	1/4	I6
74	106	3/8	V
75	107	0	I(94)
76	107	1/8	I
77	107	1/4	V
78	108	0	IV6
79	108	1/4	I64
80	109	0	IV
81	109	1/4	I6
82	110	0	ii6
83	110	1/4	V(64)
84	110	3/8	V
85	111	0	I\\
86	112	0	ii6
87	112	1/4	V(64)
88	112	3/8	V7
89	113	0	I\\
90	114	0	ii6
91	114	1/4	V(64)
92	114	3/8	V7
93	115	0	I\\
94	116	0	I
95	116	3/8	V43
96	117	0	I6
97	117	1/8	V2
98	117	1/4	I6
99	118	0	V6
100	118	1/4	I
101	118	3/8	V43
102	119	0	I
103	119	1/4	V65
104	120	3/8	I
105	121	0	V43
106	121	1/8	I6
107	121	1/4	V2
108	122	0	V65
109	123	0	I(4#2)
110	123	1/4	I
111	124	0	V7/IV
112	125	0	IV
113	126	0	V7/ii
114	127	0	V/V
115	128	0	V65
116	129	0	I
117	130	0	ii6
118	130	1/4	V65/V
119	131	0	V\\
120	131	3/8	V2
121	132	0	I6
122	133	0	V43
123	134	0	I(#2)
124	134	1/8	I
125	135	0	V2
126	136	0	I6
127	137	0	V43
128	138	0	I
129	138	1/4	I(64)
130	139	0	I
131	139	1/4	.bVII
132	140	0	IV6
133	140	1/4	ii6
134	141	0	V(64)
135	141	1/4	V7
136	142	0	I(4)
137	142	1/8	I\\
138	142	1/4	I(64)
139	143	0	I
140	143	1/4	.bVII
141	144	0	IV6
142	144	1/4	ii6
143	145	0	V(64)
144	145	1/4	V7
145	146	0	I
146	146	1/4	V43
147	146	3/8	I6
148	147	0	V
149	147	1/4	V43/V
150	147	3/8	V65
151	148	0	I
152	148	1/4	V43
153	148	3/8	I6
154	149	0	V
155	149	1/4	V43/V
156	149	3/8	V65
157	150	0	I
158	151	0	V65/IV
159	152	0	IV
160	153	0	viio7/V
161	153	1/4	V(64)
162	153	3/8	V7
163	154	0	I\\
164	155	0	V65/IV
165	156	0	IV
166	157	0	viio7/V
167	158	0	V(64)
168	159	1/4	V7
169	160	0	I[I\\
170	160	1/16	I6
171	161	0	V43
172	162	0	I6
173	163	0	V43
174	164	0	I6
175	164	1/4	V2
176	165	0	I6
177	165	1/4	V2
178	166	0	I6
179	166	1/4	V2
180	167	0	I6
181	167	1/4	V2
182	168	0	I6]
183	168	3/8	#viio7/vi
184	169	0	vi(64)
185	169	1/4	vi
186	170	0	ii6
187	170	1/4	V7
188	171	0	I\\
