ix	mn	onset	chords	volta
0	1	0	.a.i[i	
1	1	3/8	#viio64	
2	2	0	i	
3	2	3/8	V43	
4	3	0	i	
5	3	3/8	V6	
6	4	0	i]	
7	4	1/4	V	
8	5	0	iv6	
9	5	3/8	i64	
10	6	0	iv	
11	6	3/8	i6	
12	7	0	#viio6	
13	7	3/8	i	
14	8	0	V\\	
15	9	0	i[i	
16	9	3/8	#viio64	
17	10	0	i	
18	10	3/8	V43	
19	11	0	i	
20	11	3/8	V6	
21	12	0	i]	
22	12	1/4	V	
23	13	0	iv	
24	13	3/8	i6	
25	14	0	iv6	
26	14	3/8	iv64	
27	15	0	iio6	
28	15	1/4	V(4)	
29	15	3/8	V	
30	16	0	VI	
31	16	1/4	iv6	
32	17	0	iv	
33	17	3/8	i6	
34	18	0	#viio6	
35	18	3/8	i	
36	19	0	iio6	
37	19	1/4	V(64)	
38	19	3/8	V	
39	20	0	i\\	
40	21	0	III.IV6	
41	22	0	I64	
42	23	0	IV	
43	24	0	I6	
44	26	0	IV	
45	26	1/4	I6	
46	27	0	viio6(6)	
47	27	1/8	viio6	
48	27	1/4	I(4)	
49	27	3/8	I	
50	28	0	V(64)	
51	28	1/4	V\\	
52	29	0	iii.i[i64	
53	29	3/8	V2	
54	30	0	i6	
55	30	3/8	#viio6	
56	31	0	i]	
57	31	3/8	iv6	
58	32	0	V(64)	
59	32	1/4	V\\	
60	33	0	III.V[viio	
61	33	3/8	I	
62	34	0	V2	
63	34	3/8	I6	
64	35	0	viio	
65	35	3/8	I6]	
66	36	0	V65	
67	36	1/4	I	
68	37	0	I6	
69	37	3/8	viio6	
70	38	0	vi6	
71	38	3/8	V6	
72	39	0	IV6	
73	39	3/8	iii6	
74	40	0	ii6	
75	40	3/8	#viio6/ii	
76	41	0	ii6	
77	41	1/4	V6/ii	
78	42	0	ii	
79	42	3/8	ii6	
80	43	0	V(64)	
81	43	1/4	V	
82	44	0	I(97)	
83	44	1/4	I\\	
84	45	0	I6	
85	45	3/8	viio6	
86	46	0	vi6	
87	46	3/8	V6	
88	47	0	IV6	
89	47	3/8	iii6	
90	48	0	ii6	
91	48	3/8	#viio6/ii	
92	49	0	ii6	
93	49	1/4	V6/ii	
94	50	0	ii	
95	51	0	V(64)	
96	51	1/4	V	
97	52	0	#viio43/ii	
98	53	0	ii6	
99	53	1/4	V6/ii	
100	54	0	ii	
101	55	0	V(64)	
102	55	1/4	V	
103	56	0	#viio43/ii	
104	57	0	ii6	
