ix	mn	onset	chords
0	1	0	.G.I
1	3	0	I(+6)
2	3	1/4	I(+7)
3	4	0	I(64)
4	4	1/4	I
5	7	0	I(64)
6	7	1/4	I
7	8	0	I(94)
8	8	1/4	I
9	9	0	I6
10	10	0	ii6
11	11	0	iii6
12	12	0	IV6
13	13	0	V6
14	13	1/4	V65
15	14	0	I
16	15	0	V43
17	16	0	I6
18	17	0	ii6
19	18	1/8	IV
20	19	0	V(+9)
21	19	1/8	V7
22	20	0	vi(6)
23	20	1/8	vi
24	21	0	ii6(2)
25	21	1/8	ii6
26	22	0	V(642)
27	22	1/8	V(64)
28	23	0	V(4)
29	23	1/8	V
30	24	0	I(7)
31	24	1/8	I\\
32	25	0	I[viio6/IV
33	26	0	IV6
34	27	0	viio6
35	28	0	I
36	29	0	viio6/IV
37	30	0	IV6
38	31	0	viio6
39	32	0	I]
40	33	0	IV
41	33	1/4	I64
42	34	0	IV6
43	34	1/4	I64
44	35	0	ii65(2)
45	35	1/8	ii65
46	35	1/4	I64
47	36	0	IV6
48	36	1/4	I64
49	37	0	ii65(2)
50	37	1/8	ii65
51	37	1/4	I64
52	38	0	IV6
53	38	1/4	vii%7/V
54	39	0	V\\
55	43	0	V.V[I6
56	43	1/8	V64
57	43	1/4	V2
58	44	0	I6
59	44	1/8	V64
60	44	1/4	V2
61	45	0	I6]
62	45	1/4	I
63	46	0	V6
64	46	1/8	V7
65	46	1/4	V2
66	47	0	I6
67	47	1/4	I
68	48	0	V65
69	51	0	V[viio6
70	51	1/8	IV64
71	52	0	viio6
72	52	1/8	IV64
73	53	0	viio6]
74	53	1/4	V2
75	54	0	I6
76	54	1/4	I
77	55	0	V6
78	55	1/4	V65
79	56	0	I
80	58	1/8	vi
81	58	1/4	viio
82	59	0	vi6
83	60	1/8	IV
84	60	1/4	V
85	61	0	IV
86	62	1/8	ii
87	62	1/4	iiio
88	63	0	ii6
89	65	0	V65
90	69	0	I
91	70	0	IV
92	71	0	V(64)
93	72	0	V7
94	73	0	I\\
95	74	1/4	V65/vi
96	75	0	vi
97	76	1/4	V65/ii
98	77	0	viio64/V
99	77	1/4	viio
100	78	0	viio64/IV
101	78	1/4	IV6
102	79	0	V7
103	79	1/4	vi
104	80	0	ii65
105	80	1/8	ii7
106	80	1/4	V
107	81	0	I\\
108	82	0	.It6/vi
109	83	0	V/vi
110	84	0	.It6/ii
111	85	0	V/ii
112	85	1/4	V7/V
113	86	0	V7
114	86	1/4	I
115	87	0	IV
116	88	0	V7
117	89	0	I6
118	90	0	IV
119	91	0	I
120	92	0	IV
121	93	0	V(64)
122	95	0	viio64
123	95	1/4	viio6
124	96	0	viio
125	96	1/4	V
126	97	0	I\\
127	98	0	IV
128	99	1/4	viio/V
129	100	0	V
130	101	0	I
131	101	1/4	V
132	102	0	I\\
0	103	0	v.i
1	107	0	#viio43/v
2	111	0	v6
3	115	0	vi.#viio7
4	117	0	i
5	119	0	.Ger6
6	123	0	V[V6
7	124	0	VI6
8	124	1/4	#viio64/v
9	125	0	v64
10	125	1/4	#viio6
11	126	0	i6
12	127	0	V6
13	128	0	VI6
14	128	5/16	#viio64/v
15	129	0	v64
16	129	1/4	V64
17	130	0	i6
18	130	1/4	i
19	131	0	V6]\\
20	132	0	#viio65
21	134	0	.Ger6
22	136	0	V(64)
23	137	0	V7
24	138	0	i\\
25	138	1/4	i6
26	139	1/8	iv
27	140	1/4	viio/V
28	141	0	V
29	142	0	i\\
30	142	1/4	V7
31	143	0	i
32	143	1/4	v.V
33	144	0	i
34	144	1/4	V7
35	145	0	i
36	145	1/4	IV.V
37	146	0	I
38	146	1/4	V7
39	147	0	I
40	148	0	I.ii
41	150	0	V7(4)
42	151	0	V7
43	151	1/4	V65/vi
44	152	0	vi
45	154	0	V6(6)
46	155	0	V65
47	156	0	I
48	157	0	V6/vi
49	157	1/8	vi
50	158	0	vi2
51	158	1/4	#viio43/ii
52	159	0	V65/V
53	159	1/4	i.viio7/V
54	160	0	V
55	163	0	V(64)
56	164	0	V
57	166	0	VI
58	167	0	.It6
59	168	0	V\\
60	172	0	I.I
61	174	0	I(+6)
62	174	1/4	I(+7)
63	175	0	I(64)
64	175	1/4	I
65	178	0	I(64)
66	178	1/4	I
67	179	0	I(94)
68	179	1/4	I
69	180	0	I6
70	181	0	ii6
71	182	0	iii6
72	183	0	IV6
73	184	0	V6
74	184	1/4	V65
75	185	0	I
76	186	0	V43
77	187	0	I6
78	188	0	ii6
79	189	1/8	ii65
80	190	0	V(+9)
81	190	1/8	V7
82	191	0	vi(6)
83	191	1/8	vi
84	192	0	ii6(2)
85	192	1/8	ii6
86	193	0	V(64)
87	194	0	V(4)
88	194	1/8	V
89	195	0	I(7)
90	195	1/8	I\\
91	196	0	I[viio6/IV
92	197	0	IV6
93	198	0	viio6
94	199	0	I
95	200	0	viio6/IV
96	201	0	IV6
97	202	0	viio6
98	203	0	I]
99	204	0	IV
100	204	1/4	I64
101	205	0	IV6
102	205	1/4	I64
103	206	0	ii65(2)
104	206	1/8	ii65
105	206	1/4	I64
106	207	0	IV6
107	207	1/4	I64
108	208	0	ii65(2)
109	208	1/8	ii65
110	208	1/4	I64
111	209	0	IV6
112	209	1/4	vii%7/V
113	210	0	V\\
114	214	0	V[I6
115	214	1/8	V64
116	214	1/4	V2
117	215	0	I6
118	215	1/8	V64
119	215	1/4	V2
120	216	0	I6]
121	216	1/4	I
122	217	0	V6
123	217	1/4	V2
124	218	0	I6
125	218	1/4	I
126	219	0	V6
127	219	1/8	V65
128	222	0	V[V43
129	222	1/4	V(+764)
130	223	0	V43
131	223	1/4	V(+764)
132	224	0	V43]
133	224	1/4	V2
134	225	0	I6
135	225	1/4	I
136	226	0	V6
137	226	1/4	V65
138	227	0	I
139	229	1/8	vi
140	229	1/4	viio
141	230	0	vi6
142	232	0	IV
143	234	0	ii6
144	236	0	V65
145	240	0	I
146	241	0	IV
147	242	0	V(64)
148	243	0	V7
149	244	0	I\\
150	245	0	V65/vi
151	246	0	vi
152	247	0	#viio65/ii
153	247	1/4	V65/ii
154	248	0	viio64/V
155	248	1/4	viio
156	249	0	vii64/IV
157	249	1/4	IV6
158	250	0	V7
159	250	1/4	vi
160	251	0	ii65
161	251	1/8	ii7
162	251	1/4	V
163	252	0	I\\
164	253	0	.It6/vi
165	254	0	V/vi
166	255	0	.It6/ii
167	256	0	V7/ii
168	256	1/4	V7/V
169	257	0	V7
170	257	1/4	I
171	258	0	IV
172	259	0	V7
173	260	0	I6
174	261	0	IV
175	262	0	I
176	263	0	IV
177	264	0	I64
178	264	1/4	I
179	265	0	I6
180	265	1/4	I64
181	266	0	V2
182	266	1/4	V43
183	267	0	V65
184	267	1/4	V
185	268	0	I
186	269	0	IV
187	271	0	V
188	272	0	I
189	272	1/4	V7
190	273	0	I\\
0	274	0	V7
1	276	0	I
