ix	mn	onset	chords	volta
0	1	0	.Eb.I	
1	1	3/8	V	
2	1	1/2	I	
3	1	7/8	V	
4	2	0	I	
5	2	1/8	IV6	
6	2	1/4	I6	
7	2	3/8	IV	
8	2	1/2	V(64)	
9	2	3/4	V	
10	3	0	I6	
11	3	1/4	I	
12	3	3/8	V	
13	3	1/2	I6	
14	3	5/8	V	
15	3	3/4	I	
16	3	7/8	IV6	
17	4	0	I6	
18	4	1/8	ii6	
19	4	1/4	V(64)	
20	4	3/8	V7	
21	4	1/2	I(974)	
22	4	3/4	I\\	
0	5	0	V[viio	
1	5	1/4	I	
2	5	1/2	viio6]	
3	6	0	I	
4	6	1/4	I(42)	
5	6	1/2	I	
6	7	0	IV	
7	7	1/4	i6	
8	7	1/2	V7/V	
9	7	3/4	#viio7/vi	
10	8	0	vi	
11	8	1/4	ii6	
12	8	1/2	V(64)	
13	8	3/4	V\\	
14	9	0	I	
15	9	3/8	V	
16	9	1/2	I	
17	9	7/8	V	
18	10	0	I	
19	10	1/8	IV6	
20	10	1/4	I6	
21	10	3/8	IV	
22	10	1/2	V(64)	
23	10	3/4	V	
24	11	0	I6	
25	11	1/4	I	
26	11	3/8	V	
27	11	1/2	I6	
28	11	5/8	V	
29	11	3/4	I	
30	11	7/8	IV6	
31	12	0	I6	
32	12	1/8	ii6	
33	12	1/4	V(64)	
34	12	3/8	V7	
35	12	1/2	I(974)	
36	12	3/4	I\\	
0	13	0	vi.i	
1	13	1/2	#viio7	
2	14	0	i	
3	14	1/4	iio64	
4	14	3/8	viio7/V	
5	14	1/2	V(64)	
6	14	3/4	V	
7	15	0	iii.bII6	
8	15	1/4	#viio43(2)	
9	15	3/8	#viio43	
10	15	1/2	i6	
11	15	3/4	viio6(2)/V	
12	15	7/8	viio6/V	
13	16	0	V	
14	16	1/8	VI	
15	16	1/4	iio6	
16	16	3/8	V	
17	16	1/2	i\\	
18	16	11/16	vi.V7	
0	17	0	ii.V[#viio6	
1	17	1/4	i	
2	17	1/2	#viio	
3	17	3/4	i]	
4	18	0	I.V[viio6	
5	18	1/4	I	
6	18	1/2	viio	
7	18	3/4	I]	
8	19	0	vi.viio6/V	
9	19	1/4	V65	
10	19	1/2	I	
11	19	3/4	VI	
12	20	0	.bII6	
13	20	1/2	V(64)	
14	20	3/4	V\\	
15	21	0	i	
16	21	1/2	#viio7	
17	22	0	i	
18	22	1/4	iio64	
19	22	3/8	viio7/V	
20	22	1/2	V(64)	
21	22	3/4	V\\	
22	23	0	i	
23	23	1/4	i6(2)	
24	23	3/8	i6	
25	23	1/2	iv	
26	23	3/4	iv6(2)	
27	23	7/8	.It6	
28	24	0	V	1
29	24	1/8	VI	1
30	24	1/4	iio6	1
31	24	3/8	V	1
32	24	1/2	i\\	1
33	24	7/8	V/iv	1
34	24	0	V	2
35	24	1/8	VI	2
36	24	1/4	iio6	2
37	24	3/8	V	2
38	24	1/2	i\\	2
39	24	3/4	ii.V6	2
0	25	1/2	i	
1	25	3/4	i.viio7	
2	26	1/4	V6	
3	26	1/2	V43	
4	27	0	I.V65\\	
5	28	0	I	
6	28	3/8	V	
7	28	1/2	I	
8	28	7/8	V	
9	29	0	I	
10	29	1/8	IV6	
11	29	1/4	I6	
12	29	3/8	IV	
13	29	1/2	V(64)	
14	29	3/4	V\\	
15	30	0	I6	
16	30	1/4	I	
17	30	3/8	V	
18	30	1/2	I6	
19	30	5/8	V	
20	30	3/4	I	
21	30	7/8	IV6	
22	31	0	I6	
23	31	1/8	ii6	
24	31	1/4	V(64)	
25	31	3/8	V7	
26	31	1/2	I(974)	
27	31	3/4	I\\	
0	32	0	IV.I	
1	32	1/4	V43	
2	32	1/2	I6	
3	32	5/8	I	
4	32	3/4	V6	
5	33	0	V65	
6	33	1/4	I	
7	33	1/2	V6	
8	33	3/4	I	
9	34	0	V2/vi	
10	34	1/4	vi6	
11	34	1/2	I.V2	
12	34	3/4	I6	
13	35	0	ii6	
14	35	1/4	V(64)	
15	35	3/8	V7	
16	35	1/2	I\\	
17	35	7/8	V7/IV	
0	36	0	viio43/V	
1	36	1/4	V2/V	
2	36	1/2	V65	
3	36	3/4	V2/IV	
4	37	0	IV.V65/IV	
5	37	1/4	IV	
6	37	3/8	ii	
7	37	1/2	V(64)	
8	37	3/4	V\\	
9	38	0	vi	
10	38	1/4	V2/V	
11	38	1/2	V65	
12	38	3/4	V2	
13	39	0	I6	
14	39	1/8	ii6	
15	39	1/4	V(64)	
16	39	3/8	V7	
17	39	1/2	I(94)	
18	39	3/4	I\\	
0	40	0	I.V6/ii	
1	40	1/4	ii	
2	40	1/2	V6	
3	40	3/4	I	
4	41	0	viio65/V	
5	41	1/2	V[V\\	
6	41	3/4	viio43/V	
7	42	0	V6	
8	42	1/4	viio43/V	
9	42	1/2	V65	
10	43	1/2	V7(4)	
11	43	3/4	V7]\\	
12	44	0	I	
13	44	3/8	V	
14	44	1/2	I	
15	44	7/8	V	
16	45	0	I	
17	45	1/8	IV6	
18	45	1/4	I6	
19	45	3/8	IV	
20	45	1/2	V(64)	
21	45	3/4	V\\	
22	46	0	I6	
23	46	1/4	I	
24	46	3/8	V	
25	46	1/2	I6	
26	46	5/8	V	
27	46	3/4	I	
28	46	7/8	IV6	
29	47	0	I6	
30	47	1/8	ii6	
31	47	1/4	V(64)	
32	47	3/8	V7	
33	47	1/2	I(974)	
34	47	3/4	I\\	
35	48	0	I[IV	
36	48	1/2	I6	
37	49	0	IV	
38	49	1/2	I6]	
39	50	0	IV6	
40	50	1/4	V6(#4)	
41	50	3/8	V6	
42	50	1/2	I	
43	50	3/4	I6(7)	
44	50	7/8	I6	
45	51	0	ii6	
46	51	3/8	V7	
47	51	1/2	#viio7/vi	
48	51	3/4	vi	
49	52	0	V7/V	
50	52	1/4	V2/V	
51	52	1/2	V65	
52	52	3/4	V2	
53	53	0	I6	
54	53	1/8	ii6	
55	53	1/4	V(64)	
56	53	3/8	V7	
57	53	1/2	I\\	
58	53	3/4	V7	
59	54	0	I	
60	54	1/4	V7	
61	54	1/2	I	
62	54	3/4	V7	
63	55	1/2	I	
