mc	mn	onset	chords
0	1	0	.Bb.I
0	1	1/2	I6
0	1	3/4	vi
1	2	0	ii
1	2	1/2	V
1	2	3/4	V2
2	3	0	I6
2	3	1/4	V6
2	3	1/2	I
2	3	3/4	ii6
3	4	0	V(64)
3	4	1/2	V\\
4	5	0	I
4	5	1/2	I6
4	5	3/4	vi
5	6	0	ii
5	6	1/2	V
5	6	3/4	V2
6	7	0	I6
6	7	1/4	ii6
6	7	1/2	V(64)
6	7	3/4	V
7	8	0	I\\
8	9	0	I
8	9	1/2	vi
9	10	0	ii6
9	10	1/2	V7
10	11	0	I6
10	11	1/4	V6
10	11	1/2	I
10	11	3/4	ii6
11	12	0	V(64)
11	12	1/2	V\\
12	13	0	I
12	13	1/2	vi
13	14	0	ii6
13	14	1/2	V7
14	15	0	I6
14	15	1/4	ii65
14	15	1/2	V(64)
14	15	3/4	V7
15	16	0	I\\
16	17	0	I
16	17	1/2	vi
16	17	3/4	ii6
17	18	0	V
18	19	0	V7
18	19	1/4	ii
18	19	1/2	#viio
18	19	3/4	V
19	20	0	I
20	21	0	V.I6
20	21	1/2	I
21	22	0	#viio6
21	22	1/2	#viio
22	23	0	I
23	24	0	V(64)
23	24	1/4	V\\
23	24	1/2	V2
24	25	0	I6
24	25	1/2	V2
25	26	0	I6
25	26	1/2	V2
26	27	0	I6
26	27	1/2	V2
27	28	0	I6
27	28	1/2	V2
28	29	0	I6
29	30	0	IV
29	30	3/4	ii65
30	31	0	V(64)
30	31	1/2	V7
31	32	0	I\\
31	32	3/8	#viio6
31	32	1/2	I6
31	32	7/8	V+6/IV
32	33	0	IV
32	33	1/2	ii6
33	34	0	V(64)
34	35	0	V7
35	36	0	I[I\\
36	37	0	ii2
36	37	3/4	I(#4#2)
37	38	0	I
37	38	1/4	I+
37	38	1/2	IV
37	38	3/4	viio/V
38	39	0	I.V7]
40	41	0	I
40	41	1/2	I6
40	41	3/4	vi
41	42	0	ii
41	42	1/2	V
41	42	3/4	V2
42	43	0	I6
42	43	1/4	V6
42	43	1/2	I
42	43	3/4	ii6
43	44	0	V(64)
43	44	1/2	V\\
44	45	0	I
44	45	1/2	I6
44	45	3/4	vi
45	46	0	ii
45	46	1/2	V
45	46	3/4	V2
46	47	0	I6
46	47	1/4	ii6
46	47	1/2	V(64)
46	47	3/4	V
47	48	0	I\\
48	49	0	I
48	49	1/2	vi
49	50	0	ii6
49	50	1/2	V7
50	51	0	I6
50	51	1/4	V6
50	51	1/2	I
50	51	3/4	ii6
51	52	0	V(64)
51	52	1/2	V\\
52	53	0	I
52	53	1/2	vi
53	54	0	ii6
53	54	1/2	V7
54	55	0	I6
54	55	1/4	ii6
54	55	1/2	V(64)
54	55	3/4	V7
55	56	0	I\\
56	57	1/2	vi
56	57	3/4	ii6
57	58	0	V
58	59	0	V7
58	59	1/4	ii
58	59	1/2	#viio
58	59	3/4	V
59	60	0	I\\
61	62	0	#viio65/vi
61	62	1/2	V7/vi
62	63	0	vi.VI
62	63	1/2	.Ger6
63	64	0	V\\
64	65	0	i
65	66	0	i(64)
67	68	0	i
68	69	0	#viio65
68	69	1/4	i6
69	70	0	#viio65
69	70	1/4	i6
70	71	0	VI
70	71	7/8	.It6
71	72	0	V
72	73	0	v
73	74	0	IV.V6
74	75	0	V7
75	76	0	I
75	76	3/4	V2
76	77	0	I6
76	77	1/4	V6
76	77	1/2	I
76	77	3/4	V43
77	78	0	V
78	79	0	V6
78	79	1/2	V43
78	79	3/4	V6
79	80	0	I\\
79	80	3/4	I6
