ix	mn	onset	chords
0	1	0	.Eb.I
1	4	0	V6
2	4	1/8	vi7
3	4	1/4	V
4	5	0	V2
5	5	1/8	vi64
6	5	1/4	V43
7	6	0	I
8	6	1/8	vi
9	6	1/4	IV
10	7	0	V(64)
11	7	1/4	V7
12	8	0	I\\
13	9	0	I6
14	10	0	ii6
15	11	0	V7
16	12	0	I
17	12	1/4	V7
18	13	0	I
19	13	1/8	I6
20	13	1/4	V7
21	14	0	I
22	15	0	I\\
23	16	0	I
24	18	0	V6
25	20	0	V43/V
26	20	1/4	V65/V
27	21	0	V
28	22	0	V43/V
29	22	1/4	V65/V
30	23	0	V
31	23	1/8	V.I
32	24	0	ii6
33	26	0	V(64)
34	26	1/4	V\\
35	28	0	I
36	29	1/8	V7(+9)
37	30	0	V7
38	31	1/8	I
39	32	0	I6
40	33	0	IV
41	33	1/4	ii6
42	34	0	V(64)
43	34	1/4	V7
44	35	0	vi
45	35	1/8	I64
46	35	1/4	ii6
47	36	0	I6
48	37	0	IV
49	37	1/4	ii6
50	38	0	V(64)
51	38	1/4	V7
52	39	0	#viio43/ii
53	39	1/8	ii6
54	39	1/4	viio7/V
55	40	0	V(64)
56	40	1/4	V7
57	41	0	#viio43/ii
58	41	1/8	ii6
59	41	1/4	viio7/V
60	42	0	V(64)
61	42	1/4	V7
62	43	0	I
63	43	1/4	V7
64	44	0	I
65	44	1/8	I6
66	44	1/4	V7
67	45	0	I\\
0	47	0	I.V
1	48	1/8	V(64)
2	48	1/4	V7
3	49	0	V(64)
4	50	1/8	V7
5	50	1/4	V(6#4)
6	51	0	V7
7	52	1/8	V(64)
8	52	1/4	V
9	53	0	viio7/V
10	54	0	.It6
11	55	0	V\\
12	57	1/4	V7
13	59	0	I
14	62	0	V6
16	62	1/8	vi7
15	62	1/4	V
17	63	0	V2
18	63	1/8	vi64
19	63	1/4	V43
20	64	0	I
21	64	1/8	vi
22	64	1/4	IV
23	65	0	V(64)
24	65	1/4	V7
25	66	0	I\\
26	67	0	I6
27	68	0	ii6
28	69	0	V7
29	70	0	I
30	70	1/4	V7
31	71	0	I
32	71	1/8	I6
33	71	1/4	V7
34	72	0	I\\
35	72	1/4	V2/IV
36	74	0	IV6
37	76	0	V43/IV
38	77	0	V65/IV
39	78	0	IV
40	78	1/4	V/ii
41	79	0	ii6
42	79	1/4	ii
43	80	0	V43/ii
44	80	1/4	V65/ii
45	81	0	viio6
46	81	1/4	I6
47	82	0	V43
48	82	1/4	V65
49	83	0	I
50	84	0	ii6
51	86	0	V(64)
52	86	1/4	V\\
53	88	0	I
54	89	1/8	V7(+9)
55	90	0	V7
56	91	1/8	I
57	92	0	I6
58	93	0	IV
59	93	1/4	ii6
60	94	0	V(64)
61	94	1/4	V7
62	95	0	vi\\
63	95	1/8	I64
64	95	1/4	ii6
65	96	0	I6
66	97	0	IV
67	97	1/4	ii6
68	98	0	V(64)
69	98	1/4	V7
70	99	0	#viio65/ii
71	99	1/8	ii6
72	99	1/4	viio7/V
73	100	0	V(64)
74	100	1/4	V7
75	101	0	#viio65/ii
76	101	1/8	ii6
77	101	1/4	viio7/V
78	102	0	V(64)
79	102	1/4	V7
80	103	0	I\\
81	103	1/4	V7
82	104	0	I
83	104	1/4	V7
84	105	0	I
