ix	mn	onset	chords	volta
0	1	0	.A.I	
1	3	1/2	vi6	
2	4	0	V7/V	
3	4	1/4	V\\	
4	6	0	V7	
5	7	0	V(64)	
6	8	0	ii6	
7	10	0	V7	
8	10	1/4	I\\	
9	11	0	V.I	
10	12	0	V65	
11	12	1/8	I	
12	12	1/4	V43	
13	12	3/8	V7	
14	12	1/2	IV6	
15	12	5/8	viio	
16	13	0	I	
17	14	0	V65	
18	14	1/8	I	
19	14	1/4	V43	
20	14	3/8	V7	
21	14	1/2	IV6	
22	14	5/8	viio	
23	15	0	I	
24	17	0	ii6	
25	17	1/4	V(64)	
26	17	1/2	V7	
27	18	0	I\\	
0	19	0	ii.iv	
1	20	0	V(4)/V	
2	20	1/4	V	
3	21	0	i64(9)	
4	21	1/4	i64	
5	22	0	V7(6)	
6	22	1/4	V7	
7	23	0	i	
8	24	0	I.V(4)	
9	24	1/4	V	
10	25	0	i64(9)	
11	25	1/4	i64	
12	26	0	V7(6)	
13	26	1/4	V7	
14	27	0	i	
15	27	1/2	i2	
16	28	0	.Ger6	
17	30	0	V\\	
18	31	0	I	
19	33	1/2	vi6	
20	34	0	V7/V	
21	34	1/4	V\\	
22	36	0	V7	
23	37	0	V(64)	
24	38	1/4	V43/IV	
25	39	0	IV	
26	40	0	I6	
27	40	3/16	IV	
28	40	1/4	V(64)	
29	40	1/2	V\\	
30	41	0	I	
31	42	0	V65	
32	42	1/8	I	
33	42	1/4	V43	
34	42	3/8	V7	
35	42	1/2	IV6	
36	42	5/8	viio	
37	43	0	I	
38	44	0	V65	
39	44	1/8	I	
40	44	1/4	V43	
41	44	3/8	V7	
42	44	1/2	IV6	
43	44	5/8	viio	
44	45	0	I	
45	45	1/4	IV6	
46	45	1/2	IV	
47	46	0	I6	
48	47	0	ii6	
49	47	1/4	V(64)	
50	47	1/2	V7	
51	48	0	I\\	
52	49	0	IV.I	
53	51	1/4	I(64)	
54	51	1/2	V7	
55	52	0	I	
56	53	1/4	I(64)	
57	53	1/2	viio6	
58	54	0	I6	
59	55	0	I.V	
60	55	1/4	I6	
61	55	1/2	I	
62	56	0	V	
63	56	1/4	IV6	
64	56	3/8	iii6	
65	56	1/2	ii6	
66	56	5/8	I6	
67	57	0	V	
68	57	1/4	I6	
69	57	1/2	I	
70	58	0	V	
71	58	1/4	I	
72	58	5/8	V43	
73	59	0	I6	
74	59	1/4	V(64)	
75	59	1/2	V	
76	60	0	I\\	
77	61	0	V(64)	
78	61	1/2	V	
79	62	0	I	
80	62	1/4	ii6	
81	62	1/2	V7	
82	63	0	I	
83	63	1/4	ii6	
84	63	1/2	V7	
85	64	0	I\\	
86	64	1/2	V7/IV	
87	65	0	v.V7	
88	65	1/2	V(64)	
89	66	0	V7	
90	66	1/2	V(64)	
91	67	0	V7	
92	67	1/2	V(64)	
93	68	0	V7	
94	68	1/2	i6	
95	69	0	i	
96	72	0	i\\	
97	73	0	.bIII.I	
98	73	1/2	V65	
99	74	0	I	
100	74	1/2	V65	
101	75	0	I	
102	75	1/2	V65	
103	76	0	I	
104	77	0	V2/IV	
105	78	0	iv.V7	
106	79	0	V(64)	
107	79	1/2	V65/V	
108	80	0	V	
109	81	0	.Ger6	
110	82	0	V\\	
111	82	1/2	V(64)	
112	83	0	V	
113	83	1/2	V(64)	
114	84	0	V	
115	85	0	IV.I	
116	87	0	IV6	
117	87	1/4	I64	
118	87	1/2	IV	
119	88	0	I	
120	89	0	I(42)	
121	89	1/4	I	
122	89	1/2	I(64)	
123	90	0	I	
124	91	0	V	
125	91	1/4	I6	
126	91	1/2	I	
127	92	0	V	
128	92	1/4	I	
129	93	0	V	
130	93	1/4	V(64)	
131	94	0	V6	
132	94	1/4	IV6	
133	95	0	I6	
134	95	1/4	ii	
135	95	1/2	V	
136	96	0	I\\	
137	96	1/4	IV6	
138	97	0	I	
139	97	1/4	ii64	
140	97	1/2	V	
141	98	0	I\\	
142	98	1/4	IV	
143	98	1/2	V7	
144	99	0	I\\	
145	99	1/4	IV	
146	99	1/2	V7	
147	100	0	I\\	1
148	100	0	I\\	2
