mc	mn	onset	chords
0	1	0	.C.I[I6
2	3	3/8	IV
3	4	0	I6
4	5	0	IV
5	6	0	I6]
6	7	0	V(64)
6	7	1/4	V7
7	8	0	I(#2)
7	8	1/8	I\\
8	9	0	I(64)
9	10	0	I
10	11	0	V(64)
10	11	1/4	V7
11	12	0	I\\
12	13	0	V(64)
12	13	1/8	V7
12	13	1/4	V(64)
12	13	3/8	V
13	14	0	I
14	15	0	V(64)
14	15	1/8	V7
14	15	1/4	V(64)
14	15	3/8	V
15	16	0	I
15	16	3/16	V2/IV
15	16	1/4	IV6
15	16	7/16	IV
16	17	0	I6
16	17	1/8	I
17	18	0	V(64)
17	18	1/4	V\\
18	19	0	V.I
19	20	0	IV64
20	21	0	V65
21	22	0	I
23	24	0	IV64
24	25	0	V65
25	26	0	I
25	26	1/8	ii7
25	26	1/4	I6
25	26	3/8	I
26	27	0	IV
27	28	0	I
27	28	1/8	ii7
27	28	1/4	I6
27	28	3/8	I
28	29	0	IV
29	30	0	I
29	30	1/4	IV
30	31	0	V
30	31	1/8	#viio7/vi
30	31	3/8	vi
31	32	0	ii6
32	33	0	V(64)
32	33	1/4	V7(4)
32	33	3/8	V7
33	34	0	I\\
35	36	0	V65
35	36	1/4	I
36	37	0	IV
36	37	3/8	vii%7/V
37	38	0	V(64)
37	38	1/8	V\\
38	39	0	ii
39	40	0	IV
39	40	1/4	V
40	41	0	vi
40	41	1/8	ii6
40	41	1/4	V(64)
40	41	3/8	V7
41	42	0	I\\
41	42	1/4	I(64)
42	43	0	I
42	43	1/4	I(64)
43	44	0	I
43	44	1/8	V2
43	44	1/4	I6
43	44	3/8	V2
44	45	0	I6
44	45	1/8	V6
44	45	1/4	I
44	45	3/8	V43
45	46	0	I6
46	47	0	ii6
46	47	1/4	V(64)
46	47	3/8	V7
47	48	0	I\\
47	48	1/4	I(64)
48	49	0	I
48	49	1/4	I(64)
49	50	0	I
49	50	1/8	V2
49	50	1/4	I6
49	50	3/8	V2
50	51	0	I6
50	51	1/8	V6
50	51	1/4	I
50	51	3/8	V43
51	52	0	I6
52	53	0	ii6
52	53	1/4	V(64)
52	53	3/8	V7
53	54	0	I\\
54	55	0	V(64)
54	55	1/4	V7
55	56	0	I\\
56	57	0	V(64)
56	57	1/4	V7
57	58	0	I\\
58	59	0	I
58	59	3/8	viio43/IV
59	60	0	IV6
59	60	3/8	#viio43/ii
60	61	0	ii6
60	61	3/8	viio43
61	62	0	I6
61	62	1/8	V2(9)
61	62	1/4	I6
61	62	3/8	V2(9)
62	63	0	I6
62	63	1/8	viio43
62	63	1/4	I6
62	63	3/8	viio43
63	64	0	I6
64	65	0	V(64)
64	65	1/4	V7
65	66	0	I\\
66	67	0	I(6)
66	67	1/8	I
67	68	1/8	V7/IV
68	69	0	#viio7/ii
69	70	1/4	V65/ii
70	71	0	ii
70	71	1/4	I.IV6
71	72	0	V7(4)
71	72	1/4	V43/IV
72	73	0	IV
72	73	1/4	ii6
73	74	0	V43/ii
74	75	0	V7(4)/V
74	75	3/16	V7/V
74	75	1/4	V43
75	76	0	I(4)
75	76	1/4	i
76	77	0	ii%65
77	78	0	viio7/V
78	79	0	V[V\\
78	79	1/4	viio6/V
78	79	7/16	viio
79	80	0	I(4)
79	80	1/16	I
79	80	3/16	i
79	80	1/4	V2
79	80	7/16	i6
80	81	0	V64
80	81	1/8	V6
80	81	1/4	viio6/V
80	81	3/8	viio
81	82	0	I
81	82	1/8	i64
81	82	1/4	V2]
81	82	3/8	viio7/V
82	83	0	V\\
83	84	0	V7
87	88	0	I[I6
89	90	3/8	IV
90	91	0	I6
91	92	0	IV
92	93	0	I6]
93	94	0	V(64)
93	94	1/4	V7
94	95	0	I(#2)
94	95	1/8	I\\
95	96	0	I(64)
96	97	0	I
97	98	0	V(64)
97	98	1/4	V7
98	99	0	I\\
99	100	0	V(64)
99	100	1/8	V7
99	100	1/4	V(64)
99	100	3/8	V
100	101	0	I\\
101	102	0	V(64)
