mc	mn	onset	chords
0	1	0	.c.i
2	3	0	i6
3	4	0	#viio65
4	5	0	V
6	7	0	#viio65
7	8	0	i6
8	9	0	V[V
8	9	3/4	i64
9	10	0	viio7/V
9	10	1/4	V2
9	10	1/2	I6(9)
9	10	3/4	i6
10	11	0	V43(4)
10	11	1/4	V43
10	11	3/4	i6
11	12	0	viio2/V
11	12	1/4	V43
11	12	1/2	I(2)
11	12	3/4	i
12	13	0	V6(4)
12	13	1/4	V6]
12	13	1/2	#viio43
13	14	0	i6(#762)
13	14	1/4	i6
13	14	1/2	V(65)
14	15	0	i
14	15	1/2	#viio43
15	16	0	i6(#762)
15	16	1/4	i6
15	16	1/2	#viio6
16	17	0	i
16	17	1/2	iio6
17	18	0	V(64)
17	18	1/2	V7
18	19	0	i\\
20	21	0	V7/III
22	23	0	III.I
22	23	1/2	V43
22	23	3/4	V2
23	24	0	I6
23	24	1/4	I
23	24	1/2	V65
24	25	0	I6
24	25	1/2	V43
24	25	3/4	V2
25	26	0	I6
25	26	1/2	V65
26	27	0	I
26	27	1/2	V6
27	28	0	vi7
28	29	0	V43/V
29	30	0	V(2)
29	30	1/4	V\\
29	30	1/2	.bVI
30	31	0	V
30	31	1/2	.bVI
31	32	0	V
31	32	1/2	.bVI
32	33	0	V
32	33	1/4	.bVI
32	33	1/2	V
32	33	3/4	.bVI
33	34	0	V
34	35	0	V7
35	36	0	I6
35	36	1/2	V64
35	36	3/4	I6
36	37	0	#viio6/ii
36	37	1/2	V2
37	38	3/4	I6
38	39	0	V65(4)
38	39	1/2	V65
39	40	0	V6
39	40	1/2	vi7
39	40	3/4	V6
40	41	0	V+6
40	41	1/2	I
41	42	0	I64
41	42	7/8	I6
42	43	0	V43
42	43	1/2	I\\
43	44	1/2	.It6/ii
44	45	0	V/ii
44	45	1/4	#viio43/ii
45	46	0	ii6
46	47	0	V(64)
46	47	1/2	V7(4)
46	47	3/4	#viio7/vi
47	48	0	vi\\
48	49	0	I
48	49	1/2	.It6/ii
49	50	0	V/ii
49	50	1/4	#viio43/ii
50	51	0	ii6
51	52	0	ii
55	56	1/2	viio7/V
56	57	0	V(64)
57	58	1/2	V7(4)
57	58	3/4	V7
58	59	0	I\\
58	59	1/2	V65
59	60	0	I
59	60	1/2	viio6
60	61	0	I6
60	61	1/2	IV
61	62	0	V(64)
61	62	1/2	V7(4)
61	62	3/4	V7
62	63	0	I\\
62	63	1/2	V65
63	64	0	I
63	64	1/2	V43
64	65	0	I6
65	66	0	IV
65	66	1/2	V(64)
65	66	3/4	V7
66	67	0	I[I\\
66	67	3/4	V65/IV
67	68	0	IV
67	68	3/4	viio6
68	69	0	I
68	69	3/4	V65/IV
69	70	0	IV
69	70	3/4	viio6
70	71	0	I]
73	74	0	V7(+b9)/vi
74	75	0	iv.V
76	77	0	#viio43
78	79	0	i
78	79	1/2	V43
79	80	0	i6
79	80	1/2	V65
80	81	0	i
80	81	1/2	V43
81	82	0	i6
81	82	1/2	V65
82	83	0	i\\
84	85	0	i.V7/V
86	87	0	v
88	89	0	#viio43
90	91	0	i6
92	93	0	V65
93	94	1/4	V7
94	95	0	#viio65
95	96	0	#viio7
98	99	0	V65\\
99	100	0	i
101	102	0	i6
102	103	0	#viio65
103	104	0	V
105	106	0	#viio65
106	107	0	i6
107	108	0	V[V
107	108	3/4	i64
108	109	0	viio7/V
108	109	1/4	V2
108	109	1/2	I6(2)
108	109	3/4	i6
109	110	0	V43(4)
109	110	1/4	V
109	110	3/4	i6
110	111	0	viio2/V
110	111	1/4	V43
110	111	1/2	I(2)
110	111	3/4	i
111	112	0	V6(4)
111	112	1/4	V6]
111	112	1/2	#viio43
112	113	0	i6(#762)
112	113	1/4	i6
112	113	1/2	V65
113	114	0	i
113	114	1/2	#viio43
114	115	0	i6(#762)
114	115	1/4	i6
114	115	1/2	#viio6
115	116	0	i
115	116	1/2	iio6
116	117	0	V(64)
116	117	1/2	V7
117	118	0	i\\
118	119	1/2	VI
119	120	0	iv
119	120	1/2	.bII.V[I64
120	121	0	V43
121	122	0	I
122	123	0	V43
123	124	0	I]
124	125	0	i.viio65/V
125	126	0	V\\
125	126	1/2	VI
126	127	0	V
126	127	1/2	VI
127	128	0	V
127	128	1/4	VI
127	128	1/2	V
127	128	3/4	VI
128	129	0	V
129	130	0	V7
130	131	0	i6
130	131	1/2	V64
130	131	3/4	i6
131	132	0	#viio6/ii
131	132	1/2	V2
132	133	0	V2
132	133	3/4	i6
133	134	0	V65(4)
133	134	1/2	V65
134	135	0	V6
134	135	1/2	i
134	135	3/4	V43
135	136	0	V43(#7)
135	136	1/2	i
136	137	0	i6
137	138	0	V43
137	138	1/2	i\\
138	139	1/2	#viio43/iv
139	140	0	IV6
139	140	1/4	.Ger6
140	141	0	V7
140	141	1/2	#viio7
141	142	0	V7/iv
141	142	1/2	#viio7/iv
142	143	0	iv
143	144	0	V(64)
143	144	1/2	V7(4)
143	144	3/4	V7
144	145	0	i\\
144	145	1/2	#viio43/iv
145	146	0	IV6
145	146	1/4	.Ger6
146	147	0	V7
146	147	1/2	#viio7
147	148	0	V7/iv
147	148	1/2	#viio7/iv
148	149	0	iv
152	153	1/2	iio6-iio
153	154	0	V(64)
154	155	1/2	V7(4)
154	155	3/4	V7
155	156	0	i\\
155	156	1/2	V65
156	157	0	i
156	157	1/2	#viio6
157	158	0	i6
157	158	1/4	V6/iv
157	158	1/2	iv
157	158	3/4	viio7/V
158	159	0	V(64)
158	159	1/2	V7(4)
158	159	3/4	V7
159	160	0	i\\
159	160	1/2	V65
160	161	0	i
160	161	1/2	V43
161	162	0	i6
161	162	3/4	V65/iv
162	163	0	iv
162	163	1/2	V(64)
162	163	3/4	V7
163	164	0	i\\
164	165	0	V7
165	166	0	i
166	167	0	V7
167	168	0	i\\
169	170	0	VI
171	172	0	viio7/V
173	174	0	V(64)
174	175	0	V7
175	176	0	i\\
175	176	1/4	V6
175	176	1/2	i
175	176	3/4	V
176	177	0	VI
176	177	1/4	III6
176	177	1/2	VI
176	177	3/4	III
177	178	0	IV
177	178	1/4	viio/V
177	178	1/2	V
178	179	0	i
178	179	1/4	V6
178	179	1/2	i
178	179	3/4	V
179	180	0	VI
179	180	1/4	III6
179	180	1/2	VI
179	180	3/4	III
180	181	0	iv
180	181	1/4	viio/V
180	181	1/2	V
181	182	0	i\\
181	182	3/4	V7
182	183	0	i
182	183	3/4	V
183	184	0	i\\
