ix	mn	onset	chords
0	1	0	.Eb.I
1	1	1/2	V6
2	1	3/4	vi
3	1	7/8	viio6/V
4	2	0	V
5	2	1/2	V2/ii
6	2	3/4	ii6
7	3	0	V2
8	3	1/4	I6
9	3	1/2	ii7(4)
10	3	3/4	V7
11	4	0	I\\
12	5	0	viio6(9)
13	5	1/4	viio6
14	6	0	I6(9)
15	6	1/4	I6
16	6	1/2	i6
17	6	3/4	v.VI
18	7	0	V7
19	7	1/2	viio7/V
20	8	0	V
21	8	1/2	V(#764)
22	8	3/4	V\\
23	9	0	V.I
24	9	1/2	V43
25	10	0	I
26	10	1/2	V43
27	11	0	I
28	11	3/8	V43
29	11	1/2	I6
30	12	0	ii6
31	12	1/2	V(64)
32	12	3/4	V7
33	13	0	vi
34	13	1/2	I6
35	14	0	ii65
36	14	3/8	V65/V
37	14	1/2	V(64)
38	14	3/4	V7
39	15	0	I\\
40	15	1/4	V7
41	15	1/2	I\\
42	15	13/16	I.V7
0	16	0	#viio2/ii
1	16	1/2	V7/ii
2	17	0	II64
3	17	3/8	ii64
4	17	1/2	IV6
5	17	3/4	iv6
6	18	0	V7
7	19	0	I
8	19	1/4	V2/IV
9	19	1/2	IV6
10	19	3/4	.It6
11	20	0	V[V
12	20	1/4	viio6/V
13	20	1/2	V
14	20	3/4	viio6/V
15	21	0	viio64/V
16	21	1/4	V]\\
17	22	0	I
18	22	1/2	V2/IV
19	23	0	IV6
20	23	1/2	I6
21	23	3/4	V(65)/IV
22	24	0	IV
23	24	1/2	V2
24	25	0	I6
25	25	1/2	i.viio7/V
26	26	0	V
27	26	1/2	V(#764)
28	26	3/4	V\\
29	27	0	I.I
30	27	1/2	V43
31	28	0	I
32	28	1/2	V43
33	29	0	I
34	29	3/8	viio6
35	29	1/2	I6
36	30	0	ii6
37	30	1/2	V(64)
38	30	3/4	V7
39	31	0	vi
40	31	1/2	I6
41	32	0	ii65
42	32	3/8	V65/V
43	32	1/2	V(64)
44	32	3/4	V7
45	33	0	I\\
46	33	1/4	V
47	33	1/2	I\\
0	34	0	I
1	34	1/2	V6
2	34	3/4	vi
3	34	7/8	viio6/V
4	35	0	V(4)
5	35	1/8	V
6	35	1/4	vii%7
7	35	1/2	I(6)
8	35	13/24	I
9	35	3/4	vi
10	35	7/8	ii64
11	36	0	V(64)
12	36	3/8	V7
13	36	1/2	I(974)
14	36	3/4	I\\
