ix	mn	onset	chords
0	0	0	.Bb.V65/ii
1	1	0	ii
2	1	1/2	V65
3	2	0	I
4	2	3/4	I6
5	3	0	IV
6	3	1/4	I6
7	3	1/2	viio6
8	3	3/4	I
9	4	0	V(64)
10	4	1/4	V\\
11	4	1/2	V65/ii
12	5	0	ii
13	5	1/4	ii6
14	5	3/4	V65
15	6	0	I
16	6	1/4	I6
17	6	3/4	I6
18	7	0	IV
19	7	1/4	IV6
20	7	1/2	V(4)
21	7	3/4	V
22	8	0	I\\
23	8	1/4	I
24	8	1/2	ii
25	8	3/4	viio
26	9	0	I
27	9	1/4	I6
28	9	1/2	ii6
29	9	3/4	viio/V
30	10	0	V\\
31	10	1/4	I
32	10	1/2	ii
33	10	3/4	viio
34	11	0	I
35	11	1/4	IV
36	11	1/2	V
37	11	3/4	V7
38	12	0	I\\
39	12	1/4	I+6
40	12	1/2	IV
41	12	3/4	I+6
42	13	0	IV
43	13	1/2	V(64)
44	13	3/4	V7
45	14	0	I\\
46	14	1/4	I+6
47	14	1/2	IV
48	14	3/4	I+6
49	15	0	IV
50	15	1/2	V(64)
51	15	3/4	V7
52	16	0	I\\
53	16	1/4	V7
54	16	1/2	I
55	16	3/4	V7
56	17	0	I
57	18	0	I
58	20	0	V6
59	22	0	V.viio
60	22	1/2	I
61	22	3/4	I6
62	23	0	viio64
63	23	1/4	viio6
64	23	1/2	I6
65	23	3/4	I
66	24	0	vio64
67	24	1/4	viio
68	24	1/2	I
69	24	3/4	I6
70	25	0	viio6
71	25	1/2	I6
72	26	0	ii6
73	27	0	V(64)
74	27	1/4	V\\
75	28	0	I
76	28	1/2	V65
77	29	0	V43
78	29	1/2	I6
79	30	0	I
80	30	1/2	V65
81	31	0	V43
82	31	1/2	I6
83	32	0	I6
84	33	0	ii6
85	34	0	I6
86	34	1/4	IV6
87	34	1/2	ii6
88	34	3/4	V
89	35	0	I6
90	36	0	ii6
91	37	0	IV
92	38	1/4	ii65
93	38	1/2	V(4)
94	38	3/4	V
95	39	0	I[I\\
96	39	1/4	V7/IV
97	40	0	IV
98	40	1/4	viio6
99	41	0	I
100	41	1/4	V7/IV
101	42	0	IV
102	42	1/4	viio6
103	43	0	I]
104	43	1/2	I.V65/ii
105	44	0	ii
106	44	1/2	V65
107	45	0	I
108	45	3/4	I6
109	46	0	IV
110	46	1/4	I6
111	46	1/2	viio6
112	46	3/4	I
