mc	mn	onset	chords
1	1	0	.D.I
2	2	5/8	V2
3	3	0	I6
3	3	1/4	V6
3	3	3/8	I
3	3	5/8	ii6
4	4	0	V(64)
4	4	3/8	V\\
5	5	0	ii
6	6	5/8	#viio6/ii
7	7	0	ii6
7	7	5/8	V
8	8	0	I(94)
8	8	3/8	I\\
10	10	0	V(4)
10	10	1/4	V
10	10	5/8	V6
11	11	0	I
11	11	1/4	V64
11	11	3/8	I6
11	11	5/8	ii6
12	12	0	V(64)
12	12	3/8	V\\
13	13	0	ii
14	14	0	V7/ii
14	14	5/8	V65/ii
15	15	0	ii
15	15	5/8	V7
16	16	0	I\\
17	17	0	V65
17	17	3/8	V43
18	18	0	I
19	19	0	V6
19	19	3/8	V43
20	20	0	I6
20	20	3/8	V6
21	21	0	I
21	21	3/8	V43
21	21	1/2	I6
21	21	5/8	V2
22	22	0	I6
22	22	3/8	V6
23	23	0	I
23	23	3/8	V43
23	23	1/2	I6
23	23	5/8	V2
24	24	0	I6
24	24	1/4	viio6
24	24	3/8	vi6
24	24	5/8	V6
25	25	0	IV6
25	25	1/4	iii6
25	25	3/8	ii6
25	25	5/8	viio/V
26	26	0	V[V\\
26	26	1/4	I
26	26	3/8	V
26	26	5/8	I
27	27	0	V]
28	28	0	V.I
29	29	3/8	V6/ii
30	30	0	ii
31	31	0	ii6
32	32	0	V
33	33	0	V65
34	34	0	I
35	35	0	V6
35	35	1/4	I
35	35	3/8	V43
35	35	1/2	I
35	35	5/8	V6
36	36	0	I
37	37	0	V6
37	37	1/4	I
37	37	3/8	V43
37	37	1/2	I
37	37	5/8	V6
38	38	0	I
38	38	1/2	V43
38	38	5/8	I6
39	39	0	ii6
39	39	3/8	ii
39	39	1/2	I6
39	39	5/8	ii6
40	40	0	V(64)
40	40	3/8	V7
41	41	0	I\\
42	42	0	IV
43	43	0	V7(4)
43	43	3/8	V7
43	43	5/8	V2
44	44	0	I6
44	44	5/8	I
45	45	0	V(64)
45	45	3/8	V\\
46	46	0	V7
47	47	5/8	V2
48	48	0	I6
48	48	1/4	IV
48	48	3/8	I6
48	48	5/8	IV
49	49	0	I6
49	49	3/8	V7/vi
50	50	0	IV
51	51	0	V(64)
51	51	3/8	iv6
51	51	5/8	viio6/V
52	52	0	V(64)
52	52	3/8	V7
53	53	0	I\\
54	54	0	V
55	55	0	I
56	56	0	V7
57	57	0	I\\
60	59	0	i
62	61	0	.bVI.V7
64	63	0	I
66	65	0	V
67	66	0	V7
69	68	0	V65/vi
71	70	0	iv.i
73	72	0	V6
73	72	1/4	i6
73	72	3/8	V64
73	72	5/8	i
74	73	0	V6
74	73	1/4	V2
74	73	3/8	i6
74	73	5/8	viio6
75	74	0	i
75	74	3/8	v.It6
76	75	0	V
77	76	0	i
77	76	3/8	vi.It6
78	77	0	V\\
78	77	3/8	V7
79	78	0	i
79	78	3/8	.Ger6
80	79	0	V[V
80	79	3/8	viio7/V
81	80	0	V
81	80	3/8	viio7/V
82	81	0	V]
84	83	0	v
85	84	0	V65(4)/V
85	84	3/8	V65/V
86	85	0	#viio43
86	85	3/8	V2
