ix	mn	onset	chords
0	0	0	.D.I
1	1	3/8	viio6/V
2	2	0	V(64)
3	2	1/4	V7
4	3	0	V
5	3	3/8	V6
6	4	0	I(94)
7	4	1/4	I
8	4	3/8	I
9	5	0	I6
10	5	3/8	I
11	6	0	I6
12	6	3/8	IV
13	6	5/8	viio6
14	7	0	I6
15	7	3/8	ii6
16	8	0	V\\
17	8	3/8	I
18	9	0	I
19	9	3/8	viio6/V
20	10	0	V(64)
21	10	1/4	V7
22	11	0	V
23	11	3/8	V6
24	12	0	I(42)
25	12	1/4	I
26	13	0	I6
27	13	3/8	IV
28	14	0	ii64
29	14	3/8	ii6
30	15	0	V(64)
31	15	3/8	V7
32	16	0	I\\
33	19	0	V(64)
34	19	3/8	V7(4)
35	19	5/8	V7
36	20	0	V(64)
37	21	0	V(64)
38	21	3/8	V7(4)
39	21	5/8	V7
40	22	0	V(64)
41	23	3/8	V7(4)
42	23	5/8	V7
43	24	0	I\\
44	24	3/8	vi7
45	25	0	ii65
46	25	3/8	V
47	26	0	I\\
48	28	0	V6
49	29	0	V.I6
50	30	0	ii7(4)
51	30	3/8	ii7
52	30	1/2	ii
53	32	0	V65
54	34	0	I
55	35	0	V65
56	36	0	I
57	37	0	V65
58	38	0	I
59	38	3/8	I6
60	39	0	IV
61	40	0	V\\
62	41	0	I64
63	41	3/8	V2
64	42	0	I
65	43	0	vi
66	43	3/8	IV6
67	43	5/8	IV
68	44	0	V7
69	44	3/8	I
70	45	0	ii65
71	45	3/8	V65/V
72	46	0	V
73	46	3/8	V2
74	47	0	I6
75	47	3/8	IV
76	47	5/8	IV6
77	48	0	V(64)
78	48	3/8	V\\
79	49	0	I64
80	49	3/8	V2
81	50	0	vi
82	50	3/8	V43/IV
83	51	0	IV
84	51	1/4	#viio6/ii
85	51	3/8	ii
86	51	5/8	vi6
87	52	0	V6
88	52	1/4	V7
89	52	3/8	I
90	53	0	ii65
91	53	3/8	V65/V
92	54	0	V2
93	54	3/8	V65/IV
94	55	0	IV
95	55	3/8	V7
96	56	0	I\\
97	57	0	V43
98	57	3/8	V65
99	58	0	I
100	59	0	V43
101	59	3/8	V65
102	60	0	I
103	61	0	IV
104	62	0	I6
105	62	3/8	IV
106	63	0	V(64)
107	63	3/8	V7
108	64	0	I\\
109	65	0	V43
110	65	3/8	V65
111	66	0	I
112	67	0	V43
113	67	3/8	V65
114	68	0	I
115	69	0	IV
116	70	0	I6
117	70	3/8	IV
118	71	0	V(64)
119	71	3/8	V7
120	72	0	IV
121	73	0	I6
122	73	3/8	IV
123	74	0	V(64)
124	74	3/8	V7
125	75	0	I\\
126	75	3/8	vi
127	76	0	ii6
128	76	3/8	V(64)
129	76	5/8	V
130	77	0	I
131	77	3/8	vi
132	78	0	ii6
133	78	3/8	V(64)
134	78	5/8	V
135	79	0	I\\
136	79	5/8	V7
137	80	0	I
138	80	5/8	V7
139	81	0	I
140	81	5/8	V65
141	82	0	I
142	82	5/8	V65
143	83	0	I\\
144	83	3/8	I(42)
145	84	0	I
146	84	3/8	I(64)
147	85	0	I.V7
148	86	3/8	I
149	87	3/8	viio6/V
150	88	0	V(64)
151	88	1/4	V7
152	89	0	V
153	89	3/8	V6
154	90	0	I(94)
155	90	1/4	I
156	91	0	I6
157	91	3/8	I
158	92	0	I6
159	92	3/8	IV
160	92	5/8	viio6
161	93	0	I6
162	93	3/8	IV
163	94	0	V\\
164	94	3/8	I
165	95	3/8	viio6/V
166	96	0	V(#4)
167	96	3/8	V7
168	97	0	V
169	97	3/8	V6
170	98	0	I(94)
171	98	1/4	I
172	99	0	I6
173	99	3/8	IV
174	100	0	ii64
175	100	3/8	ii6
176	101	0	V(64)
177	101	3/8	V7
178	102	0	I\\
179	102	1/4	I
180	104	0	IV.V7
181	105	0	V(64)
182	105	3/8	V7(4)
183	105	5/8	V7
184	106	0	V(64)
185	107	0	V(64)
186	107	3/8	V7(4)
187	107	5/8	V7
188	108	0	V(64)
189	109	3/8	V7(4)
190	109	5/8	V7
191	110	0	I
192	110	3/8	vi
193	111	0	ii65
194	111	3/8	V
195	112	0	I\\
196	112	3/8	ii.VI
197	113	0	ii%65
198	113	3/8	V
199	114	0	i\\
200	114	3/8	I.vi
201	115	0	ii65
202	115	3/8	V
203	116	0	I\\
204	116	3/8	vi.#viio7
205	117	0	i
206	117	3/8	.It6
207	118	0	V\\
208	119	0	i
209	120	0	V6
210	120	3/8	vo6
211	121	0	IV6
212	121	3/8	iv6
213	122	0	i64
214	122	3/8	III6
215	123	0	.bII6
216	124	0	i6
217	125	0	V6
218	125	3/8	i
219	126	0	V\\
220	127	0	i
221	128	0	V(4)
222	128	3/8	v
223	129	0	V7/iv
224	129	1/8	iv
225	129	5/8	viio6/III
226	130	0	III(4)
227	130	3/8	III
228	131	0	iv6(2)
229	131	1/8	iv6
230	132	0	VII6
231	132	1/8	III6
232	132	3/8	V7
233	132	1/2	V(64)
234	132	5/8	V7
235	133	0	i(9)
236	133	1/4	VI
237	133	3/8	ii%7
238	133	5/8	v
239	134	0	V65/iv
240	134	1/4	iv
241	134	3/8	V65/III
242	134	5/8	III
243	135	0	iv64(2)
244	135	1/4	iio
245	135	3/8	V65
246	135	5/8	i
247	136	0	IV.V65/ii
248	136	1/4	ii
249	136	3/8	V65
250	136	5/8	I
251	137	0	ii6
252	138	0	V(64)
253	138	3/8	V\\
254	139	0	I
255	140	0	V43
256	141	0	I6
257	142	0	V65
258	143	0	I
259	143	3/8	I6
260	144	0	IV
261	144	3/8	viio6/V
262	145	0	V
263	145	1/8	V6/V
264	145	1/4	V2
265	145	3/8	I
266	145	1/2	IV
267	146	0	V(64)
268	146	3/8	V\\
269	147	0	I
270	148	0	V43
271	149	0	I6
272	150	0	V65
273	151	0	I
274	151	3/8	I6
275	152	0	IV
276	152	3/8	viio6/V
277	153	0	V-V(64)
278	153	3/8	V(64)
279	153	5/8	V
280	154	0	I\\
281	154	1/4	I
282	157	3/8	V7(4)/vi
283	157	5/8	V7/vi
284	158	0	vi
285	159	3/8	V7(4)/vi
286	159	5/8	V7/vi
287	160	0	vi
288	161	0	I.I
289	161	3/8	V7(4)
290	161	5/8	V7
291	162	0	I
292	163	3/8	V7(4)
293	163	5/8	V7
294	164	0	I
295	165	0	V
296	165	3/8	V7(4)/V
297	165	5/8	V7
298	166	0	V
299	167	3/8	V7(4)/V
300	167	5/8	V7/V
301	168	0	V[V
302	169	0	V65/V
303	170	0	viio64
304	170	3/8	I6
305	171	0	V64
306	171	3/8	I
307	172	0	V65]
308	173	0	V7
309	173	0	V
310	173	1/4	I
311	174	3/8	viio6/V
312	175	0	V(64)
313	175	1/4	V7
314	176	0	V
315	176	3/8	V6
316	177	0	I(94)
317	177	1/4	I
318	178	0	I6
319	178	3/8	I
320	179	0	I6
321	179	3/8	IV
322	179	5/8	viio6
323	180	0	I6
324	180	3/8	IV
325	181	0	V\\
326	181	3/8	I
327	182	3/8	viio6/V
328	183	0	V(64)
329	183	1/4	V7
330	184	0	V
331	184	3/8	V6
332	185	0	I(94)
333	185	1/4	I
334	186	0	I6
335	186	3/8	IV
336	186	5/8	V
337	187	0	vi
338	187	3/8	ii6
339	188	0	V(64)
340	188	3/8	V7
341	189	0	I\\
342	191	0	V2/IV
343	192	0	V2/IV
344	193	0	IV6(9)
345	193	3/8	IV6
346	194	0	V
347	194	3/8	V2
348	195	0	I6
349	195	3/8	V65/IV
350	197	0	IV
351	198	0	V65/IV
352	199	0	IV
353	200	0	V65/ii
354	201	0	ii
355	202	0	V65
356	203	0	I
357	204	0	IV
358	205	0	V\\
359	206	0	I64
360	206	3/8	V2
361	207	0	I
362	208	0	vi
363	208	3/8	vi(6)
364	208	5/8	IV
365	209	0	V7
366	209	3/8	I
367	210	0	ii65
368	210	3/8	V65/V
369	211	0	V
370	211	3/8	V2
371	212	0	I6
372	212	3/8	IV
373	212	5/8	IV6
374	213	0	V(64)
375	213	3/8	V\\
376	214	0	I64
377	214	3/8	V2
378	215	0	vi
379	215	3/8	V43/IV
380	216	0	IV
381	216	1/4	V43/ii
382	216	5/8	vi6
383	217	0	V6
384	217	1/4	V7
385	217	3/8	I
386	218	0	ii65
387	218	3/8	V65/V
388	219	0	V2
389	219	3/8	V65/IV
390	220	0	IV
391	220	3/8	V7
392	221	0	I\\
393	221	3/8	I
394	222	0	V43
395	222	3/8	V65
396	223	0	I
397	224	0	V43
398	224	3/8	V65
399	225	0	I
400	226	0	IV
401	227	0	I6
402	227	3/8	IV
403	228	0	V(64)
404	228	3/8	V7
405	229	0	I\\
406	229	3/8	I
407	230	0	V43
408	230	3/8	V65
409	231	0	I
410	232	0	V43
411	232	3/8	V65
412	233	0	I
413	234	0	IV
414	235	0	I6
415	235	3/8	IV
416	236	0	V(64)
417	236	3/8	V7
418	237	0	IV
419	238	0	I6
420	239	0	V(64)
421	239	3/8	V7
422	240	0	I\\
423	240	3/8	vi
424	241	0	ii6
425	241	3/8	V(64)
426	241	5/8	V
427	242	0	I
428	242	3/8	vi
429	243	0	ii6
430	243	3/8	V(64)
431	243	5/8	V
432	244	0	I\\
433	245	0	V
434	246	0	I
435	247	0	V7
436	248	0	I
437	249	3/8	viio6/V
438	250	0	V(64)
439	250	1/4	V7
440	251	0	V
441	251	3/8	V6
442	252	0	I(94)
443	252	1/4	I
444	253	0	I6
445	253	3/8	IV
446	253	5/8	V
447	254	0	vi
448	254	3/8	ii6
449	255	0	V(64)
450	255	3/8	V7
451	256	0	I\\
452	256	1/4	I
453	259	0	V(64)
454	259	3/8	V7(4)
455	259	5/8	V7
456	260	0	V(64)
457	261	0	V(64)
458	261	3/8	V7(4)
459	261	5/8	V7
460	262	0	V(64)
461	263	3/8	V7(4)
462	263	5/8	V7
463	264	0	I\\
464	264	3/8	vi
465	265	0	ii65
466	265	3/8	V
467	266	0	I
468	266	3/8	vi
469	267	0	ii65
470	267	3/8	V7
471	268	0	I\\
