ix	mn	onset	chords
0	1	0	.a.i[i6
1	2	0	V43
2	3	0	i6
3	4	0	V43
4	5	0	i6]
5	5	1/2	i
6	6	0	iv(9#7)
7	6	1/4	iv65
8	6	1/2	VII
9	7	0	III(7#2)
10	7	1/4	IIIM65
11	7	1/2	VI
12	8	1/4	iio6
13	8	1/2	V(64)
14	8	3/4	V7
15	9	0	i[i6\\
16	10	0	#viio65(2)
17	10	1/8	#viio65
18	11	0	i6]
19	12	0	V43/VI
20	13	0	VI
21	13	1/4	iv6
22	13	1/2	V43/iv
23	14	0	IV
24	14	1/4	V65/III
25	14	1/2	III(#9)
26	14	3/4	i
27	15	0	III.ii6
28	15	3/4	viio/V
29	16	0	V[V\\
30	16	1/4	V6
31	16	1/2	i
32	16	3/4	V43
33	17	0	i
34	17	3/4	viio43/V
35	18	0	V6
36	18	1/2	i
37	18	3/4	V43
38	19	0	i
39	19	3/4	viio43/V
40	20	0	V6]
41	20	1/4	i
42	20	1/2	V
43	20	3/4	i
44	21	0	V
45	21	1/4	i
46	21	1/2	V
47	21	5/8	i
48	21	3/4	V
49	21	7/8	i
50	22	0	V\\
51	23	0	I6
52	24	0	ii
53	25	0	V7
54	26	0	I
55	27	0	I6
56	28	0	ii6
57	29	0	I6(2)
58	29	1/2	I6
59	30	0	ii7
60	30	1/4	ii6
61	30	1/2	V
62	30	3/4	V65
63	31	0	I
64	31	1/4	V43
65	31	1/2	I6
66	31	3/4	V65/IV
67	32	0	IV
68	32	3/8	ii6
69	34	0	V(64)
70	34	1/2	V7
71	35	0	I\\
72	35	3/4	V65
73	36	0	I
74	36	3/4	V65
75	37	0	I
76	37	1/2	I6
77	38	0	ii6
78	38	1/2	V2
79	39	0	I6
80	39	1/4	IV
81	39	1/2	V(64)
82	39	3/4	V
83	40	0	I\\
84	40	1/4	V
85	40	7/8	V2
86	41	0	I6
87	41	1/4	V
88	41	7/8	V2
89	42	0	I6
90	42	1/4	I
91	42	1/2	vi
