mc	mn	onset	chords
0	0	0	.c.i
2	2	0	#viio65
3	3	0	#viio7
4	4	0	i
5	5	0	i6
5	5	1/2	#viio/iv
6	6	0	iv
6	6	1/2	#viio6/iv
7	7	0	iv6
7	7	1/2	viio6/V
8	8	0	V(#74)
8	8	1/4	V\\
9	9	0	i
10	10	0	#viio65
11	11	0	#viio7
12	12	0	#viio43/iv
13	13	0	V65/iv
14	14	0	iv
14	14	1/4	i64
14	14	1/2	.It6
15	15	0	V(64)
15	15	1/2	V7
16	16	0	i\\
17	17	0	V[V65
18	18	0	i
19	19	0	V65
20	20	0	i]
21	21	0	#viio43
22	22	0	i6
23	23	0	#viio6
24	24	0	V65\\
26	26	0	i
27	27	0	viio43/V
28	28	0	V65
28	28	1/2	i
29	29	0	iio6
29	29	1/4	V(64)
29	29	1/2	V
30	30	0	i\\
31	31	0	V[V65
32	32	0	i
33	33	0	V65
34	34	0	i]
35	35	0	#viio43
36	36	0	i6
37	37	0	#viio6
38	38	0	V65\\
40	40	0	i
41	41	0	viio43/V
42	42	0	V65
42	42	1/2	i
43	43	0	iio6
43	43	1/4	V(64)
43	43	1/2	V
44	44	0	i\\
45	45	0	V7/III
46	46	0	III.I[I
48	48	0	V43
50	50	0	I(9)
50	50	1/2	I
52	52	0	V43
54	54	0	I(9)
54	54	1/2	I]
56	56	0	viio6/V
57	57	0	.bVI
57	57	1/2	.Ger6
58	58	0	V\\
59	59	1/2	.It6
60	60	0	V
61	61	1/2	.It6
62	62	0	V\\
68	68	0	I6
70	70	0	IV
71	71	0	ii6
72	72	0	viio7/V
73	73	0	V(64)
73	73	1/2	V7
74	74	0	I\\
75	75	0	V65
76	76	0	V2/IV
77	77	0	IV6
78	78	0	I6
79	79	0	ii6
80	80	0	V(64)
81	81	0	V7
82	82	0	I\\
83	83	0	V65
84	84	0	V2/IV
85	85	0	IV6
86	86	0	I6
87	87	0	ii6
88	88	0	V(64)
89	89	0	V7
90	90	0	I\\
91	91	0	V7
92	92	0	I
93	93	0	V2
94	94	0	I6
95	95	0	V2
96	96	0	I6
98	98	0	V2/V
100	100	0	i.#viio65
101	101	0	ii%2
102	102	0	V65\\
104	104	0	i
105	105	0	#viio65
106	106	0	#viio7
107	107	0	i
108	108	0	i6
108	108	1/2	#viio/iv
109	109	0	iv
109	109	1/2	#viio6/iv
110	110	0	iv6
110	110	1/2	viio6/V
111	111	0	V(#74)
111	111	1/4	V\\
