mc	mn	onset	chords
0	0	0	.Bb.I
1	1	1/2	vi6
2	2	0	ii(4)
2	2	1/4	ii
3	3	0	V(4)
3	3	1/4	V7
4	4	0	I(97)
4	4	1/4	I
5	5	0	ii6
5	5	1/4	I6
5	5	1/2	ii6
5	5	3/4	viio6
6	6	0	I6
7	7	0	ii6
7	7	1/4	I6
7	7	1/2	ii6
7	7	3/4	viio6
8	8	0	I6
9	9	0	V65
9	9	1/4	I
9	9	1/2	ii6
9	9	3/4	V(64)
9	9	7/8	V
10	10	0	I\\
11	11	0	I
11	11	5/8	vi6
12	12	0	V.V(4)
12	12	1/4	V7
13	13	0	V65
14	14	0	I
15	15	0	V2
15	15	1/2	I6
16	16	0	V2
16	16	1/2	I6
17	17	0	ii6
17	17	1/2	viio/V
18	18	0	V
18	18	1/4	vi7
18	18	1/2	V6
18	18	3/4	I
19	19	0	V65
19	19	1/2	I
19	19	3/4	vi7
20	20	0	V
20	20	1/4	vi7
20	20	1/2	V6
20	20	3/4	I
21	21	0	V65
21	21	1/2	I
21	21	3/4	V43/V
22	22	0	V\\
23	23	0	I
24	24	0	IV
24	24	3/4	I6
25	25	0	V65/V
25	25	1/4	V(64)
25	25	1/2	V65/V
25	25	3/4	V(64)
26	26	0	vi7
26	26	1/4	viio
26	26	1/2	I
27	27	0	ii6
28	28	0	I6
29	29	0	ii
29	29	1/4	viio
29	29	1/2	I
29	29	3/4	vi
30	30	0	V\\
31	31	0	I
32	32	0	IV
32	32	3/4	I6
33	33	0	V65/V
33	33	1/4	V(64)
33	33	1/2	V65/V
33	33	3/4	V(64)
34	34	0	vii7
34	34	1/4	viio
34	34	1/2	I
35	35	0	vi
35	35	3/8	#viio64/ii
35	35	1/2	ii6
35	35	7/8	I6
36	36	0	viio6
36	36	1/8	vi6
36	36	1/4	V6
36	36	3/8	V7
36	36	1/2	I
36	36	3/4	I6
37	37	0	ii6
37	37	1/2	V(64)
37	37	3/4	V
38	38	0	I\\
39	39	0	V65
39	39	1/4	V2
39	39	1/2	V65
39	39	3/4	V2
40	40	0	I6
40	40	1/8	V6
40	40	1/4	I
40	40	3/8	V43
40	40	1/2	I6
41	41	0	V65
41	41	1/4	V2
41	41	1/2	V65
41	41	3/4	V2
42	42	0	I6
42	42	1/8	V6
42	42	1/4	I
42	42	3/8	V43
42	42	1/2	I6
43	43	0	IV
43	43	1/2	V
44	44	0	#viio7/vi
44	44	1/2	vi
45	45	1/4	ii6
45	45	1/2	V(64)
45	45	3/4	V7
46	46	0	I\\
46	46	1/2	V7/IV
