mc	mn	onset	chords
1	1	0	.Bb.I
1	1	1/4	V43
1	1	1/2	I6(#4)
1	1	3/4	I
2	2	0	V6
2	2	1/4	I
2	2	1/2	V43
2	2	3/4	V2
3	3	0	I6
3	3	1/2	V6
4	4	0	I
4	4	3/8	ii6
4	4	1/2	V(64)
4	4	3/4	V\\
5	5	0	I
5	5	1/4	V43
5	5	1/2	I6(#4)
5	5	3/4	I
6	6	0	V6
6	6	1/4	I
6	6	1/2	V43
6	6	3/4	V2
7	7	0	I6
7	7	1/2	ii6
8	8	0	V(64)
8	8	1/4	V7
8	8	1/2	I\\
9	9	0	V
9	9	1/4	viio6/V
9	9	1/2	V65
9	9	3/4	I(4)
9	9	7/8	I
10	10	0	ii6(2)
10	10	1/4	ii6
10	10	3/8	V6/V
10	10	1/2	V(4)
10	10	3/4	V
11	11	1/4	viio6/V
11	11	1/2	V65
11	11	3/4	I(4)
11	11	7/8	I
12	12	0	viio6/V
12	12	1/2	V
13	13	0	viio6/V
13	13	1/2	V
14	14	0	viio6/V
14	14	1/2	V
15	15	0	I
15	15	1/4	V43
15	15	1/2	I6(#4)
15	15	3/4	I
16	16	0	V6
16	16	1/4	I
16	16	1/2	V43
16	16	3/4	V2
17	17	0	I6
17	17	1/2	V6
18	18	0	I
18	18	3/8	ii6
18	18	1/2	V(64)
18	18	3/4	V\\
19	19	0	I
19	19	1/4	V43
19	19	1/2	I6(#4)
19	19	3/4	I
20	20	0	V6
20	20	1/4	I
20	20	1/2	V64
20	20	3/4	V2
21	21	0	I6
21	21	1/2	ii6
22	22	0	V(64)
22	22	1/4	V7
22	22	1/2	I\\
23	23	0	I[I64
23	23	1/2	IV6
23	23	7/8	ii6
24	24	0	IV
24	24	1/4	viio6
24	24	1/2	I6
25	25	0	I6
25	25	1/2	IV
26	26	0	vi
26	26	1/4	viio
26	26	1/2	I]
27	27	0	V6/vi
27	27	1/4	vi
27	27	1/2	#viio6/vi
27	27	3/4	vi6
28	28	0	V6/V
28	28	1/4	V
28	28	1/2	viio6/V
28	28	3/4	V6
29	29	0	V.I6
29	29	1/2	ii65
30	30	0	V(64)
30	30	1/4	V7
30	30	1/2	I(94)
30	30	3/4	I\\
31	31	0	ii.iio
31	31	1/2	V7
32	32	0	i
32	32	1/2	I.V7
33	33	0	i.i
33	33	1/2	VI
34	34	0	viio/V
34	34	1/4	I.viio6/V
34	34	1/2	V(94)
34	34	3/4	V\\
35	35	0	I[I64
35	35	1/2	IV6
35	35	7/8	ii6
36	36	0	IV
36	36	1/4	viio6
36	36	1/2	I6
37	37	0	I
37	37	1/2	IV
38	38	0	vi
38	38	1/4	viio
38	38	1/2	I]
39	39	0	V6/ii
39	39	1/4	ii
39	39	1/2	#viio6/ii
39	39	3/4	ii6
40	40	0	V6
40	40	1/4	I
40	40	1/2	viio6
40	40	3/4	I6
41	41	0	I6
41	41	1/2	ii65
42	42	0	V(64)
42	42	1/4	V7
42	42	1/2	I(94)
42	42	3/4	I\\
43	43	0	I
44	44	0	V7/IV
45	45	0	IV.I6
45	45	3/4	IV
46	46	0	V6
46	46	1/2	I
47	47	1/4	II/vi
47	47	3/8	#viio/vi
47	47	1/2	VI
47	47	5/8	viio/V
47	47	3/4	I.I
47	47	7/8	viio7/V
48	48	0	V(4)
48	48	1/4	V
48	48	1/2	I\\
49	49	0	viio2/V
49	49	1/2	viio7/V
50	50	0	IV.viio2(6)
50	50	1/8	viio2
50	50	1/2	viio7
51	51	0	I
51	51	1/8	i
51	51	1/4	V6
51	51	3/8	v6
51	51	1/2	IV6
51	51	5/8	.It6
51	51	3/4	V
51	51	7/8	viio7/V
52	52	0	V\\
52	52	3/4	V7
53	53	0	I6
53	53	1/2	IV
54	54	0	V6
54	54	1/2	I
55	55	0	IV
55	55	1/4	II/ii
55	55	3/8	#viio/ii
55	55	1/2	II
55	55	5/8	viio
