mc	mn	onset	chords
0	1	0	.F.I
2	3	3/8	I6
3	4	0	ii65
3	4	3/8	I64
4	5	0	iv6
4	5	1/4	V(64)
4	5	3/8	iv6
4	5	5/8	V(64)
5	6	0	viio7/V
5	6	3/8	V\\
6	7	0	I
8	9	3/8	I6
9	10	0	ii65
9	10	3/8	I64
10	11	0	iv6
10	11	1/4	V(64)
10	11	3/8	iv6
10	11	5/8	V(64)
11	12	0	viio7/V
11	12	3/8	V2
12	13	0	#vii65/ii
12	13	3/8	ii6
13	14	0	V7
13	14	3/8	I\\
14	15	0	V7
15	16	0	I
16	17	0	V7
17	18	0	I(#4)
17	18	3/8	I
18	19	0	V7
19	20	0	I
20	21	0	V7
21	22	0	I
21	22	3/8	ii6
22	23	0	I64
22	23	3/8	IV6
23	24	0	V2
24	25	0	I6
24	25	3/8	V(64)
24	25	5/8	#viio7/vi
25	26	0	vi(64)
25	26	3/8	vi\\
26	27	3/8	ii6
27	28	0	I64
27	28	3/8	IV6
28	29	0	V2
29	30	0	I6
29	30	3/8	IV
30	31	0	V(64)
30	31	3/8	V7
31	32	0	I[I\\
31	32	3/8	V43
32	33	0	I
32	33	3/8	V43
33	34	0	I
34	35	0	I(94)
34	35	3/8	I]
35	36	0	V65/vi
36	37	0	vi64
36	37	3/8	V2/vi
37	38	0	vi6
37	38	3/8	V43/vi
38	39	0	vi
38	39	3/8	V65/vi
39	40	0	vi
39	40	3/8	V2/ii
40	41	0	V65/V
41	42	0	V.I64
41	42	3/8	V2
42	43	0	I6
42	43	3/8	V43
43	44	0	I
43	44	3/8	V65
44	45	0	I
45	46	0	IV
45	46	3/8	viio
46	47	0	iii
46	47	3/8	vi
47	48	0	ii
47	48	1/4	V65
47	48	3/8	I
48	49	0	V\\
49	50	0	v.i
50	51	0	V6(#7)
50	51	1/4	V6
51	52	0	viio7
51	52	3/8	V65
52	53	0	i
53	54	0	i6
53	54	3/8	VII6
54	55	0	VI6
54	55	3/8	v6
55	56	0	iv6
55	56	3/8	.It6
56	57	0	V(64)
56	57	3/8	V\\
57	58	0	i
58	59	0	V6(#7)
58	59	1/4	V6
59	60	0	viio7
59	60	3/8	V65
60	61	0	viio43/IV
60	61	3/8	IV6
61	62	0	.Ger6
61	62	3/8	i64
62	63	0	#viio43
62	63	3/8	i6
62	63	5/8	iv
63	64	0	V(64)
63	64	3/8	V7
64	65	0	I\\
64	65	3/8	V.V7
65	66	0	I
65	66	3/8	V7
66	67	0	I
66	67	3/8	V7
67	68	0	I
69	70	0	viio6/V
69	70	3/8	ii%2
70	71	0	viio7
70	71	3/8	viio43
71	72	0	I6
71	72	3/8	IV
72	73	0	V(64)
72	73	3/8	V7
73	74	0	I\\
73	74	3/8	V7
74	75	0	I
74	75	3/8	V7
75	76	0	I
75	76	3/8	V7
76	77	0	I
78	79	0	viio6/V
78	79	3/8	ii%2
79	80	0	viio7
79	80	3/8	viio43
80	81	0	I6
80	81	3/8	IV
81	82	0	V(64)
81	82	3/8	V2
82	83	0	I6
82	83	3/8	ii6
83	84	0	V(64)
83	84	3/8	V7
84	85	0	I\\
84	85	3/8	V7
85	86	0	I
85	86	3/8	V7
86	87	0	I
86	87	3/8	V7
87	88	0	I
90	91	0	v.i
92	93	3/8	i6
93	94	0	ii%65
93	94	3/8	I64
94	95	0	iv6
94	95	1/4	i64
94	95	3/8	iv6
94	95	5/8	i64
95	96	0	V65/V
95	96	1/8	i64
95	96	1/4	V65/V
95	96	3/8	i64
95	96	1/2	iv6
95	96	5/8	i64
96	97	0	V65/V
96	97	1/8	i64
96	97	1/4	V65/V
96	97	3/8	i64
96	97	1/2	iv6
96	97	5/8	i64
97	98	0	V65/V
99	100	0	V7
99	100	1/8	iv6
99	100	1/4	V7
99	100	3/8	iv6
99	100	1/2	vii
99	100	5/8	iv6
100	101	0	V7
100	101	1/8	iv6
100	101	1/4	V7
100	101	3/8	iv6
100	101	1/2	vii
100	101	5/8	iv6
101	102	0	V7
103	104	0	I
103	104	1/8	V65
103	104	1/4	I
103	104	3/8	I.Fr6
103	104	1/2	V
103	104	5/8	V65/V
104	105	0	V
104	105	1/8	V65/V
104	105	1/4	V
104	105	3/8	.Fr6
104	105	1/2	V
104	105	5/8	V65/V
105	106	0	V7
107	108	0	IV.V65
107	108	1/8	iv64
107	108	1/4	V65
107	108	3/8	iv64
107	108	1/2	vii6
107	108	5/8	iv64
108	109	0	V65
108	109	1/8	iv64
108	109	1/4	V65
108	109	3/8	iv64
108	109	1/2	vii6
108	109	5/8	iv64
109	110	0	V65
111	112	0	I
111	112	3/8	V6
112	113	0	IV6
112	113	3/8	III6(2)
112	113	5/8	III6
113	114	0	IV6
113	114	3/8	iii6
114	115	0	ii6
114	115	3/8	I6
115	116	0	V7/V
115	116	3/8	V7
116	117	0	I
116	117	3/8	.bVI
117	118	0	iv7
117	118	3/8	viio7/V
118	119	0	V\\
119	120	0	I
119	120	3/8	V6
120	121	0	IV6
120	121	5/8	III6
121	122	0	IV6
121	122	3/8	iii6
122	123	0	IV
122	123	5/8	I6
123	124	0	V7/V
123	124	3/8	#viio7/vi
124	125	0	vi
124	125	3/8	ii6
125	126	0	V(64)
125	126	3/8	V7
126	127	0	I\\
128	129	0	#viio65/vi
130	131	0	vi6
132	133	0	viio43/V
133	134	0	I.V2
134	135	0	i6
136	137	0	viio65(2)/V
136	137	3/8	viio65/V
137	138	0	.bVI
137	138	3/8	.Ger6
138	139	0	V[V\\
138	139	1/4	viio64/V
138	139	5/8	viio6
139	140	1/4	I6
139	140	1/2	#viio6/ii
139	140	5/8	viio64
140	141	1/4	I64
140	141	1/2	#viio64/ii
140	141	5/8	viio
142	143	0	viio]
147	148	0	I
149	150	3/8	I6
150	151	0	ii65
150	151	3/8	I64
151	152	0	iv6
151	152	1/4	V(64)
151	152	3/8	iv
151	152	5/8	V(64)
152	153	0	viio7/V
152	153	3/8	V\\
153	154	0	I
155	156	3/8	I6
156	157	0	ii65
156	157	3/8	I64
157	158	0	iv6
157	158	1/4	V(64)
157	158	3/8	iv6
157	158	5/8	V(64)
158	159	0	viio7
158	159	3/8	V2
159	160	0	#viio65/ii
159	160	3/8	ii6
160	161	0	V7
160	161	3/8	I\\
161	162	0	V7
162	163	0	I
163	164	0	V7
164	165	0	I(#4)
164	165	3/8	I
165	166	0	V7
166	167	0	I
167	168	0	V7
168	169	0	I\\
168	169	3/8	.It6/ii
169	170	0	V/ii
169	170	3/8	V7/ii
170	171	0	V(64)/ii
170	171	3/8	V2/ii
171	172	0	ii6
171	172	3/8	V43/ii
172	173	0	ii
172	173	3/8	V65/ii
173	174	0	ii
173	174	3/8	V2/V
174	175	0	V6
174	175	3/8	V65
175	176	0	V(64)
175	176	3/8	V2
176	177	0	I6
176	177	3/8	V43
177	178	0	I
177	178	3/8	V6
178	179	0	I
179	180	0	IV
179	180	3/8	viio
180	181	0	iii
180	181	3/8	vi
181	182	0	ii
181	182	3/8	V
182	183	0	I
182	183	1/4	I6
182	183	3/8	IV
182	183	5/8	V6/V
183	184	0	V\\
184	185	0	i.i
185	186	0	V6(#7)
185	186	1/4	V6
186	187	0	viio7
187	188	0	i
188	189	0	i6
188	189	3/8	VII6
189	190	0	VI6(2)
189	190	1/4	VI6
189	190	3/8	v6
190	191	0	iv6
190	191	3/8	.It6
191	192	0	V(64)
191	192	3/8	V\\
192	193	0	i
