ix	mn	onset	chords
0	1	0	.G.I
1	1	1/2	V43
2	2	0	I[I6
3	3	0	IV
4	3	1/2	viio2/V
5	4	0	I6]
6	4	1/4	I
7	5	0	V43
8	6	0	I
9	6	1/4	vi
10	6	1/2	I6
11	7	0	ii6
12	7	1/4	IV
13	7	1/2	IV6
14	8	0	V(64)
15	8	1/4	V\\
16	9	0	I
17	9	1/2	V43
18	10	0	I[I6
19	11	0	IV
20	11	1/2	viio2/V
21	12	0	I6]
22	12	1/4	I
23	13	0	V43
24	14	0	I
25	14	1/4	vi
26	14	1/2	I6
27	15	0	ii6
28	15	1/4	V(64)
29	15	1/2	V7
30	16	0	I(974)
31	16	1/4	I\\
32	17	0	V.I
33	18	0	V43
34	19	0	V65
35	20	0	I
36	20	1/4	IM2
37	20	1/2	IV6
38	21	0	I64
39	21	1/4	viio64
40	21	1/2	I6
41	22	0	ii64
42	22	1/4	#viio64/ii
43	22	1/2	ii6
44	23	0	V(64)
45	23	1/2	V7
46	24	0	I(974)
47	24	1/4	I\\
48	25	0	I.I
49	25	1/2	V43
50	26	0	I[I6
51	27	0	IV
52	27	1/2	viio2/V
53	28	0	I6]
54	28	1/4	I
55	29	0	V43
56	30	0	I
57	30	1/4	vi
58	30	1/2	I6
59	31	0	ii6
60	31	1/4	V(64)
61	31	1/2	V7
62	32	0	I(974)
63	32	1/4	I\\
0	33	0	i.i
1	33	1/2	V43
2	34	0	i
3	35	0	V6
4	35	1/2	V7
5	36	0	i
6	36	1/2	VI6
7	37	0	.bIII.V6
8	38	0	I
9	38	1/4	vi
10	38	1/2	I6
11	39	0	ii6
12	39	1/4	V(64)
13	39	1/2	V7
14	40	0	I(974)
15	40	1/4	I\\
16	40	1/2	I
17	41	0	iv.iv6
18	41	1/4	V7
19	41	1/2	V2
20	42	0	i6
21	42	1/4	V43
22	42	1/2	i
23	43	0	i.viio7/V
24	43	1/4	i64
25	43	1/2	.Ger6
26	44	0	V(#764)
27	44	1/4	V\\
28	45	0	#viio43
29	46	0	i6
30	47	0	iio6
31	47	1/4	V(64)
32	47	1/2	V7
33	48	0	i(974)
34	48	1/4	i\\
35	49	0	I.I
36	49	1/2	V43
37	50	0	I[I6
38	51	0	IV
39	51	1/2	viio2/V
40	52	0	I6]
41	52	1/4	I
42	53	0	V43
43	54	0	I
44	54	1/4	vi
45	54	1/2	I6
46	55	0	ii6
47	55	1/4	IV
48	55	1/2	IV6
49	56	0	V(64)
50	56	1/4	V\\
51	57	0	I
52	57	1/2	V43
53	58	0	I[I6
54	59	0	IV
55	59	1/2	viio2/V
56	60	0	I6]
57	60	1/4	I
58	61	0	V43
59	62	0	I
60	62	1/4	vi
61	62	1/2	I6
62	63	0	ii6
63	63	1/4	V(64)
64	63	1/2	V7
65	64	0	I\\
66	65	0	IV.IV6
67	65	1/2	V6
68	66	0	I(#2)
69	66	1/4	I
70	67	0	I.I6
71	67	1/8	ii6
72	67	1/4	V(64)
73	67	1/2	V7
74	68	0	I\\
75	69	0	IV.IV6
76	69	1/4	V6
77	69	1/2	V7
78	70	0	I
79	70	1/4	I.viio43
80	70	1/2	viio7/V
81	71	0	V(64)
82	71	1/2	V7
83	72	0	I\\
84	72	5/8	V7
85	73	0	I
86	73	5/8	V7
87	74	0	I
