ix	mn	onset	chords
0	1	0	.C.I
1	2	0	ii6
2	2	1/2	V2
3	2	5/8	I6
4	2	3/4	ii6
5	2	7/8	V
6	3	0	I\\
7	4	0	ii6
8	4	1/2	V2
9	4	5/8	I6
10	4	3/4	ii6
11	4	7/8	V
12	5	0	I\\
13	5	1/2	V6(#4)
14	5	3/4	V6
15	6	1/4	V65
16	6	1/2	I[I6(#2)
17	6	3/4	I6
18	7	1/4	V65/IV
19	7	1/2	IV(#2)
20	7	3/4	IV
21	8	1/2	I6(#4)
22	8	3/4	I6]
23	9	0	I6
24	9	1/2	IV
25	10	0	V(64)
26	10	1/4	V
27	10	7/16	V7
28	10	1/2	#viio7/vi
29	10	3/4	vi
30	11	0	I6
31	11	1/2	IV
32	12	0	V(64)
33	12	1/4	V7
34	12	1/2	I[I\\
35	12	3/4	viio6/IV
36	13	1/8	IV6
37	13	3/8	viio6
38	13	1/2	I
39	13	3/4	viio6/IV
40	14	1/8	IV6
41	14	3/8	vii6]
42	14	1/2	V[I6
43	14	3/4	viio
44	15	0	I
45	15	1/4	V43
46	15	1/2	I6]
47	15	7/8	ii6
48	16	0	V(64)
49	16	1/8	V\\
50	16	1/2	V.I
51	17	0	V7/ii
52	18	0	ii
53	19	0	V7
54	20	0	I
55	20	1/4	I6
56	20	1/2	IV
57	21	0	I6
58	21	1/4	I
59	21	1/2	IV
60	22	0	I6
61	22	3/8	#viio/ii
62	22	1/2	ii
63	22	7/8	viio
64	23	0	I
65	23	3/8	IV6
66	23	1/2	ii6
67	23	7/8	viio/V
68	24	0	V\\
69	24	3/8	#viio/ii
70	24	1/2	II
71	24	7/8	viio
72	25	0	I
73	25	3/8	IV6
74	25	1/2	ii65
75	25	3/4	I64
76	26	0	IV6
77	26	1/4	I64
78	26	1/2	ii65
79	26	3/4	I64
80	27	0	IV6
81	27	1/4	I64
82	27	1/2	ii6
83	30	0	V(64)
84	30	1/2	V7
85	31	0	I\\
86	31	1/2	V6
87	32	0	I
88	32	1/2	ii6
89	32	3/4	V7
90	33	0	I\\
91	33	1/2	V6
92	34	0	I
93	34	1/2	ii6
94	34	3/4	V7
95	35	0	I\\
96	35	3/4	@none
97	36	0	ii
98	36	1/2	V65
99	36	3/4	V7
100	37	0	I(94)
101	37	1/2	I\\
0	39	0	I.v
1	40	0	V2/ii
2	41	0	ii6
3	42	0	V2
4	43	0	I6
5	44	0	vi.bII6
6	45	0	V
7	45	3/8	V65
8	45	1/2	i
9	45	5/8	i2
10	45	3/4	IV.#viio7/ii
11	46	0	V/ii
12	46	3/8	V65/ii
13	46	1/2	ii
14	46	5/8	ii2
15	46	3/4	viio
16	47	0	V
17	47	3/8	V65
18	47	1/2	I\\
19	48	1/2	V6
20	49	0	V43/V
21	49	1/2	V(#2)
22	49	3/4	V
23	50	0	I.I
24	50	1/2	V6
25	51	0	viio6/V
26	51	1/2	V
27	52	0	V[V7
28	52	1/2	I
29	53	1/2	V
30	54	0	V7
31	54	1/2	I
32	55	1/2	V
33	55	3/4	I
34	56	0	V
35	56	1/4	I
36	56	1/2	V]\\
37	57	9/16	V9
38	57	13/16	V7
39	58	0	I\\
40	59	0	ii6
41	59	1/2	V2
42	59	5/8	I6
43	59	3/4	ii6
44	59	7/8	V
45	60	0	I\\
46	61	0	ii6
47	61	1/2	V2
48	61	5/8	I6
49	61	3/4	ii6
50	61	7/8	V
51	62	0	I\\
52	62	1/2	V2(4)/IV
53	62	3/4	V2/IV
54	63	1/2	IV6(72)
55	63	3/4	IV6
56	64	1/2	#viio43/ii
57	65	0	#viio64/ii
58	65	1/2	viio43
59	66	0	I6
60	66	1/4	i6
61	66	1/2	V7(4)/V
62	66	5/8	V7/V
63	66	3/4	V65
64	67	0	I(4)
65	67	1/8	I
66	67	1/4	viio7/V
67	67	1/2	V[V\\
68	67	3/4	viio6
69	68	1/8	I
70	68	3/8	viio6/V
71	68	1/2	V
72	68	3/4	viio6
73	69	1/8	I
74	69	3/8	viio6/V
75	69	1/2	V]\\
76	70	1/2	V7/ii
77	72	0	ii
78	73	0	V7
79	74	1/2	I[I6
80	75	0	IV
81	75	1/2	I6
82	76	0	IV
83	76	1/2	I6]
84	76	7/8	#viio/ii
85	77	0	ii
86	77	3/8	viio
87	77	1/2	I
88	77	7/8	IV6
89	78	0	ii6
90	78	3/8	viio/V
91	78	1/2	V\\
92	78	3/4	I6
93	79	0	IV
94	79	1/2	I6
95	79	3/4	I
96	80	0	IV
97	80	1/2	I6
98	80	7/8	#viio/ii
99	81	0	II
100	81	3/8	viio
101	81	1/2	I
102	81	7/8	IV6
103	82	0	ii6
104	82	1/2	iii6
105	83	0	IV6
106	83	1/2	V6
107	84	0	V2
108	84	1/2	I6
109	84	5/8	V[I
110	84	3/4	viio
111	85	0	I
112	85	1/4	V43
113	85	1/2	I6]
114	85	7/8	ii6
115	86	0	V(64)
116	86	1/8	V\\
117	86	1/2	ii65
118	86	3/4	I64
119	87	0	IV6
120	87	1/4	I64
121	87	1/2	ii65
122	87	3/4	I64
123	88	0	IV6
124	88	1/4	I64
125	88	1/2	ii6
126	89	1/2	ii65
127	91	0	V(64)
128	91	1/2	V7
129	92	0	I\\
130	92	1/2	V6
131	93	0	I
132	93	1/2	ii6
133	93	3/4	V7
134	94	0	I\\
135	94	1/2	V6
136	95	0	I
137	95	1/2	ii6
138	95	3/4	V7
139	96	0	I\\
140	97	0	ii
141	97	1/2	V65
142	97	3/4	V7
143	98	0	I(49)
144	98	1/2	I\\
