measure	beat	label
0	1	.Bb.I6
2	1	V2
4	1	I6
5	1	V[I6
5	2	viio6
5	3	I
6	1	I6
6	2	viio6
7	1	I6]
8	1	V.IV
9	1	V(64)
9	3	V7
10	1	I\\
10	3	IV
11	1	I
11	3	viio64
12	1	I\\
12	3	I.viio43/ii
13	1	II6
13	2	viio43
13	3	I6
14	1	viio6/V
14	2	viio7
14	3	I
15	1	ii6
15	3	viio7/V
16	1	V
16	2	V2
16	3	I6
17	2	I
17	3	vii%7/V
18	1	V(64)
18	2	V\\
19	1	I
20	1	V65
21	1	viio6
22	1	I
23	1	V[I6
23	2	viio6
24	1	I6
24	2	viio6
25	1	I6]
27	2	V(64)
27	3	V7
28	1	I\\
28	3	IV
29	1	I
29	3	viio64
30	1	I
30	3	vi
31	1	IV
31	2	ii
31	3	V7
32	1	I\\
33	1	IV.V[I
34	1	viio6(2)
34	2	viio6
34	3	V43
35	1	I
36	1	V43]
37	1	I
37	3	V65/IV
38	1	IV
38	3	#viio43/ii
39	1	ii6
39	3	vii%7/V
40	1	V(64)
40	2	V\\
40	3	I.I
41	1	V43
41	2	V2
42	1	I6
42	2	I
43	1	V43
43	2	V2
44	1	I6
44	2	I
45	2	I6
46	2	ii65
46	3	V65/V
47	1	V(64)
47	3	V7
48	1	I\\
49	1	I[ii6
49	3	I64
50	1	IV6
50	3	I6
51	1	IV
51	3	viio6
52	1	I]\\
53	1	IV.bVI
54	3.1/2	.It6
55	1	V
57	1	V[I
58	1	viio6(2)
58	2	viio6
59	1	I
60	1	V65]
61	1	I
61	3	V65/IV
62	1	IV
62	3	#viio43/ii
63	1	ii6
63	3	vii%7/V
64	1	V(64)
64	2	V\\
64	3	I
65	1	V43
65	2	V2
66	1	I6
66	2	I
67	1	V43
67	2	V2
68	1	I6
68	2	I
69	2	I6
70	2	ii65
70	3	V65/V
71	1	V(64)
71	3	V7
72	1	I\\
