ix	mn	onset	chords
0	0	0	.G.I
1	1	0	I
2	2	0	V43
3	3	0	V6
4	3	1/2	V65
5	4	0	I
6	5	0	IV(4)
7	5	1/8	IV
8	6	0	I6(6)
9	6	1/8	I6
10	7	0	V43
11	7	1/4	I
12	7	1/2	V6
13	8	0	I
14	8	1/2	IV6
15	9	1/4	V(64)
16	9	1/2	V7
17	10	0	I\\
18	11	0	IV(4)
19	11	1/8	IV
20	12	0	I6(6)
21	12	1/8	I6
22	13	0	V43
23	13	1/4	I
24	13	1/2	V6
25	14	0	I
26	14	1/2	IV6
27	15	1/4	V(64)
28	15	1/2	V7
29	16	0	I\\
30	17	0	IV
31	17	3/8	ii
32	18	0	V
33	18	3/8	I6
34	18	5/8	viio6/IV
35	19	0	IV6
36	19	1/4	IV
37	19	1/2	IV6
38	19	5/8	viio
39	20	0	I
40	20	1/4	vi
41	20	1/2	vi6
42	21	0	I6
43	21	1/4	I
44	21	1/2	I6
45	21	5/8	viio/V
46	22	0	V\\
47	23	0	V.I6
48	23	1/4	V43
49	23	1/2	I(4)
50	23	5/8	I
51	24	0	V6(6)
52	24	1/8	V6
53	24	1/4	vi7(4)
54	24	3/8	vi7
55	24	1/2	V(4)
56	24	5/8	V
57	25	0	vi7(4)
58	25	1/16	vi7
59	25	1/4	V6(6)
60	25	5/16	V6
61	25	1/2	I(4)
62	25	9/16	I
63	26	0	V43
64	26	1/4	V6
65	26	1/2	V
66	27	0	I6
67	27	1/4	V43
68	27	1/2	I
69	28	0	V6
70	28	1/4	vi7
71	28	1/2	V
72	29	0	vi7
73	29	1/4	V6
74	29	1/2	I
75	30	0	V43
76	30	1/4	V6
77	30	1/2	V
78	31	0	I\\
79	31	1/2	viio
80	31	5/8	I
81	32	1/2	vii%7
82	32	5/8	I
83	33	1/2	viio/V
84	33	5/8	V
85	34	0	viio/IV
86	34	1/8	IV
87	34	1/4	#viio43/V
88	34	3/8	V6
89	34	1/2	viio43/IV
90	34	5/8	IV6
91	35	0	V7
92	35	1/2	V2
93	36	0	I6
94	37	0	ii6
95	37	1/4	V(64)
96	37	1/2	V7
97	38	0	I\\
98	38	1/2	viio/V
99	38	5/8	V
100	39	0	viio/IV
101	39	1/8	IV
102	39	1/4	viio43/V
103	39	3/8	V6
104	39	1/2	viio43/IV
105	39	5/8	IV6
106	40	0	V7
107	40	1/2	V2
108	41	0	I6
109	42	0	ii6
110	42	1/4	V(64)
111	42	1/2	V7
112	43	0	I\\
113	43	3/8	iii6
114	43	1/2	IV6
115	43	5/8	viio
116	44	0	I
117	44	3/8	iii6
118	44	1/2	IV6
119	44	5/8	viio
120	45	0	I
121	45	1/8	vi6
122	45	1/4	V6(2)
123	45	3/8	V6
124	45	1/2	IV6(2)
125	45	5/8	IV6
