mc	mn	onset	chords
0	1	0	.Bb.I
4	5	0	V7
6	7	0	I
8	9	0	V7
10	11	0	I
11	12	0	I\\
12	13	0	IV
13	14	0	I6
14	15	0	V65
15	16	0	I(#2)
15	16	1/4	I
16	17	0	IV
17	18	0	I6
18	19	0	V7
19	20	0	I\\
20	21	0	vi
21	22	0	V/vi
22	23	0	IV
23	24	0	V65/IV
24	25	0	IV
25	26	0	V65/IV
26	27	0	IV
27	28	0	#viio65/ii
28	29	0	ii6
29	30	0	V2
30	31	0	I6
31	32	0	V.V7
32	33	0	vi
33	34	0	V7/V
34	35	0	V
34	35	1/2	V2
35	36	0	I6
35	36	1/4	V65
35	36	1/2	I
36	37	0	V
36	37	1/2	V2
37	38	0	I6
37	38	1/4	V65
37	38	1/2	I
38	39	0	V
39	40	0	V\\
40	41	0	I
44	45	0	viio64
45	46	0	viio
47	48	0	V43
48	49	0	I6
49	50	0	V2
50	51	0	I6
51	52	0	V2
52	53	0	I6
53	54	0	V7/ii
54	55	0	ii
54	55	1/4	V6
54	55	1/2	I
55	56	0	ii6
55	56	1/4	V(64)
55	56	1/2	V7
56	57	0	I\\
57	58	0	V6
57	58	1/2	V65
58	59	0	I
59	60	0	V6
59	60	1/2	V65
60	61	0	I
60	61	1/2	V43
61	62	0	V6/ii
61	62	1/2	V65/ii
62	63	0	II
62	63	1/4	viio7
62	63	1/2	I
63	64	0	ii6
63	64	1/4	V(64)
63	64	1/2	V2
64	65	0	I6
65	66	0	ii6
65	66	1/2	V43/V
66	67	0	V(64)
67	68	0	V7
68	69	0	I\\
68	69	5/8	V2/IV
69	70	0	IV6
69	70	1/4	I64
69	70	1/2	IV
70	71	0	I6
70	71	1/2	ii6
71	72	0	V(64)
71	72	1/2	V7
72	73	0	I\\
73	74	0	IV6
73	74	1/4	V
73	74	1/2	viio7/V
74	75	0	V(64)
75	76	1/2	V7
76	77	0	I\\
76	77	1/2	V7
77	78	0	I
77	78	1/2	V7
78	79	0	I\\
79	80	0	.bIII.V43
80	81	0	I
81	82	0	V65
82	83	0	I
83	84	0	V65
84	85	0	I
85	86	0	#viio65/vi
86	87	0	vi6
87	88	0	ii.#viio7/iv
88	89	0	iv
89	90	0	V7
90	91	0	VI
91	92	0	vi.V43
92	93	0	i6
93	94	0	.Fr6
94	95	0	V\\
94	95	1/2	V2
95	96	0	i6
95	96	1/4	V65
95	96	1/2	i
96	97	0	V
96	97	1/2	V2
97	98	0	i6
97	98	1/4	V65
97	98	1/2	i
98	99	0	V
99	100	1/4	V\\
100	101	0	ii.V
104	105	0	V7
108	109	0	i
112	113	0	V7/iv
116	117	0	iv
117	118	0	VII7
117	118	1/4	III64
117	118	1/2	VII7
118	119	0	III
119	120	0	VIM7
119	120	1/4	iio64
119	120	1/2	VIM7
120	121	0	iio
121	122	0	V7
121	122	1/4	i64
121	122	1/2	V7
122	123	0	i
122	123	1/2	I.V7
123	124	0	vi
123	124	1/2	viio6/V
124	125	0	V
124	125	1/2	V7
125	126	0	.bVI
125	126	1/2	i
126	127	0	V
126	127	1/2	V7
127	128	0	.bVI
127	128	1/2	i
128	129	0	V\\
129	130	0	V7
132	133	0	I
136	137	0	V7
138	139	0	I
140	141	0	V7
142	143	0	I
143	144	0	I\\
144	145	0	IV
145	146	0	I6
146	147	0	V65
147	148	0	I(#2)
147	148	1/4	I
148	149	0	IV
149	150	0	I6
150	151	0	V7
151	152	0	I
152	153	0	vi
153	154	0	V7/vi
154	155	0	IV
155	156	0	V65/IV
156	157	0	IV
157	158	0	V65/IV
158	159	0	IV
159	160	0	#viio65/ii
160	161	0	ii6
161	162	0	#viio7/vi
162	163	0	vi
163	164	0	V7/V
164	165	0	V
164	165	1/2	V2
165	166	0	I6
165	166	1/4	V65
165	166	1/2	I6
166	167	0	V
166	167	1/2	V2
167	168	0	I6
167	168	1/4	V65
167	168	1/2	I
168	169	0	V
169	170	0	V\\
170	171	0	I
174	175	0	viio64
175	176	0	viio
177	178	0	viio6
178	179	0	I6
179	180	0	V2
180	181	0	I6
181	182	0	V2
182	183	0	i6
183	184	0	V7/ii
184	185	0	ii
184	185	1/4	V6
184	185	1/2	I
185	186	0	ii6
185	186	1/4	V(64)
185	186	1/2	V
186	187	0	I\\
187	188	0	V6
187	188	1/2	V65
188	189	0	I
189	190	0	V6
189	190	1/2	V65
190	191	0	I\\
190	191	1/2	viio/IV
190	191	5/8	ii
191	192	0	V6/ii
191	192	1/2	V65/ii
192	193	0	II
192	193	1/4	viio7
192	193	1/2	I
193	194	0	ii6
193	194	1/4	V(64)
193	194	1/2	V2
194	195	0	I6
195	196	0	ii6
195	196	1/2	V43/V
196	197	0	V(64)
197	198	0	V7
198	199	0	I\\
198	199	5/8	V2
199	200	0	IV6
199	200	1/4	I64
199	200	1/2	IV
200	201	0	I6
200	201	1/2	IV6
201	202	0	V(64)
201	202	1/2	V7
202	203	0	I\\
203	204	0	IV6
203	204	1/4	V
203	204	1/2	viio7/V
204	205	0	V(64)
205	206	1/2	V7
206	207	0	I\\
206	207	1/2	V7
207	208	0	I
207	208	1/2	V7
208	209	0	I
