piece	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	volta_mcs	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	annotated_key	annotators	reviewers	composed_start	composed_end	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	mscVersion	platform	source	translator	title_text	subtitle_text	composer_text	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	imslp	musicbrainz	originalFormat	typesetter	viaf	wikidata	staff_1_ambitus	staff_1_instrument	staff_2_ambitus	staff_2_instrument
K279-1	1: 4/4	1: 0	100	100	400.0	200	200	800.0		767.0	2031	1441	0	0	251	C	Uli Kneisel	Johannes Hentschel, Markus Neuwirth	1775	1775	Wolfgang Amadeus Mozart	Piano Sonata no. 1 in C major	1	Allegro	K279					2018-02-11	3.02	Microsoft Windows	http://www.tobis-notenarchiv.de/mozart/KV_279_1.cap		Mozart, KV 279; - # -; Sonate in C-Dur		S. #	3.6.2	2.4.0	MS3	MS3/K279-1.mscx	False	31-88 (G1-E6)	https://imslp.org/wiki/Piano_Sonata_No.1_in_C_major,_K.279/189d_(Mozart,_Wolfgang_Amadeus)	https://musicbrainz.org/work/62c0bdd8-46ca-4e17-879c-443ad9fd599e	cap	Tobias Schölkopf		http://www.wikidata.org/entity/Q2194957	48-88 (C3-E6)	Klavier linke Hand	31-74 (G1-D5)	Klavier linke Hand
K279-2	1: 3/4	1: -1	76	74	222.0	152	148	444.0		560.83	1231	681	0	0	156	F	Uli Kneisel	Johannes Hentschel, Markus Neuwirth	1775	1775	Wolfgang Amadeus Mozart	Piano Sonata no. 1 in C major	2	Andante	K279					2018-02-13	3.02	Microsoft Windows	http://www.tobis-notenarchiv.de/mozart/KV_279_2.cap		Mozart, KV 279; - # -		S. #	3.6.2	2.4.0	MS3	MS3/K279-2.mscx	False	35-86 (B1-D6)	https://imslp.org/wiki/Piano_Sonata_No.1_in_C_major,_K.279/189d_(Mozart,_Wolfgang_Amadeus)	https://musicbrainz.org/work/62c0bdd8-46ca-4e17-879c-443ad9fd599e	cap	Tobias Schölkopf		http://www.wikidata.org/entity/Q2194958	57-86 (A3-D6)	Klavier linke Hand	35-79 (B1-G5)	Klavier linke Hand
K279-3	1: 2/4	1: 0	160	158	316.0	320	316	632.0		699.5	1444	902	0	0	321	C	Uli Kneisel	Johannes Hentschel, Markus Neuwirth	1775	1775	Wolfgang Amadeus Mozart	Piano Sonata no. 1 in C major	3	Allegro	K279					2018-02-13	3.02	Microsoft Windows	http://www.tobis-notenarchiv.de/mozart/KV_279_3.cap		"<font size=""10""/>Mozart, KV 279; - # -"		S. #	3.6.2	2.4.0	MS3	MS3/K279-3.mscx	False	35-88 (B1-E6)	https://imslp.org/wiki/Piano_Sonata_No.1_in_C_major,_K.279/189d_(Mozart,_Wolfgang_Amadeus)	https://musicbrainz.org/work/62c0bdd8-46ca-4e17-879c-443ad9fd599e	cap	Tobias Schölkopf		http://www.wikidata.org/entity/Q2194959	54-88 (F#3-E6)	Klavier linke Hand	35-79 (B1-G5)	Klavier linke Hand
K280-1	1: 3/4	1: -1	144	144	432.0	288	288	864.0		911.33	1778	1208	0	0	225	F	Uli Kneisel	Johannes Hentschel, Markus Neuwirth	1775	1775	Wolfgang Amadeus Mozart	Piano Sonata no. 2 in F major	1	Allegro assai	K280					2017-11-08	3.02	Apple Macintosh	http://www.tobis-notenarchiv.de/mozart/KV_280_1.cap		Sonate in F-Dur; - # -; Mozart, KV 280		S. #	3.6.2	2.4.0	MS3	MS3/K280-1.mscx	False	29-86 (F1-D6)	https://imslp.org/wiki/Piano_Sonata_No.2_in_F_major,_K.280/189e_(Mozart,_Wolfgang_Amadeus)	https://musicbrainz.org/work/52912ca4-855d-451d-9abb-d3e3a353e6d2	cap	Tobias Schölkopf	https://viaf.org/viaf/185925450	http://www.wikidata.org/entity/Q954538	55-86 (G3-D6)	Klavier linke Hand	29-86 (F1-D6)	Klavier linke Hand
K280-2	1: 6/8	1: -4	60	60	180.0	120	120	360.0		434.0	811	502	0	0	124	f	Uli Kneisel	Johannes Hentschel, Markus Neuwirth	1775	1775	Wolfgang Amadeus Mozart	Piano Sonata no. 2 in F major	2	Adagio	K280					2017-12-04	3.02	Apple Macintosh	http://www.tobis-notenarchiv.de/mozart/KV_280_2.cap		- # -; Mozart, KV 280		S. #	3.6.2	2.4.0	MS3	MS3/K280-2.mscx	False	32-87 (Ab1-Eb6)	https://imslp.org/wiki/Piano_Sonata_No.2_in_F_major,_K.280/189e_(Mozart,_Wolfgang_Amadeus)	https://musicbrainz.org/work/52912ca4-855d-451d-9abb-d3e3a353e6d3	cap	Tobias Schölkopf	https://viaf.org/viaf/185925451	http://www.wikidata.org/entity/Q954539	48-87 (C3-Eb6)	Klavier linke Hand	32-73 (Ab1-Db5)	Klavier linke Hand
K280-3	1: 3/8	1: -1	192	190	285.0	384	380	570.0		518.0	1222	799	0	0	199	F	Uli Kneisel	Johannes Hentschel, Markus Neuwirth	1775	1775	Wolfgang Amadeus Mozart	Piano Sonata no. 2 in F major	3	Presto	K280					2017-12-04	3.02	Apple Macintosh	http://www.tobis-notenarchiv.de/mozart/KV_280_3.cap		- # -; Mozart, KV 280		S. #	3.6.2	2.4.0	MS3	MS3/K280-3.mscx	False	33-89 (A1-F6)	https://imslp.org/wiki/Piano_Sonata_No.2_in_F_major,_K.280/189e_(Mozart,_Wolfgang_Amadeus)	https://musicbrainz.org/work/52912ca4-855d-451d-9abb-d3e3a353e6d4	cap	Tobias Schölkopf	https://viaf.org/viaf/185925452	http://www.wikidata.org/entity/Q954540	52-89 (E3-F6)	Klavier linke Hand	33-79 (A1-G5)	Klavier linke Hand
K281-1	1: 2/4	1: -2	109	109	218.0	218	218	436.0		487.0	1934	1335	0	0	208	Bb	Uli Kneisel	Johannes Hentschel, Markus Neuwirth	1775	1775	Wolfgang Amadeus Mozart	Piano Sonata no. 3 in B flat major	1	Allegro	K281					2018-02-12	3.02	Microsoft Windows	http://www.tobis-notenarchiv.de/mozart/KV_281_1.cap		Sonate in B-Dur; - # -; Mozart, KV 281		S. #	3.6.2	2.4.0	MS3	MS3/K281-1.mscx	False	34-89 (Bb1-F6)	https://imslp.org/wiki/Piano_Sonata_No.3_in_B-flat_major,_K.281/189f_(Mozart,_Wolfgang_Amadeus)	https://musicbrainz.org/work/4495fb34-25b6-48f9-9a53-e2caa9ac8a2c	cap	Tobias Schölkopf		http://www.wikidata.org/entity/Q2061529	53-89 (F3-F6)	Klavier linke Hand	34-75 (Bb1-Eb5)	Klavier linke Hand
K281-2	1: 3/8	1: -3	106	106	159.0	212	212	318.0		334.83	1066	685	0	0	153	Eb	Uli Kneisel	Johannes Hentschel, Markus Neuwirth	1775	1775	Wolfgang Amadeus Mozart	Piano Sonata no. 3 in B flat major	2	Andante amoroso	K281					2017-12-05	3.02	Apple Macintosh	http://www.tobis-notenarchiv.de/mozart/KV_281_2.cap		- # -; Mozart, KV 281		S. #	3.6.2	2.4.0	MS3	MS3/K281-2.mscx	False	34-87 (Bb1-Eb6)	https://imslp.org/wiki/Piano_Sonata_No.3_in_B-flat_major,_K.281/189f_(Mozart,_Wolfgang_Amadeus)	https://musicbrainz.org/work/4495fb34-25b6-48f9-9a53-e2caa9ac8a2c	cap	Tobias Schölkopf		http://www.wikidata.org/entity/Q2061530	53-87 (F3-Eb6)	Klavier linke Hand	34-70 (Bb1-Bb4)	Klavier linke Hand
K281-3	1: 2/2	1: -2	163	162	648.0	179	178	712.0		1443.67	2057	1295	0	0	384	Bb	Uli Kneisel	Johannes Hentschel, Markus Neuwirth	1775	1775	Wolfgang Amadeus Mozart	Piano Sonata no. 3 in B flat major	3	Rondeau – Allegro	K281					2017-12-05	3.02	Apple Macintosh	http://www.tobis-notenarchiv.de/mozart/KV_281_3.cap		- # -; Mozart, KV 281		S. #	3.6.2	2.4.0	MS3	MS3/K281-3.mscx	False	38-89 (D2-F6)	https://imslp.org/wiki/Piano_Sonata_No.3_in_B-flat_major,_K.281/189f_(Mozart,_Wolfgang_Amadeus)	https://musicbrainz.org/work/4495fb34-25b6-48f9-9a53-e2caa9ac8a2c	cap	Tobias Schölkopf		http://www.wikidata.org/entity/Q2061531	62-89 (D4-F6)	Klavier linke Hand	38-77 (D2-F5)	Klavier linke Hand
K282-1	1: 4/4	1: -3	36	36	144.0	69	69	276.0		346.0	980	602	0	0	104	Eb	Uli Kneisel	Johannes Hentschel, Markus Neuwirth	1775	1775	Wolfgang Amadeus Mozart	Piano Sonata no. 4 in E flat major	1	Adagio	K282					2017-12-07	3.02	Apple Macintosh	http://www.tobis-notenarchiv.de/mozart/KV_282_1.cap		Sonate in Es-Dur; Mozart, KV 282; - # -		S. #	3.6.2	2.4.0	MS3	MS3/K282-1.mscx	False	43-84 (G2-C6)	https://imslp.org/wiki/Piano_Sonata_No.4_in_E-flat_major,_K.282/189g_(Mozart,_Wolfgang_Amadeus)	https://musicbrainz.org/work/97cc4159-c124-48a6-92ae-d05e8175cb2b	cap	Tobias Schölkopf		http://www.wikidata.org/entity/Q3964687	58-84 (Bb3-C6)	Klavier linke Hand	43-75 (G2-Eb5)	Klavier linke Hand
