mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	volta	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	1/4	2/4	2	1	a.i{		a	i		i		i						{	m	1	1	3, 0, 4		3	3	10	42	0.19230769230769232	0.3125	5.0625	0.05813953488372093
6	5	0	0	2/4	2	1	v.i		a	v		i		i							m	1	1	4, 1, 5		4	4	13	27	0.325	1.25	3.0	0.29411764705882354
8	7	1/4	1/4	2/4	2	1	V(64)		a	v		V(64)		V			64				M	1	1	5, 4, 1		5	5	0	3	0.0	0.0	0.375	0.0
8	7	3/8	3/8	2/4	2	1	V		a	v		V		V							M	1	1	5, 9, 6		5	5	0	3	0.0	0.0	0.375	0.0
9	8	0	0	2/4	2	1	i|PAC}		a	v		i		i					PAC	}	m	1	1	4, 1, 5		4	4	0	2	0.0	0.0	0.5	0.0
10	8	0	1/4	2/4	2	1	i.III{		a	i		III		III						{	M	1	1	0, 4, 1		0	0	2	8	0.2	0.25	1.0	0.2
11	9	1/4	1/4	2/4	2	1	III6		a	i		III6		III		6					M	1	1	4, 1, 0		0	4	2	4	0.3333333333333333	0.0625	0.4375	0.125
12	10	0	0	2/4	2	1	V/III|HC		a	i		V/III		V				III	HC		M	1	1	1, 5, 2		1	1	0	4	0.0	0.0	0.75	0.0
12	10	1/4	1/4	2/4	2	1	III		a	i		III		III							M	1	1	0, 4, 1		0	0	2	8	0.2	0.25	1.0	0.2
13	11	1/4	1/4	2/4	2	1	III6		a	i		III6		III		6					M	1	1	4, 1, 0		0	4	2	4	0.3333333333333333	0.0625	0.4375	0.125
14	12	0	0	2/4	2	1	V/III|HC		a	i		V/III		V				III	HC		M	1	1	1, 5, 2		1	1	0	3	0.0	0.0	0.75	0.0
14	12	1/4	1/4	2/4	2	1	i		a	i		i		i							m	1	1	3, 0, 4		3	3	2	8	0.2	0.25	1.0	0.2
15	13	1/4	1/4	2/4	2	1	i6		a	i		i6		i		6					m	1	1	0, 4, 3		3	0	2	4	0.3333333333333333	0.0625	0.4375	0.125
16	14	0	0	2/4	2	1	V|HC		a	i		V		V					HC		M	1	1	4, 8, 5		4	4	0	4	0.0	0.0	0.75	0.0
16	14	1/4	1/4	2/4	2	1	i		a	i		i		i							m	1	1	3, 0, 4		3	3	2	8	0.2	0.25	1.0	0.2
17	15	1/4	1/4	2/4	2	1	i6		a	i		i6		i		6					m	1	1	0, 4, 3		3	0	2	4	0.3333333333333333	0.0625	0.4375	0.125
18	16	0	0	2/4	2	1	V|HC}		a	i		V		V					HC	}	M	1	1	4, 8, 5		4	4	0	3	0.0	0.0	0.75	0.0
18	16	1/4	1/4	2/4	2	1	i{		a	i		i		i						{	m	1	1	3, 0, 4		3	3	10	32	0.23809523809523808	0.3125	3.6875	0.078125
22	20	0	0	2/4	2	1	Ger6		a	i		Ger6	Ger	vii	o	65	b3	V			Ger	1	1	-1, 3, 0, 9		9	-1	1	9	0.1	0.125	1.25	0.09090909090909091
23	21	0	0	2/4	2	1	V(64)		a	i		V(64)		V			64				M	1	1	4, 3, 0		4	4	1	4	0.2	0.125	0.5	0.2
23	21	1/4	1/4	2/4	2	1	#viio43		a	i		#viio43		#vii	o	43					o7	1	1	2, -1, 8, 5		8	2	1	4	0.2	0.125	0.5	0.2
24	22	0	0	2/4	2	1	i6		a	i		i6		i		6					m	1	1	0, 4, 3		3	0	0	5	0.0	0.0	0.625	0.0
24	22	1/4	1/4	2/4	2	1	iio6		a	i		iio6		ii	o	6					o	1	1	2, -1, 5		5	2	0	5	0.0	0.0	0.625	0.0
25	23	0	0	2/4	2	1	V(64)		a	i		V(64)		V			64				M	1	1	4, 3, 0		4	4	0	5	0.0	0.0	0.75	0.0
25	23	1/4	1/4	2/4	2	1	V		a	i		V		V							M	1	1	4, 8, 5		4	4	1	6	0.14285714285714285	0.03125	0.71875	0.041666666666666664
26	24	0	0	2/4	2	1	i|PAC}		a	i		i		i					PAC	}	m	1	1	3, 0, 4		3	3	0	3	0.0	0.0	0.75	0.0
27	24	0	1/4	2/4	2	1	I.I{		a	I		I		I						{	M	1	0	3, 7, 4		3	3	8	24	0.25	1.0	2.5	0.2857142857142857
30	27	0	0	2/4	2	1	IV		a	I		IV		IV							M	1	0	2, 6, 3		2	2	2	7	0.2222222222222222	0.25	0.5	0.3333333333333333
30	27	1/4	1/4	2/4	2	1	V65/V		a	I		V65/V		V		65		V			Mm7	1	0	9, 6, 3, 5		5	9	0	9	0.0	0.0	0.75	0.0
31	28	0	0	2/4	2	1	V|HC		a	I		V		V					HC		M	1	0	4, 8, 5		4	4	2	13	0.13333333333333333	0.25	1.25	0.16666666666666666
32	29	0	0	2/4	2	1	I		a	I		I		I							M	1	0	3, 7, 4		3	3	6	22	0.21428571428571427	0.75	2.25	0.25
34	31	0	0	2/4	2	1	ii65		a	I		ii65		ii		65					mm7	1	0	2, 6, 3, 5		5	2	0	9	0.0	0.0	0.75	0.0
34	31	1/4	1/4	2/4	2	1	V		a	I		V		V							M	1	0	4, 8, 5		4	4	0	9	0.0	0.0	0.75	0.0
35	32	0	0	2/4	2	1	I|PAC}		a	I		I		I					PAC	}	M	1	0	3, 7, 4		3	3	0	3	0.0	0.0	0.75	0.0
36	32	0	1/4	2/4	2	1	#vi.V{		a	#vi		V		V						{	M	1	1	7, 11, 8		7	7	2	2	0.5	0.125	0.125	0.5
37	33	0	0	2/4	2	1	i		a	#vi		i		i							m	1	1	6, 3, 7		6	6	3	12	0.2	0.1875	1.1875	0.13636363636363635
38	34	0	0	2/4	2	1	V43		a	#vi		V43		V		43					Mm7	1	1	8, 5, 7, 11		7	8	2	13	0.13333333333333333	0.125	1.25	0.09090909090909091
39	35	0	0	2/4	2	1	i		a	#vi		i		i							m	1	1	6, 3, 7		6	6	4	11	0.26666666666666666	0.25	1.125	0.18181818181818182
40	36	0	0	2/4	2	1	V65		a	#vi		V65		V		65					Mm7	1	1	11, 8, 5, 7		7	11	3	12	0.2	0.1875	1.1875	0.13636363636363635
41	37	0	0	2/4	2	1	i		a	#vi		i		i							m	1	1	6, 3, 7		6	6	3	12	0.2	0.1875	1.1875	0.13636363636363635
42	38	0	0	2/4	2	1	#iii.V(64)		a	#iii		V(64)		V			64				M	1	1	8, 7, 4		8	8	2	13	0.13333333333333333	0.125	1.25	0.09090909090909091
