mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	2/4	2	1	C.I[I{	C	I	I	I	I						{	M	0	0	0, 4, 1		0	0	5	34	0.1282051282051282	0.15625	2.46875	0.05952380952380952
3	3	3/8	3/8	2/4	2	1	viio64	C	I	I	viio64	vii	o	64					o	0	0	-1, 5, 2		5	-1	3	3	0.5	0.125	0.125	0.5
4	4	0	0	2/4	2	1	I	C	I	I	I	I							M	0	0	0, 4, 1		0	0	1	11	0.08333333333333333	0.03125	0.84375	0.03571428571428571
5	5	0	0	2/4	2	1	IV	C	I	I	IV	IV							M	0	0	-1, 3, 0		-1	-1	0	13	0.0	0.0	0.875	0.0
6	6	0	0	2/4	2	1	I]	C	I	I	I	I							M	0	0	0, 4, 1		0	0	0	13	0.0	0.0	0.875	0.0
7	7	0	0	2/4	2	1	V(64)	C	I		V(64)	V			64				M	0	0	1, 0, 4		1	1	0	8	0.0	0.0	0.875	0.0
7	7	1/4	1/4	2/4	2	1	V7	C	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1	1	8	0.1111111111111111	0.03125	0.59375	0.05
8	8	0	0	2/4	2	1	I(#2)	C	I		I(#2)	I			#2				M	0	0	0, 9, 1		0	0	0	3	0.0	0.0	0.25	0.0
8	8	1/8	1/8	2/4	2	1	I|IAC	C	I		I	I					IAC		M	0	0	0, 4, 1		0	0	0	7	0.0	0.0	0.5	0.0
9	9	0	0	2/4	2	1	IV64	C	I		IV64	IV		64					M	0	0	0, -1, 3		-1	0	0	16	0.0	0.0	0.875	0.0
10	10	0	0	2/4	2	1	I	C	I		I	I							M	0	0	0, 4, 1		0	0	0	16	0.0	0.0	0.875	0.0
11	11	0	0	2/4	2	1	V(64)	C	I		V(64)	V			64				M	0	0	1, 0, 4		1	1	2	8	0.2	0.125	0.625	0.16666666666666666
11	11	1/4	1/4	2/4	2	1	V7	C	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1	2	8	0.2	0.125	0.625	0.16666666666666666
12	12	0	0	2/4	2	1	I|PAC}{	C	I		I	I					PAC	}{	M	0	0	0, 4, 1		0	0	6	10	0.375	0.1875	0.8125	0.1875
13	13	0	0	2/4	2	1	V(64)	C	I		V(64)	V			64				M	0	0	1, 0, 4		1	1	1	4	0.2	0.03125	0.3125	0.09090909090909091
13	13	1/8	1/8	2/4	2	1	V7	C	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1	0	5	0.0	0.0	0.34375	0.0
13	13	1/4	1/4	2/4	2	1	V(64)	C	I		V(64)	V			64				M	0	0	1, 0, 4		1	1	1	4	0.2	0.03125	0.3125	0.09090909090909091
13	13	3/8	3/8	2/4	2	1	V	C	I		V	V							M	0	0	1, 5, 2		1	1	1	4	0.2	0.03125	0.3125	0.09090909090909091
14	14	0	0	2/4	2	1	I|PAC	C	I		I	I					PAC		M	0	0	0, 4, 1		0	0	6	9	0.4	0.1875	0.5625	0.25
15	15	0	0	2/4	2	1	V(64)	C	I		V(64)	V			64				M	0	0	1, 0, 4		1	1	1	4	0.2	0.03125	0.3125	0.09090909090909091
15	15	1/8	1/8	2/4	2	1	V7	C	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1	0	5	0.0	0.0	0.34375	0.0
15	15	1/4	1/4	2/4	2	1	V(64)	C	I		V(64)	V			64				M	0	0	1, 0, 4		1	1	1	4	0.2	0.03125	0.3125	0.09090909090909091
15	15	3/8	3/8	2/4	2	1	V	C	I		V	V							M	0	0	1, 5, 2		1	1	1	4	0.2	0.03125	0.3125	0.09090909090909091
16	16	0	0	2/4	2	1	I|PAC	C	I		I	I					PAC		M	0	0	0, 4, 1		0	0	1	3	0.25	0.0625	0.3125	0.16666666666666666
16	16	3/16	3/16	2/4	2	1	viio64/IV	C	I		viio64/IV	vii	o	64		IV			o	0	0	-2, 4, 1		4	-2	1	2	0.3333333333333333	0.03125	0.09375	0.25
16	16	1/4	1/4	2/4	2	1	IV6	C	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3	0	4	0.0	0.0	0.3125	0.0
16	16	3/8	3/8	2/4	2	1	IV	C	I		IV	IV							M	0	0	-1, 3, 0		-1	-1	2	2	0.5	0.09375	0.09375	0.5
17	17	0	0	2/4	2	1	I6	C	I		I6	I		6					M	0	0	4, 1, 0		0	4	0	3	0.0	0.0	0.25	0.0
