mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	volta	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	2/4	2	1	a.i[i{		a	i	i	i		i						{	m	1	1	3, 0, 4		3	3	0	5	0.0	0.0	1.375	0.0
1	1	3/8	3/8	2/4	2	1	#viio64		a	i	i	#viio64		#vii	o	64					o	1	1	2, 8, 5		8	2	0	3	0.0	0.0	0.375	0.0
2	2	0	0	2/4	2	1	i		a	i	i	i		i							m	1	1	3, 0, 4		3	3	0	5	0.0	0.0	1.5	0.0
2	2	3/8	3/8	2/4	2	1	V64		a	i	i	V64		V		64					M	1	1	5, 4, 8		4	5	0	2	0.0	0.0	0.25	0.0
3	3	0	0	2/4	2	1	i]		a	i	i	i		i							m	1	1	3, 0, 4		3	3	0	4	0.0	0.0	1.125	0.0
3	3	3/8	3/8	2/4	2	1	V6		a	i		V6		V		6					M	1	1	8, 5, 4		4	8	0	2	0.0	0.0	0.25	0.0
4	4	0	0	2/4	2	1	i		a	i		i		i							m	1	1	3, 0, 4		3	3	1	3	0.25	0.0	0.625	0.0
4	4	1/4	1/4	2/4	2	1	V|HC		a	i		V		V					HC		M	1	1	4, 8, 5		4	4	0	4	0.0	0.0	0.75	0.0
5	5	0	0	2/4	2	1	iv6		a	i		iv6		iv		6					m	1	1	-1, 3, 2		2	-1	0	4	0.0	0.0	1.125	0.0
5	5	3/8	3/8	2/4	2	1	i64		a	i		i64		i		64					m	1	1	4, 3, 0		3	4	0	2	0.0	0.0	0.25	0.0
6	6	0	0	2/4	2	1	iv		a	i		iv		iv							m	1	1	2, -1, 3		2	2	0	4	0.0	0.0	1.125	0.0
6	6	3/8	3/8	2/4	2	1	i6		a	i		i6		i		6					m	1	1	0, 4, 3		3	0	0	2	0.0	0.0	0.25	0.0
7	7	0	0	2/4	2	1	#viio6		a	i		#viio6		#vii	o	6					o	1	1	5, 2, 8		8	5	0	4	0.0	0.0	1.0	0.0
7	7	3/8	3/8	2/4	2	1	i		a	i		i		i							m	1	1	3, 0, 4		3	3	0	3	0.0	0.0	0.375	0.0
8	8	0	0	2/4	2	1	V|HC}		a	i		V		V					HC	}	M	1	1	4, 8, 5		4	4	1	7	0.125	0.0	1.5	0.0
9	9	0	0	2/4	2	1	i[i{		a	i	i	i		i						{	m	1	1	3, 0, 4		3	3	0	5	0.0	0.0	1.375	0.0
9	9	3/8	3/8	2/4	2	1	#viio64		a	i	i	#viio64		#vii	o	64					o	1	1	2, 8, 5		8	2	0	3	0.0	0.0	0.375	0.0
10	10	0	0	2/4	2	1	i		a	i	i	i		i							m	1	1	3, 0, 4		3	3	0	5	0.0	0.0	1.5	0.0
10	10	3/8	3/8	2/4	2	1	V64		a	i	i	V64		V		64					M	1	1	5, 4, 8		4	5	0	2	0.0	0.0	0.25	0.0
11	11	0	0	2/4	2	1	i]		a	i	i	i		i							m	1	1	3, 0, 4		3	3	0	4	0.0	0.0	1.125	0.0
11	11	3/8	3/8	2/4	2	1	V6		a	i		V6		V		6					M	1	1	8, 5, 4		4	8	0	2	0.0	0.0	0.25	0.0
12	12	0	0	2/4	2	1	i		a	i		i		i							m	1	1	3, 0, 4		3	3	1	3	0.25	0.0	0.625	0.0
12	12	1/4	1/4	2/4	2	1	V|HC		a	i		V		V					HC		M	1	1	4, 8, 5		4	4	0	4	0.0	0.0	0.75	0.0
13	13	0	0	2/4	2	1	iv		a	i		iv		iv							m	1	1	2, -1, 3		2	2	0	4	0.0	0.0	1.125	0.0
13	13	3/8	3/8	2/4	2	1	i6		a	i		i6		i		6					m	1	1	0, 4, 3		3	0	0	2	0.0	0.0	0.25	0.0
14	14	0	0	2/4	2	1	iv6		a	i		iv6		iv		6					m	1	1	-1, 3, 2		2	-1	0	4	0.0	0.0	1.125	0.0
14	14	3/8	3/8	2/4	2	1	iv64		a	i		iv64		iv		64					m	1	1	3, 2, -1		2	3	2	0	1.0	0.25	0.0	1.0
15	15	0	0	2/4	2	1	iio6		a	i		iio6		ii	o	6					o	1	1	2, -1, 5		5	2	1	2	0.3333333333333333	0.0	0.5	0.0
15	15	1/4	1/4	2/4	2	1	V(64)		a	i		V(64)		V			64				M	1	1	4, 3, 0		4	4	0	2	0.0	0.0	0.375	0.0
15	15	3/8	3/8	2/4	2	1	V		a	i		V		V							M	1	1	4, 8, 5		4	4	0	1	0.0	0.0	0.125	0.0
16	16	0	0	2/4	2	1	VI|DC		a	i		VI		VI					DC		M	1	1	-1, 3, 0		-1	-1	1	2	0.3333333333333333	0.125	0.375	0.25
16	16	1/4	1/4	2/4	2	1	iv6		a	i		iv6		iv		6					m	1	1	-1, 3, 2		2	-1	1	1	0.5	0.125	0.125	0.5
17	17	0	0	2/4	2	1	iv		a	i		iv		iv							m	1	1	2, -1, 3		2	2	0	4	0.0	0.0	1.125	0.0
17	17	3/8	3/8	2/4	2	1	i6		a	i		i6		i		6					m	1	1	0, 4, 3		3	0	0	2	0.0	0.0	0.25	0.0
18	18	0	0	2/4	2	1	#viio6		a	i		#viio6		#vii	o	6					o	1	1	5, 2, 8		8	5	0	4	0.0	0.0	1.0	0.0
18	18	3/8	3/8	2/4	2	1	i		a	i		i		i							m	1	1	3, 0, 4		3	3	0	3	0.0	0.0	0.375	0.0
19	19	0	0	2/4	2	1	iio6		a	i		iio6		ii	o	6					o	1	1	2, -1, 5		5	2	2	3	0.4	0.0	0.75	0.0
19	19	1/4	1/4	2/4	2	1	V(64)		a	i		V(64)		V			64				M	1	1	4, 3, 0		4	4	0	3	0.0	0.0	0.5	0.0
19	19	3/8	3/8	2/4	2	1	V		a	i		V		V							M	1	1	4, 8, 5		4	4	0	2	0.0	0.0	0.25	0.0
20	20	0	0	2/4	2	1	i|PAC}		a	i		i		i					PAC	}	m	1	1	3, 0, 4		3	3	1	4	0.2	0.125	0.625	0.16666666666666666
21	21	0	0	2/4	2	1	III.IV6{		a	III		IV6		IV		6				{	M	1	0	3, 0, -1		-1	3	0	6	0.0	0.0	1.25	0.0
22	22	0	0	2/4	2	1	I64		a	III		I64		I		64					M	1	0	1, 0, 4		0	1	2	6	0.25	0.25	1.0	0.2
23	23	0	0	2/4	2	1	IV		a	III		IV		IV							M	1	0	-1, 3, 0		-1	-1	0	6	0.0	0.0	1.25	0.0
24	24	0	0	2/4	2	1	I6		a	III		I6		I		6					M	1	0	4, 1, 0		0	4	3	12	0.2	0.375	2.125	0.15
26	26	0	0	2/4	2	1	IV		a	III		IV		IV							M	1	0	-1, 3, 0		-1	-1	1	3	0.25	0.125	0.375	0.25
26	26	1/4	1/4	2/4	2	1	I6		a	III		I6		I		6					M	1	0	4, 1, 0		0	4	1	3	0.25	0.125	0.375	0.25
27	27	0	0	2/4	2	1	viio6		a	III		viio6		vii	o	6					o	1	0	2, -1, 5		5	2	1	3	0.25	0.125	0.375	0.25
27	27	1/4	1/4	2/4	2	1	I		a	III		I		I							M	1	0	0, 4, 1		0	0	1	3	0.25	0.125	0.375	0.25
28	28	0	0	2/4	2	1	V(64)}		a	III		V(64)		V			64			}	M	1	0	1, 0, 4		1	1	0	3	0.0	0.0	0.75	0.0
28	28	1/4	1/4	2/4	2	1	V|HC		a	III		V		V					HC		M	1	0	1, 5, 2		1	1	0	3	0.0	0.0	0.75	0.0
29	29	0	0	2/4	2	1	i[i{		a	III	i	i		i						{	m	1	0	0, -3, 1		0	0	0	5	0.0	0.0	1.375	0.0
29	29	3/8	3/8	2/4	2	1	viio64		a	III	i	viio64		vii	o	64					o	1	0	-1, 5, 2		5	-1	0	3	0.0	0.0	0.375	0.0
30	30	0	0	2/4	2	1	i		a	III	i	i		i							m	1	0	0, -3, 1		0	0	0	4	0.0	0.0	1.0	0.0
30	30	3/8	3/8	2/4	2	1	viio6		a	III	i	viio6		vii	o	6					o	1	0	2, -1, 5		5	2	0	3	0.0	0.0	0.375	0.0
31	31	0	0	2/4	2	1	i]		a	III	i	i		i							m	1	0	0, -3, 1		0	0	0	4	0.0	0.0	1.125	0.0
31	31	3/8	3/8	2/4	2	1	iv6		a	III		iv6		iv		6					m	1	0	-4, 0, -1		-1	-4	0	2	0.0	0.0	0.25	0.0
32	32	0	0	2/4	2	1	V(b64)		a	III		V(b64)		V			b64				M	1	0	1, 0, -3		1	1	0	3	0.0	0.0	0.625	0.0
32	32	1/4	1/4	2/4	2	1	V		a	III		V		V							M	1	0	1, 5, 2		1	1	1	3	0.25	0.125	0.625	0.16666666666666666
33	33	0	0	2/4	2	1	V[V7		a	III	V	V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1	0	5	0.0	0.0	1.375	0.0
33	33	3/8	3/8	2/4	2	1	I		a	III	V	I		I							M	1	0	0, 4, 1		0	0	0	3	0.0	0.0	0.375	0.0
34	34	0	0	2/4	2	1	V7		a	III	V	V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1	0	5	0.0	0.0	1.375	0.0
34	34	3/8	3/8	2/4	2	1	I6		a	III	V	I6		I		6					M	1	0	4, 1, 0		0	4	0	3	0.0	0.0	0.375	0.0
35	35	0	0	2/4	2	1	V7		a	III	V	V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1	0	4	0.0	0.0	1.0	0.0
35	35	3/8	3/8	2/4	2	1	I6]		a	III	V	I6		I		6					M	1	0	4, 1, 0		0	4	0	3	0.0	0.0	0.375	0.0
36	36	0	0	2/4	2	1	viio		a	III		viio		vii	o						o	1	0	5, 2, -1		5	5	0	3	0.0	0.0	0.625	0.0
36	36	1/4	1/4	2/4	2	1	I}		a	III		I		I						}	M	1	0	0, 4, 1		0	0	0	4	0.0	0.0	0.75	0.0
37	37	0	0	2/4	2	1	I6{		a	III		I6		I		6				{	M	1	0	4, 1, 0		0	4	0	5	0.0	0.0	1.125	0.0
37	37	3/8	3/8	2/4	2	1	viio6		a	III		viio6		vii	o	6					o	1	0	2, -1, 5		5	2	0	3	0.0	0.0	0.375	0.0
38	38	0	0	2/4	2	1	vi6		a	III		vi6		vi		6					m	1	0	0, 4, 3		3	0	0	5	0.0	0.0	1.125	0.0
38	38	3/8	3/8	2/4	2	1	V6		a	III		V6		V		6					M	1	0	5, 2, 1		1	5	0	3	0.0	0.0	0.375	0.0
39	39	0	0	2/4	2	1	IV6		a	III		IV6		IV		6					M	1	0	3, 0, -1		-1	3	0	5	0.0	0.0	1.125	0.0
39	39	3/8	3/8	2/4	2	1	iii6		a	III		iii6		iii		6					m	1	0	1, 5, 4		4	1	0	3	0.0	0.0	0.375	0.0
40	40	0	0	2/4	2	1	ii6		a	III		ii6		ii		6					m	1	0	-1, 3, 2		2	-1	0	5	0.0	0.0	1.125	0.0
40	40	3/8	3/8	2/4	2	1	#viio6/ii		a	III		#viio6/ii		#vii	o	6		ii			o	1	0	4, 1, 7		7	4	0	3	0.0	0.0	0.375	0.0
41	41	0	0	2/4	2	1	ii6		a	III		ii6		ii		6					m	1	0	-1, 3, 2		2	-1	0	3	0.0	0.0	0.5	0.0
41	41	1/4	1/4	2/4	2	1	V6/ii		a	III		V6/ii		V		6		ii			M	1	0	7, 4, 3		3	7	0	3	0.0	0.0	0.5	0.0
42	42	0	0	2/4	2	1	ii		a	III		ii		ii							m	1	0	2, -1, 3		2	2	0	4	0.0	0.0	0.625	0.0
42	42	3/8	3/8	2/4	2	1	ii6		a	III		ii6		ii		6					m	1	0	-1, 3, 2		2	-1	0	2	0.0	0.0	0.25	0.0
43	43	0	0	2/4	2	1	V(64)		a	III		V(64)		V			64				M	1	0	1, 0, 4		1	1	0	4	0.0	0.0	1.0	0.0
43	43	1/4	1/4	2/4	2	1	V		a	III		V		V							M	1	0	1, 5, 2		1	1	0	4	0.0	0.0	1.0	0.0
44	44	0	0	2/4	2	1	I(9)}		a	III		I(9)		I			9			}	M	1	0	0, 4, 1	2	0	0	1	2	0.3333333333333333	0.125	0.625	0.16666666666666666
44	44	1/4	1/4	2/4	2	1	I|IAC		a	III		I		I					IAC		M	1	0	0, 4, 1		0	0	0	2	0.0	0.0	0.25	0.0
45	45	0	0	2/4	2	1	I6		a	III		I6		I		6					M	1	0	4, 1, 0		0	4	0	5	0.0	0.0	1.125	0.0
45	45	3/8	3/8	2/4	2	1	viio6		a	III		viio6		vii	o	6					o	1	0	2, -1, 5		5	2	0	3	0.0	0.0	0.375	0.0
46	46	0	0	2/4	2	1	vi6		a	III		vi6		vi		6					m	1	0	0, 4, 3		3	0	0	5	0.0	0.0	1.125	0.0
46	46	3/8	3/8	2/4	2	1	V6		a	III		V6		V		6					M	1	0	5, 2, 1		1	5	0	3	0.0	0.0	0.375	0.0
47	47	0	0	2/4	2	1	IV6		a	III		IV6		IV		6					M	1	0	3, 0, -1		-1	3	0	5	0.0	0.0	1.125	0.0
47	47	3/8	3/8	2/4	2	1	iii6		a	III		iii6		iii		6					m	1	0	1, 5, 4		4	1	0	3	0.0	0.0	0.375	0.0
48	48	0	0	2/4	2	1	ii6		a	III		ii6		ii		6					m	1	0	-1, 3, 2		2	-1	0	5	0.0	0.0	1.125	0.0
