mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	volta	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/4	2	1	A.I{		A	I		I		I						{	M	0	0	3, 7, 4		3	3	4	16	0.2	0.25	4.0	0.058823529411764705
3	3	1/2	1/2	3/4	2	1	vi6		A	I		vi6		vi		6					m	0	0	3, 7, 6		6	3	0	3	0.0	0.0	0.75	0.0
4	4	0	0	3/4	2	1	V7/V		A	I		V7/V		V		7		V			Mm7	0	0	5, 9, 6, 3		5	5	0	3	0.0	0.0	0.75	0.0
4	4	1/4	1/4	3/4	2	1	V|HC		A	I		V		V					HC		M	0	0	4, 8, 5		4	4	4	6	0.4	0.5	1.25	0.2857142857142857
6	6	0	0	3/4	2	1	V7		A	I		V7		V		7					Mm7	0	0	4, 8, 5, 2		4	4	1	9	0.1	0.125	1.125	0.1
7	7	0	0	3/4	2	1	V(64)		A	I		V(64)		V			64				M	0	0	4, 3, 7		4	4	2	8	0.2	0.25	1.0	0.2
8	8	0	0	3/4	2	1	ii6		A	I		ii6		ii		6					m	0	0	2, 6, 5		5	2	4	12	0.25	0.5	1.75	0.2222222222222222
10	10	0	0	3/4	2	1	V7		A	I		V7		V		7					Mm7	0	0	4, 8, 5, 2		4	4	1	3	0.25	0.125	0.625	0.16666666666666666
10	10	1/4	1/4	3/4	2	1	I|PAC}		A	I		I		I					PAC	}	M	0	0	3, 7, 4		3	3	0	3	0.0	0.0	0.75	0.0
11	11	0	0	3/4	2	1	V.I{		A	V		I		I						{	M	0	0	4, 8, 5		4	4	1	9	0.1	0.125	1.375	0.08333333333333333
12	12	0	0	3/4	2	1	V7		A	V		V7		V		7					Mm7	0	0	5, 9, 6, 3		5	5	6	12	0.3333333333333333	0.5	1.0	0.3333333333333333
13	13	0	0	3/4	2	1	I		A	V		I		I							M	0	0	4, 8, 5		4	4	1	10	0.09090909090909091	0.125	1.375	0.08333333333333333
14	14	0	0	3/4	2	1	V7		A	V		V7		V		7					Mm7	0	0	5, 9, 6, 3		5	5	6	12	0.3333333333333333	0.5	1.0	0.3333333333333333
15	15	0	0	3/4	2	1	I		A	V		I		I							M	0	0	4, 8, 5		4	4	13	12	0.52	0.8125	0.9375	0.4642857142857143
17	17	0	0	3/4	2	1	ii6		A	V		ii6		ii		6					m	0	0	3, 7, 6		6	3	0	4	0.0	0.0	0.6875	0.0
17	17	1/4	1/4	3/4	2	1	V(64)		A	V		V(64)		V			64				M	0	0	5, 4, 8		5	5	0	3	0.0	0.0	1.0	0.0
17	17	1/2	1/2	3/4	2	1	V7		A	V		V7		V		7					Mm7	0	0	5, 9, 6, 3		5	5	1	3	0.25	0.0	0.75	0.0
18	18	0	0	3/4	2	1	I|PAC}		A	V		I		I					PAC	}	M	0	0	4, 8, 5		4	4	0	4	0.0	0.0	1.0	0.0
19	19	0	0	3/4	2	1	I.iv/ii{		A	I		iv/ii		iv				ii		{	m	0	0	4, 1, 5		4	4	2	4	0.3333333333333333	0.25	0.5	0.3333333333333333
20	20	0	0	3/4	2	1	V(4)/ii		A	I		V(4)/ii		V			4	ii			M	0	0	6, 5, 7		6	6	0	3	0.0	0.0	0.5	0.0
20	20	1/4	1/4	3/4	2	1	V/ii		A	I		V/ii		V				ii			M	0	0	6, 10, 7		6	6	2	4	0.3333333333333333	0.25	0.5625	0.3076923076923077
21	21	0	0	3/4	2	1	V(64)/ii		A	I		V(64)/ii		V			64	ii			M	0	0	6, 5, 2		6	6	2	7	0.2222222222222222	0.375	0.9375	0.2857142857142857
22	22	0	0	3/4	2	1	V7(6)/ii		A	I		V7(6)/ii		V		7	6	ii			Mm7	0	0	6, 10, 2, 4		6	6	0	3	0.0	0.0	0.5	0.0
22	22	1/4	1/4	3/4	2	1	V7/ii		A	I		V7/ii		V		7		ii			Mm7	0	0	6, 10, 7, 4		6	6	1	5	0.16666666666666666	0.125	0.6875	0.15384615384615385
23	23	0	0	3/4	2	1	ii		A	I		ii		ii							m	0	0	5, 2, 6		5	5	1	2	0.3333333333333333	0.125	0.375	0.25
23	23	1/4	1/4	3/4	2	1	iio		A	I		iio		ii	o						o	0	0	5, 2, -1		5	5	2	2	0.5	0.25	0.25	0.5
24	24	0	0	3/4	2	1	V(4)		A	I		V(4)		V			4				M	0	0	4, 3, 5		4	4	0	3	0.0	0.0	0.5	0.0
24	24	1/4	1/4	3/4	2	1	V		A	I		V		V							M	0	0	4, 8, 5		4	4	2	4	0.3333333333333333	0.25	0.5625	0.3076923076923077
25	25	0	0	3/4	2	1	V(64)		A	I		V(64)		V			64				M	0	0	4, 3, 7		4	4	2	7	0.2222222222222222	0.375	0.9375	0.2857142857142857
26	26	0	0	3/4	2	1	V7(6)		A	I		V7(6)		V		7	6				Mm7	0	0	4, 8, 7, 2		4	4	0	3	0.0	0.0	0.5	0.0
