mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	6/8	2	1	f.i{	f	i		i		i						{	m	1	1	-1, -4, 0		-1	-1	1	6	0.14285714285714285	0.0625	1.1875	0.05
2	2	0	0	6/8	2	1	ii%65	f	i		ii%65		ii	%	65					%7	1	1	-2, -5, -1, 1		1	-2	2	10	0.16666666666666666	0.1875	2.0625	0.08333333333333333
3	3	0	0	6/8	2	1	V	f	i		V		V							M	1	1	0, 4, 1		0	0	3	8	0.2727272727272727	0.3125	2.4375	0.11363636363636363
3	3	5/8	5/8	6/8	2	1	V7	f	i		V7		V		7					Mm7	1	1	0, 4, 1, -2		0	0	0	2	0.0	0.0	0.25	0.0
4	4	0	0	6/8	2	1	VI(64)	f	i		VI(64)		VI			64				M	1	1	-5, 1, -2		-5	-5	3	5	0.375	0.25	1.625	0.13333333333333333
4	4	3/8	3/8	6/8	2	1	VI	f	i		VI		VI							M	1	1	-5, -1, -4		-5	-5	1	3	0.25	0.0625	0.9375	0.0625
4	4	5/8	5/8	6/8	2	1	Ger6	f	i		Ger6	Ger	vii	o	65	b3	V			Ger	1	1	-5, -1, -4, 5		5	-5	0	1	0.0	0.0	0.125	0.0
5	5	0	0	6/8	2	1	V(64)	f	i		V(64)		V			64				M	1	1	0, -1, -4		0	0	2	6	0.25	0.125	2.125	0.05555555555555555
5	5	3/8	3/8	6/8	2	1	V7	f	i		V7		V		7					Mm7	1	1	0, 4, 1, -2		0	0	2	4	0.3333333333333333	0.25	0.5	0.3333333333333333
6	6	0	0	6/8	2	1	VI(64)	f	i		VI(64)		VI			64				M	1	1	-5, 1, -2		-5	-5	3	5	0.375	0.25	1.625	0.13333333333333333
6	6	3/8	3/8	6/8	2	1	VI	f	i		VI		VI							M	1	1	-5, -1, -4		-5	-5	1	3	0.25	0.0625	0.9375	0.0625
6	6	5/8	5/8	6/8	2	1	Ger6	f	i		Ger6	Ger	vii	o	65	b3	V			Ger	1	1	-5, -1, -4, 5		5	-5	0	1	0.0	0.0	0.125	0.0
7	7	0	0	6/8	2	1	V(64)	f	i		V(64)		V			64				M	1	1	0, -1, -4		0	0	2	6	0.25	0.125	1.75	0.06666666666666667
7	7	3/8	3/8	6/8	2	1	V7	f	i		V7		V		7					Mm7	1	1	0, 4, 1, -2		0	0	2	6	0.25	0.25	0.875	0.2222222222222222
8	8	0	0	6/8	2	1	i(9#74)}	f	i		i(9#74)		i			9#74			}	m	1	1	-1, -2, 0	1, 4	-1	-1	0	4	0.0	0.0	1.5	0.0
8	8	3/8	3/8	6/8	2	1	i|PAC	f	i		i		i					PAC		m	1	1	-1, -4, 0		-1	-1	0	4	0.0	0.0	0.5	0.0
9	9	0	0	6/8	2	1	III.I64{	f	III		I64		I		64				{	M	1	0	-3, -4, 0		-4	-3	0	8	0.0	0.0	0.625	0.0
9	9	3/8	3/8	6/8	2	1	V	f	III		V		V							M	1	0	-3, 1, -2		-3	-3	0	8	0.0	0.0	0.625	0.0
10	10	0	0	6/8	2	1	V	f	III		V		V							M	1	0	-3, 1, -2		-3	-3	0	7	0.0	0.0	0.75	0.0
10	10	3/8	3/8	6/8	2	1	V(64)	f	III		V(64)		V			64				M	1	0	-3, -4, 0		-3	-3	0	8	0.0	0.0	0.625	0.0
11	11	0	0	6/8	2	1	IV6	f	III		IV6		IV		6					M	1	0	-1, -4, -5		-5	-1	0	5	0.0	0.0	0.375	0.0
11	11	1/4	1/4	6/8	2	1	I64	f	III		I64		I		64					M	1	0	-3, -4, 0		-4	-3	0	3	0.0	0.0	0.25	0.0
11	11	3/8	3/8	6/8	2	1	V6/V	f	III		V6/V		V		6		V			M	1	0	2, -1, -2		-2	2	0	8	0.0	0.0	0.625	0.0
12	12	0	0	6/8	2	1	V(64)	f	III		V(64)		V			64				M	1	0	-3, -4, 0		-3	-3	0	7	0.0	0.0	0.75	0.0
12	12	3/8	3/8	6/8	2	1	V|HC	f	III		V		V					HC		M	1	0	-3, 1, -2		-3	-3	0	8	0.0	0.0	0.625	0.0
13	13	0	0	6/8	2	1	Ger6	f	III		Ger6	Ger	vii	o	65	b3	V			Ger	1	0	-8, -4, -7, 2		2	-8	0	14	0.0	0.0	1.25	0.0
14	14	0	0	6/8	2	1	V	f	III		V		V							M	1	0	-3, 1, -2		-3	-3	0	14	0.0	0.0	1.25	0.0
15	15	0	0	6/8	2	1	viio7/V	f	III		viio7/V		vii	o	7		V			o7	1	0	2, -1, -4, -7		2	2	0	14	0.0	0.0	1.25	0.0
16	16	0	0	6/8	2	1	V2	f	III		V2		V		2					Mm7	1	0	-5, -3, 1, -2		-3	-5	0	14	0.0	0.0	1.25	0.0
17	17	0	0	6/8	2	1	I6	f	III		I6		I		6					M	1	0	0, -3, -4		-4	0	0	8	0.0	0.0	0.625	0.0
17	17	3/8	3/8	6/8	2	1	IV	f	III		IV		IV							M	1	0	-5, -1, -4		-5	-5	0	8	0.0	0.0	0.625	0.0
18	18	0	0	6/8	2	1	V(64)	f	III		V(64)		V			64				M	1	0	-3, -4, 0		-3	-3	0	8	0.0	0.0	0.625	0.0
18	18	3/8	3/8	6/8	2	1	V7	f	III		V7		V		7					Mm7	1	0	-3, 1, -2, -5		-3	-3	0	8	0.0	0.0	0.625	0.0
19	19	0	0	6/8	2	1	vi|DC	f	III		vi		vi					DC		m	1	0	-1, -4, 0		-1	-1	0	9	0.0	0.0	0.75	0.0
19	19	3/8	3/8	6/8	2	1	IV	f	III		IV		IV							M	1	0	-5, -1, -4		-5	-5	2	9	0.18181818181818182	0.0625	0.6875	0.08333333333333333
20	20	0	0	6/8	2	1	V(64)	f	III		V(64)		V			64				M	1	0	-3, -4, 0		-3	-3	4	10	0.2857142857142857	0.09375	0.65625	0.125
20	20	3/8	3/8	6/8	2	1	V7	f	III		V7		V		7					Mm7	1	0	-3, 1, -2, -5		-3	-3	0	7	0.0	0.0	0.75	0.0
21	21	0	0	6/8	2	1	I|PAC}	f	III		I		I					PAC	}	M	1	0	-4, 0, -3		-4	-4	0	2	0.0	0.0	0.25	0.0
21	21	1/4	1/4	6/8	2	1	V65/vi{	f	III		V65/vi		V		65		vi		{	Mm7	1	0	4, 1, -2, 0		0	4	0	4	0.0	0.0	0.5	0.0
21	21	3/8	3/8	6/8	2	1	vi	f	III		vi		vi							m	1	0	-1, -4, 0		-1	-1	0	4	0.0	0.0	0.5	0.0
21	21	5/8	5/8	6/8	2	1	ii6	f	III		ii6		ii		6					m	1	0	-5, -1, -2		-2	-5	0	4	0.0	0.0	0.5	0.0
22	22	0	0	6/8	2	1	V(64)	f	III		V(64)		V			64				M	1	0	-3, -4, 0		-3	-3	2	4	0.3333333333333333	0.125	0.875	0.125
22	22	1/4	1/4	6/8	2	1	V7	f	III		V7		V		7					Mm7	1	0	-3, 1, -2, -5		-3	-3	0	4	0.0	0.0	0.5	0.0
22	22	3/8	3/8	6/8	2	1	I|PAC}	f	III		I		I					PAC	}	M	1	0	-4, 0, -3		-4	-4	0	4	0.0	0.0	0.5	0.0
22	22	5/8	5/8	6/8	2	1	V65/vi{	f	III		V65/vi		V		65		vi		{	Mm7	1	0	4, 1, -2, 0		0	4	0	4	0.0	0.0	0.5	0.0
23	23	0	0	6/8	2	1	vi	f	III		vi		vi							m	1	0	-1, -4, 0		-1	-1	0	4	0.0	0.0	0.5	0.0
23	23	1/4	1/4	6/8	2	1	ii6	f	III		ii6		ii		6					m	1	0	-5, -1, -2		-2	-5	0	4	0.0	0.0	0.5	0.0
23	23	3/8	3/8	6/8	2	1	V(64)	f	III		V(64)		V			64				M	1	0	-3, -4, 0		-3	-3	2	4	0.3333333333333333	0.125	0.875	0.125
23	23	5/8	5/8	6/8	2	1	V7	f	III		V7		V		7					Mm7	1	0	-3, 1, -2, -5		-3	-3	0	4	0.0	0.0	0.5	0.0
24	24	0	0	6/8	2	1	I(974)}	f	III		I(974)		I			974			}	M	1	0	-4, -5, -3	-2, 1	-4	-4	0	4	0.0	0.0	1.5	0.0
24	24	3/8	3/8	6/8	2	1	I|PAC	f	III		I		I					PAC		M	1	0	-4, 0, -3		-4	-4	1	7	0.125	0.0625	1.0625	0.05555555555555555
26	26	0	0	6/8	2	1	iv.#viio2	f	iv		#viio2		#vii	o	2					o7	1	1	-6, 3, 0, -3		3	-6	2	4	0.3333333333333333	0.25	1.25	0.16666666666666666
26	26	3/8	3/8	6/8	2	1	#viio43	f	iv		#viio43		#vii	o	43					o7	1	1	-3, -6, 3, 0		3	-3	0	4	0.0	0.0	0.5	0.0
27	27	0	0	6/8	2	1	#viio2	f	iv		#viio2		#vii	o	2					o7	1	1	-6, 3, 0, -3		3	-6	2	4	0.3333333333333333	0.25	1.25	0.16666666666666666
27	27	3/8	3/8	6/8	2	1	#viio43	f	iv		#viio43		#vii	o	43					o7	1	1	-3, -6, 3, 0		3	-3	0	4	0.0	0.0	0.5	0.0
28	28	0	0	6/8	2	1	i6	f	iv		i6		i		6					m	1	1	-5, -1, -2		-2	-5	0	4	0.0	0.0	0.5	0.0
28	28	1/8	1/8	6/8	2	1	#viio6	f	iv		#viio6		#vii	o	6					o	1	1	0, -3, 3		3	0	0	4	0.0	0.0	0.5	0.0
28	28	1/4	1/4	6/8	2	1	i	f	iv		i		i							m	1	1	-2, -5, -1		-2	-2	0	4	0.0	0.0	0.5	0.0
28	28	3/8	3/8	6/8	2	1	V65}	f	iv		V65		V		65				}	Mm7	1	1	3, 0, -3, -1		-1	3	0	5	0.0	0.0	0.625	0.0
29	29	0	0	6/8	2	1	i{	f	iv		i		i						{	m	1	1	-2, -5, -1		-2	-2	2	4	0.3333333333333333	0.125	0.3125	0.2857142857142857
29	29	3/8	3/8	6/8	2	1	VI6	f	iv		VI6		VI		6					M	1	1	-2, -5, -6		-6	-2	4	7	0.36363636363636365	0.25	0.75	0.25
30	30	0	0	6/8	2	1	#viio7	f	iv		#viio7		#vii	o	7					o7	1	1	3, 0, -3, -6		3	3	2	6	0.25	0.125	1.0	0.1111111111111111
30	30	3/8	3/8	6/8	2	1	V6	f	iv		V6		V		6					M	1	1	3, 0, -1		-1	3	0	3	0.0	0.0	0.5	0.0
30	30	7/16	7/16	6/8	2	1	v6	f	iv		v6		v		6					m	1	1	-4, 0, -1		-1	-4	4	6	0.4	0.25	0.375	0.4
31	31	0	0	6/8	2	1	v.V7	f	v		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1	3	10	0.23076923076923078	0.1875	0.75	0.2
31	31	3/8	3/8	6/8	2	1	viio7/V	f	v		viio7/V		vii	o	7		V			o7	1	1	6, 3, 0, -3		6	6	4	7	0.36363636363636365	0.25	0.5	0.3333333333333333
32	32	0	0	6/8	2	1	V|HC}	f	v		V		V					HC	}	M	1	1	1, 5, 2		1	1	2	6	0.25	0.125	0.5625	0.18181818181818182
33	33	0	0	6/8	2	1	i{	f	v		i		i						{	m	1	1	0, -3, 1		0	0	1	6	0.14285714285714285	0.0625	1.1875	0.05
34	34	0	0	6/8	2	1	ii%65	f	v		ii%65		ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1	2	10	0.16666666666666666	0.1875	2.0625	0.08333333333333333
35	35	0	0	6/8	2	1	V	f	v		V		V							M	1	1	1, 5, 2		1	1	3	8	0.2727272727272727	0.3125	2.4375	0.11363636363636363
35	35	5/8	5/8	6/8	2	1	V7	f	v		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1	0	2	0.0	0.0	0.25	0.0
36	36	0	0	6/8	2	1	i(4)}	f	v		i(4)		i			4			}	m	1	1	0, -1, 1		0	0	1	5	0.16666666666666666	0.0625	1.4375	0.041666666666666664
36	36	3/8	3/8	6/8	2	1	i.V7	f	i		V7		V		7					Mm7	1	1	0, 4, 1, -2		0	0	2	6	0.25	0.25	1.0	0.2
