mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	volta	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/4	2	1	Eb.I{		Eb	I		I	I						{	M	0	0	-3, 1, -2		-3	-3	4	10	0.2857142857142857	0.5	2.25	0.18181818181818182
2	2	1/4	1/4	3/4	2	1	viio6		Eb	I		viio6	vii	o	6					o	0	0	-1, -4, 2		2	-1	0	3	0.0	0.0	0.75	0.0
2	2	1/2	1/2	3/4	2	1	I6		Eb	I		I6	I		6					M	0	0	1, -2, -3		-3	1	0	3	0.0	0.0	0.75	0.0
3	3	0	0	3/4	2	1	#viio43/ii		Eb	I		#viio43/ii	#vii	o	43		ii			o7	0	0	-2, -5, 4, 1		4	-2	0	3	0.0	0.0	0.75	0.0
3	3	1/4	1/4	3/4	2	1	ii6		Eb	I		ii6	ii		6					m	0	0	-4, 0, -1		-1	-4	2	6	0.25	0.0625	0.9375	0.0625
4	4	0	0	3/4	2	1	V(64)}		Eb	I		V(64)	V			64			}	M	0	0	-2, -3, 1		-2	-2	2	4	0.3333333333333333	0.125	0.625	0.16666666666666666
4	4	1/4	1/4	3/4	2	1	V|HC		Eb	I		V	V					HC		M	0	0	-2, 2, -1		-2	-2	7	9	0.4375	0.21875	0.5625	0.28
5	5	0	0	3/4	2	1	I{		Eb	I		I	I						{	M	0	0	-3, 1, -2		-3	-3	4	7	0.36363636363636365	0.15625	1.09375	0.125
5	5	1/2	1/2	3/4	2	1	vi6		Eb	I		vi6	vi		6					m	0	0	-3, 1, 0		0	-3	1	5	0.16666666666666666	0.0625	0.6875	0.08333333333333333
6	6	0	0	3/4	2	1	ii(4)		Eb	I		ii(4)	ii			4				m	0	0	-1, -2, 0		-1	-1	0	3	0.0	0.0	0.75	0.0
6	6	1/4	1/4	3/4	2	1	V7		Eb	I		V7	V		7					Mm7	0	0	-2, 2, -1, -4		-2	-2	1	4	0.2	0.03125	0.71875	0.041666666666666664
6	6	1/2	1/2	3/4	2	1	vi|DC		Eb	I		vi	vi					DC		m	0	0	0, -3, 1		0	0	2	4	0.3333333333333333	0.125	0.625	0.16666666666666666
7	7	0	0	3/4	2	1	ii6		Eb	I		ii6	ii		6					m	0	0	-4, 0, -1		-1	-4	4	5	0.4444444444444444	0.0625	0.6875	0.08333333333333333
7	7	1/4	1/4	3/4	2	1	V(64)		Eb	I		V(64)	V			64				M	0	0	-2, -3, 1		-2	-2	0	3	0.0	0.0	1.125	0.0
7	7	1/2	1/2	3/4	2	1	V7		Eb	I		V7	V		7					Mm7	0	0	-2, 2, -1, -4		-2	-2	1	3	0.25	0.0625	0.4375	0.125
8	8	0	0	3/4	2	1	I[I|PAC}{		Eb	I	I	I	I					PAC	}{	M	0	0	-3, 1, -2		-3	-3	0	19	0.0	0.0	1.75	0.0
9	9	0	0	3/4	2	1	viio6(2)		Eb	I	I	viio6(2)	vii	o	6	2				o	0	0	-1, -4, -3		2	-1	0	4	0.0	0.0	0.75	0.0
9	9	1/8	1/8	3/4	2	1	viio6		Eb	I	I	viio6	vii	o	6					o	0	0	-1, -4, 2		2	-1	5	12	0.29411764705882354	0.3125	0.9375	0.25
10	10	0	0	3/4	2	1	I		Eb	I	I	I	I							M	0	0	-3, 1, -2		-3	-3	3	20	0.13043478260869565	0.0625	1.8125	0.03333333333333333
11	11	0	0	3/4	2	1	viio6(2)		Eb	I	I	viio6(2)	vii	o	6	2				o	0	0	-1, -4, -3		2	-1	0	4	0.0	0.0	0.75	0.0
11	11	1/8	1/8	3/4	2	1	viio6		Eb	I	I	viio6	vii	o	6					o	0	0	-1, -4, 2		2	-1	5	12	0.29411764705882354	0.3125	0.9375	0.25
12	12	0	0	3/4	2	1	I]		Eb	I	I	I	I							M	0	0	-3, 1, -2		-3	-3	3	8	0.2727272727272727	0.03125	0.84375	0.03571428571428571
12	12	3/8	3/8	3/4	2	1	I6		Eb	I		I6	I		6					M	0	0	1, -2, -3		-3	1	0	4	0.0	0.0	0.5	0.0
12	12	1/2	1/2	3/4	2	1	ii6		Eb	I		ii6	ii		6					m	0	0	-4, 0, -1		-1	-4	0	4	0.0	0.0	0.5	0.0
12	12	5/8	5/8	3/4	2	1	vii%7/V		Eb	I		vii%7/V	vii	%	7		V			%7	0	0	3, 0, -3, 1		3	3	0	4	0.0	0.0	0.5	0.0
13	13	0	0	3/4	2	1	V(64)}		Eb	I		V(64)	V			64			}	M	0	0	-2, -3, 1		-2	-2	0	4	0.0	0.0	0.75	0.0
13	13	1/4	1/4	3/4	2	1	V|HC		Eb	I		V	V					HC		M	0	0	-2, 2, -1		-2	-2	0	5	0.0	0.0	0.875	0.0
14	14	0	0	3/4	2	1	V.I{		Eb	V		I	I						{	M	0	0	-2, 2, -1		-2	-2	2	8	0.2	0.0625	0.9375	0.0625
14	14	1/2	1/2	3/4	2	1	V2		Eb	V		V2	V		2					Mm7	0	0	-3, -1, 3, 0		-1	-3	0	3	0.0	0.0	0.5	0.0
14	14	5/8	5/8	3/4	2	1	I6		Eb	V		I6	I		6					M	0	0	2, -1, -2		-2	2	0	2	0.0	0.0	0.25	0.0
15	15	0	0	3/4	2	1	viio6		Eb	V		viio6	vii	o	6					o	0	0	0, -3, 3		3	0	0	3	0.0	0.0	0.375	0.0
15	15	1/8	1/8	3/4	2	1	I		Eb	V		I	I							M	0	0	-2, 2, -1		-2	-2	2	4	0.3333333333333333	0.0625	0.3125	0.16666666666666666
15	15	1/4	1/4	3/4	2	1	V65		Eb	V		V65	V		65					Mm7	0	0	3, 0, -3, -1		-1	3	0	6	0.0	0.0	1.0	0.0
16	16	0	0	3/4	2	1	V7		Eb	V		V7	V		7					Mm7	0	0	-1, 3, 0, -3		-1	-1	1	7	0.125	0.03125	0.84375	0.03571428571428571
16	16	1/2	1/2	3/4	2	1	I6		Eb	V		I6	I		6					M	0	0	2, -1, -2		-2	2	0	2	0.0	0.0	0.25	0.0
16	16	5/8	5/8	3/4	2	1	V2		Eb	V		V2	V		2					Mm7	0	0	-3, -1, 3, 0		-1	-3	0	4	0.0	0.0	0.5	0.0
17	17	0	0	3/4	2	1	I		Eb	V		I	I							M	0	0	-2, 2, -1		-2	-2	0	4	0.0	0.0	0.5	0.0
17	17	1/8	1/8	3/4	2	1	V43		Eb	V		V43	V		43					Mm7	0	0	0, -3, -1, 3		-1	0	1	6	0.14285714285714285	0.03125	0.46875	0.0625
17	17	1/4	1/4	3/4	2	1	I		Eb	V		I	I							M	0	0	-2, 2, -1		-2	-2	0	7	0.0	0.0	0.875	0.0
